mass_feature,replicate_name,adjusted_area,sample_fraction,z,sample_set,treatment,retention_time,mz
(3-Carboxypropyl)trimethylammonium,211202_Smp_RWi2_2,NA,Particulate,1,Rwi_set1,Glycerol + NH4,9.861,146.118104
(3-Carboxypropyl)trimethylammonium,211202_Smp_RWi2_3,NA,Particulate,1,Rwi_set1,Homarine,9.861,146.118104
(3-Carboxypropyl)trimethylammonium,211202_Smp_RWi2_4,NA,Particulate,1,Rwi_set1,Homarine,9.861,146.118104
(3-Carboxypropyl)trimethylammonium,211202_Smp_RWi2_5,NA,Particulate,1,Rwi_set1,Glycerol + NH4 + Homarine,9.861,146.118104
(3-Carboxypropyl)trimethylammonium,211202_Smp_RWi2_6,NA,Particulate,1,Rwi_set1,Glycerol + NH4 + Homarine,9.861,146.118104
2-Hydroxy-4-(methylthio)butyric acid,211202_Smp_OBi1small_1,NA,Particulate,-1,Obi1_set1,Glucose + NH4,2.271923076923077,149.027242
2-Hydroxy-4-(methylthio)butyric acid,211202_Smp_OBi1small_3,NA,Particulate,-1,Obi1_set1,Glucose + NH4,2.271923076923077,149.027242
2-Hydroxy-4-(methylthio)butyric acid,211202_Smp_OBi1small_5,NA,Particulate,-1,Obi1_set1,Homarine,2.271923076923077,149.027242
2-Hydroxy-4-(methylthio)butyric acid,211202_Smp_OBi1small_7,NA,Particulate,-1,Obi1_set1,Homarine,2.271923076923077,149.027242
2-Hydroxy-4-(methylthio)butyric acid,211202_Smp_OBi1_1,179593,Particulate,-1,OBi1_set2,Glucose + NH4,2.271923076923077,149.027242
2-Hydroxy-4-(methylthio)butyric acid,211202_Smp_OBi1_2,116270,Particulate,-1,OBi1_set2,Glucose + NH4,2.271923076923077,149.027242
2-Hydroxy-4-(methylthio)butyric acid,211202_Smp_OBi1_3,133076,Particulate,-1,OBi1_set2,Glucose + NH4,2.271923076923077,149.027242
2-Hydroxy-4-(methylthio)butyric acid,211202_Smp_OBi1_4,225334,Particulate,-1,OBi1_set2,Homarine,2.271923076923077,149.027242
2-Hydroxy-4-(methylthio)butyric acid,211202_Smp_OBi1_5,143885,Particulate,-1,OBi1_set2,Homarine,2.271923076923077,149.027242
2-Hydroxy-4-(methylthio)butyric acid,211202_Smp_OBi1_6,207379,Particulate,-1,OBi1_set2,Homarine,2.271923076923077,149.027242
2-Hydroxy-4-(methylthio)butyric acid,211202_Smp_OBi1_7,141116,Particulate,-1,OBi1_set2,Glucose + NH4 + Homarine,2.271923076923077,149.027242
2-Hydroxy-4-(methylthio)butyric acid,211202_Smp_OBi1_8,128101,Particulate,-1,OBi1_set2,Glucose + NH4 + Homarine,2.271923076923077,149.027242
2-Hydroxy-4-(methylthio)butyric acid,211202_Smp_OBi1_9,148369,Particulate,-1,OBi1_set2,Glucose + NH4 + Homarine,2.271923076923077,149.027242
2-Hydroxy-4-(methylthio)butyric acid,211202_Smp_RWi2_1,NA,Particulate,-1,Rwi_set1,Glycerol + NH4,2.271923076923077,149.027242
2-Hydroxy-4-(methylthio)butyric acid,211202_Smp_RWi2_2,NA,Particulate,-1,Rwi_set1,Glycerol + NH4,2.271923076923077,149.027242
2-Hydroxy-4-(methylthio)butyric acid,211202_Smp_RWi2_3,NA,Particulate,-1,Rwi_set1,Homarine,2.271923076923077,149.027242
2-Hydroxy-4-(methylthio)butyric acid,211202_Smp_RWi2_4,NA,Particulate,-1,Rwi_set1,Homarine,2.271923076923077,149.027242
2-Hydroxy-4-(methylthio)butyric acid,211202_Smp_RWi2_5,NA,Particulate,-1,Rwi_set1,Glycerol + NH4 + Homarine,2.271923076923077,149.027242
2-Hydroxy-4-(methylthio)butyric acid,211202_Smp_RWi2_6,NA,Particulate,-1,Rwi_set1,Glycerol + NH4 + Homarine,2.271923076923077,149.027242
2-Ketoglutaric acid,211202_Smp_OBi1small_1,10413950,Particulate,-1,Obi1_set1,Glucose + NH4,12.235641025641026,145.0137
2-Ketoglutaric acid,211202_Smp_OBi1small_3,12886714,Particulate,-1,Obi1_set1,Glucose + NH4,12.235641025641026,145.0137
2-Ketoglutaric acid,211202_Smp_OBi1small_5,24272080,Particulate,-1,Obi1_set1,Homarine,12.235641025641026,145.0137
2-Ketoglutaric acid,211202_Smp_OBi1small_7,32770294,Particulate,-1,Obi1_set1,Homarine,12.235641025641026,145.0137
2-Ketoglutaric acid,211202_Smp_OBi1_1,33686116,Particulate,-1,OBi1_set2,Glucose + NH4,12.235641025641026,145.0137
2-Ketoglutaric acid,211202_Smp_OBi1_2,49826548,Particulate,-1,OBi1_set2,Glucose + NH4,12.235641025641026,145.0137
2-Ketoglutaric acid,211202_Smp_OBi1_3,37883856,Particulate,-1,OBi1_set2,Glucose + NH4,12.235641025641026,145.0137
2-Ketoglutaric acid,211202_Smp_OBi1_4,17300588,Particulate,-1,OBi1_set2,Homarine,12.235641025641026,145.0137
2-Ketoglutaric acid,211202_Smp_OBi1_5,14500479,Particulate,-1,OBi1_set2,Homarine,12.235641025641026,145.0137
2-Ketoglutaric acid,211202_Smp_OBi1_6,32486314,Particulate,-1,OBi1_set2,Homarine,12.235641025641026,145.0137
2-Ketoglutaric acid,211202_Smp_OBi1_7,40663616,Particulate,-1,OBi1_set2,Glucose + NH4 + Homarine,12.235641025641026,145.0137
2-Ketoglutaric acid,211202_Smp_OBi1_8,39599728,Particulate,-1,OBi1_set2,Glucose + NH4 + Homarine,12.235641025641026,145.0137
2-Ketoglutaric acid,211202_Smp_OBi1_9,29632670,Particulate,-1,OBi1_set2,Glucose + NH4 + Homarine,12.235641025641026,145.0137
2-Ketoglutaric acid,211202_Smp_RWi2_1,16804258,Particulate,-1,Rwi_set1,Glycerol + NH4,12.235641025641026,145.0137
2-Ketoglutaric acid,211202_Smp_RWi2_2,8960938,Particulate,-1,Rwi_set1,Glycerol + NH4,12.235641025641026,145.0137
2-Ketoglutaric acid,211202_Smp_RWi2_3,5157658,Particulate,-1,Rwi_set1,Homarine,12.235641025641026,145.0137
2-Ketoglutaric acid,211202_Smp_RWi2_4,5497989,Particulate,-1,Rwi_set1,Homarine,12.235641025641026,145.0137
2-Ketoglutaric acid,211202_Smp_RWi2_5,21895002,Particulate,-1,Rwi_set1,Glycerol + NH4 + Homarine,12.235641025641026,145.0137
2-Ketoglutaric acid,211202_Smp_RWi2_6,15618116,Particulate,-1,Rwi_set1,Glycerol + NH4 + Homarine,12.235641025641026,145.0137
3-Phosphoglycerate,211202_Smp_OBi1small_1,1382213.798815339,Particulate,-1,Obi1_set1,Glucose + NH4,13.781052631578948,184.985118
3-Phosphoglycerate,211202_Smp_OBi1small_3,873830.15570771,Particulate,-1,Obi1_set1,Glucose + NH4,13.781052631578948,184.985118
3-Phosphoglycerate,211202_Smp_OBi1small_5,929808.5971145713,Particulate,-1,Obi1_set1,Homarine,13.781052631578948,184.985118
3-Phosphoglycerate,211202_Smp_OBi1small_7,983151.6251088778,Particulate,-1,Obi1_set1,Homarine,13.781052631578948,184.985118
3-Phosphoglycerate,211202_Smp_OBi1_1,2699507.855018953,Particulate,-1,OBi1_set2,Glucose + NH4,13.781052631578948,184.985118
3-Phosphoglycerate,211202_Smp_OBi1_2,2064669.6019065492,Particulate,-1,OBi1_set2,Glucose + NH4,13.781052631578948,184.985118
3-Phosphoglycerate,211202_Smp_OBi1_3,2622217.0221966524,Particulate,-1,OBi1_set2,Glucose + NH4,13.781052631578948,184.985118
3-Phosphoglycerate,211202_Smp_OBi1_4,272890.65379069204,Particulate,-1,OBi1_set2,Homarine,13.781052631578948,184.985118
3-Phosphoglycerate,211202_Smp_OBi1_5,297054.16484171775,Particulate,-1,OBi1_set2,Homarine,13.781052631578948,184.985118
3-Phosphoglycerate,211202_Smp_OBi1_6,250765.5824506432,Particulate,-1,OBi1_set2,Homarine,13.781052631578948,184.985118
3-Phosphoglycerate,211202_Smp_OBi1_7,2441677.1647184487,Particulate,-1,OBi1_set2,Glucose + NH4 + Homarine,13.781052631578948,184.985118
3-Phosphoglycerate,211202_Smp_OBi1_8,1617095.5422707554,Particulate,-1,OBi1_set2,Glucose + NH4 + Homarine,13.781052631578948,184.985118
3-Phosphoglycerate,211202_Smp_OBi1_9,1450006.0561063164,Particulate,-1,OBi1_set2,Glucose + NH4 + Homarine,13.781052631578948,184.985118
3-Phosphoglycerate,211202_Smp_RWi2_1,9231116.14114554,Particulate,-1,Rwi_set1,Glycerol + NH4,13.781052631578948,184.985118
3-Phosphoglycerate,211202_Smp_RWi2_2,6863533.238277879,Particulate,-1,Rwi_set1,Glycerol + NH4,13.781052631578948,184.985118
3-Phosphoglycerate,211202_Smp_RWi2_3,323029.4238619743,Particulate,-1,Rwi_set1,Homarine,13.781052631578948,184.985118
3-Phosphoglycerate,211202_Smp_RWi2_4,365046.1178363483,Particulate,-1,Rwi_set1,Homarine,13.781052631578948,184.985118
3-Phosphoglycerate,211202_Smp_RWi2_5,6239197.208247039,Particulate,-1,Rwi_set1,Glycerol + NH4 + Homarine,13.781052631578948,184.985118
3-Phosphoglycerate,211202_Smp_RWi2_6,6259781.400196948,Particulate,-1,Rwi_set1,Glycerol + NH4 + Homarine,13.781052631578948,184.985118
5-Hydroxyectoine,211202_Smp_OBi1_1,7385974000.273148,Particulate,1,OBi1_set2,Glucose + NH4,11.052926829268293,159.076968
5-Hydroxyectoine,211202_Smp_OBi1_2,7415437039.415463,Particulate,1,OBi1_set2,Glucose + NH4,11.052926829268293,159.076968
5-Hydroxyectoine,211202_Smp_OBi1_3,7069163385.8702965,Particulate,1,OBi1_set2,Glucose + NH4,11.052926829268293,159.076968
5-Hydroxyectoine,211202_Smp_OBi1_4,1755776625.134244,Particulate,1,OBi1_set2,Homarine,11.052926829268293,159.076968
5-Hydroxyectoine,211202_Smp_OBi1_5,2032956747.317629,Particulate,1,OBi1_set2,Homarine,11.052926829268293,159.076968
5-Hydroxyectoine,211202_Smp_OBi1_6,1813413449.6766665,Particulate,1,OBi1_set2,Homarine,11.052926829268293,159.076968
5-Hydroxyectoine,211202_Smp_OBi1_7,6280253220.975462,Particulate,1,OBi1_set2,Glucose + NH4 + Homarine,11.052926829268293,159.076968
5-Hydroxyectoine,211202_Smp_OBi1_8,6096294962.615648,Particulate,1,OBi1_set2,Glucose + NH4 + Homarine,11.052926829268293,159.076968
5-Hydroxyectoine,211202_Smp_OBi1_9,4915932626.707573,Particulate,1,OBi1_set2,Glucose + NH4 + Homarine,11.052926829268293,159.076968
5-Hydroxyectoine,211202_Smp_OBi1small_1,645475083.6798428,Particulate,1,Obi1_set1,Glucose + NH4,11.052926829268293,159.076968
5-Hydroxyectoine,211202_Smp_OBi1small_3,712110676.9575324,Particulate,1,Obi1_set1,Glucose + NH4,11.052926829268293,159.076968
5-Hydroxyectoine,211202_Smp_OBi1small_5,639578837.9964706,Particulate,1,Obi1_set1,Homarine,11.052926829268293,159.076968
5-Hydroxyectoine,211202_Smp_OBi1small_7,675713835.5254897,Particulate,1,Obi1_set1,Homarine,11.052926829268293,159.076968
5-Hydroxyectoine,211202_Smp_RWi2_1,2593212.07206054,Particulate,1,Rwi_set1,Glycerol + NH4,11.052926829268293,159.076968
5-Hydroxyectoine,211202_Smp_RWi2_2,NA,Particulate,1,Rwi_set1,Glycerol + NH4,11.052926829268293,159.076968
5-Hydroxyectoine,211202_Smp_RWi2_3,NA,Particulate,1,Rwi_set1,Homarine,11.052926829268293,159.076968
5-Hydroxyectoine,211202_Smp_RWi2_4,NA,Particulate,1,Rwi_set1,Homarine,11.052926829268293,159.076968
5-Hydroxyectoine,211202_Smp_RWi2_5,NA,Particulate,1,Rwi_set1,Glycerol + NH4 + Homarine,11.052926829268293,159.076968
5-Hydroxyectoine,211202_Smp_RWi2_6,NA,Particulate,1,Rwi_set1,Glycerol + NH4 + Homarine,11.052926829268293,159.076968
5-Oxoproline,211202_Smp_OBi1small_1,NA,Particulate,-1,Obi1_set1,Glucose + NH4,6.756153846153846,128.034768
5-Oxoproline,211202_Smp_OBi1small_3,NA,Particulate,-1,Obi1_set1,Glucose + NH4,6.756153846153846,128.034768
5-Oxoproline,211202_Smp_OBi1small_5,NA,Particulate,-1,Obi1_set1,Homarine,6.756153846153846,128.034768
5-Oxoproline,211202_Smp_OBi1small_7,NA,Particulate,-1,Obi1_set1,Homarine,6.756153846153846,128.034768
5-Oxoproline,211202_Smp_OBi1_1,NA,Particulate,-1,OBi1_set2,Glucose + NH4,6.756153846153846,128.034768
5-Oxoproline,211202_Smp_OBi1_2,44966041.71549878,Particulate,-1,OBi1_set2,Glucose + NH4,6.756153846153846,128.034768
5-Oxoproline,211202_Smp_OBi1_3,54871370.96057584,Particulate,-1,OBi1_set2,Glucose + NH4,6.756153846153846,128.034768
5-Oxoproline,211202_Smp_OBi1_4,NA,Particulate,-1,OBi1_set2,Homarine,6.756153846153846,128.034768
5-Oxoproline,211202_Smp_OBi1_5,NA,Particulate,-1,OBi1_set2,Homarine,6.756153846153846,128.034768
5-Oxoproline,211202_Smp_OBi1_6,NA,Particulate,-1,OBi1_set2,Homarine,6.756153846153846,128.034768
5-Oxoproline,211202_Smp_OBi1_7,NA,Particulate,-1,OBi1_set2,Glucose + NH4 + Homarine,6.756153846153846,128.034768
5-Oxoproline,211202_Smp_OBi1_8,NA,Particulate,-1,OBi1_set2,Glucose + NH4 + Homarine,6.756153846153846,128.034768
5-Oxoproline,211202_Smp_OBi1_9,NA,Particulate,-1,OBi1_set2,Glucose + NH4 + Homarine,6.756153846153846,128.034768
5-Oxoproline,211202_Smp_RWi2_1,NA,Particulate,-1,Rwi_set1,Glycerol + NH4,6.756153846153846,128.034768
5-Oxoproline,211202_Smp_RWi2_2,NA,Particulate,-1,Rwi_set1,Glycerol + NH4,6.756153846153846,128.034768
5-Oxoproline,211202_Smp_RWi2_3,NA,Particulate,-1,Rwi_set1,Homarine,6.756153846153846,128.034768
5-Oxoproline,211202_Smp_RWi2_4,NA,Particulate,-1,Rwi_set1,Homarine,6.756153846153846,128.034768
5-Oxoproline,211202_Smp_RWi2_5,51227129.970590055,Particulate,-1,Rwi_set1,Glycerol + NH4 + Homarine,6.756153846153846,128.034768
5-Oxoproline,211202_Smp_RWi2_6,NA,Particulate,-1,Rwi_set1,Glycerol + NH4 + Homarine,6.756153846153846,128.034768
Adenine,211202_Smp_OBi1_1,738169536,Particulate,1,OBi1_set2,Glucose + NH4,4.814390243902439,136.06232
Adenine,211202_Smp_OBi1_2,664260032,Particulate,1,OBi1_set2,Glucose + NH4,4.814390243902439,136.06232
Adenine,211202_Smp_OBi1_3,722788992,Particulate,1,OBi1_set2,Glucose + NH4,4.814390243902439,136.06232
Adenine,211202_Smp_OBi1_4,713691968,Particulate,1,OBi1_set2,Homarine,4.814390243902439,136.06232
Adenine,211202_Smp_OBi1_5,144095008,Particulate,1,OBi1_set2,Homarine,4.814390243902439,136.06232
Adenine,211202_Smp_OBi1_6,772798848,Particulate,1,OBi1_set2,Homarine,4.814390243902439,136.06232
Adenine,211202_Smp_OBi1_7,843665984,Particulate,1,OBi1_set2,Glucose + NH4 + Homarine,4.814390243902439,136.06232
Adenine,211202_Smp_OBi1_8,670674304,Particulate,1,OBi1_set2,Glucose + NH4 + Homarine,4.814390243902439,136.06232
Adenine,211202_Smp_OBi1_9,249466160,Particulate,1,OBi1_set2,Glucose + NH4 + Homarine,4.814390243902439,136.06232
Adenine,211202_Smp_OBi1small_1,76408560,Particulate,1,Obi1_set1,Glucose + NH4,4.814390243902439,136.06232
Adenine,211202_Smp_OBi1small_3,100284544,Particulate,1,Obi1_set1,Glucose + NH4,4.814390243902439,136.06232
Adenine,211202_Smp_OBi1small_5,253638352,Particulate,1,Obi1_set1,Homarine,4.814390243902439,136.06232
Adenine,211202_Smp_OBi1small_7,220857712,Particulate,1,Obi1_set1,Homarine,4.814390243902439,136.06232
Adenine,211202_Smp_RWi2_1,24680398,Particulate,1,Rwi_set1,Glycerol + NH4,4.814390243902439,136.06232
Adenine,211202_Smp_RWi2_2,26165394,Particulate,1,Rwi_set1,Glycerol + NH4,4.814390243902439,136.06232
Adenine,211202_Smp_RWi2_3,38102308,Particulate,1,Rwi_set1,Homarine,4.814390243902439,136.06232
Adenine,211202_Smp_RWi2_4,58421920,Particulate,1,Rwi_set1,Homarine,4.814390243902439,136.06232
Adenine,211202_Smp_RWi2_5,29755812,Particulate,1,Rwi_set1,Glycerol + NH4 + Homarine,4.814390243902439,136.06232
Adenine,211202_Smp_RWi2_6,24082638,Particulate,1,Rwi_set1,Glycerol + NH4 + Homarine,4.814390243902439,136.06232
Adenosine,211202_Smp_OBi1_1,1158584110.4496424,Particulate,1,OBi1_set2,Glucose + NH4,4.619230769230769,268.10458
Adenosine,211202_Smp_OBi1_2,737039051.3459301,Particulate,1,OBi1_set2,Glucose + NH4,4.619230769230769,268.10458
Adenosine,211202_Smp_OBi1_3,1063087873.8653274,Particulate,1,OBi1_set2,Glucose + NH4,4.619230769230769,268.10458
Adenosine,211202_Smp_OBi1_4,587529786.5042844,Particulate,1,OBi1_set2,Homarine,4.619230769230769,268.10458
Adenosine,211202_Smp_OBi1_5,384034002.25068927,Particulate,1,OBi1_set2,Homarine,4.619230769230769,268.10458
Adenosine,211202_Smp_OBi1_6,241960118.33728787,Particulate,1,OBi1_set2,Homarine,4.619230769230769,268.10458
Adenosine,211202_Smp_OBi1_7,915968591.0283122,Particulate,1,OBi1_set2,Glucose + NH4 + Homarine,4.619230769230769,268.10458
Adenosine,211202_Smp_OBi1_8,589841631.5334581,Particulate,1,OBi1_set2,Glucose + NH4 + Homarine,4.619230769230769,268.10458
Adenosine,211202_Smp_OBi1_9,633380465.6086957,Particulate,1,OBi1_set2,Glucose + NH4 + Homarine,4.619230769230769,268.10458
Adenosine,211202_Smp_OBi1small_1,90043146.64448553,Particulate,1,Obi1_set1,Glucose + NH4,4.619230769230769,268.10458
Adenosine,211202_Smp_OBi1small_3,99669743.07745276,Particulate,1,Obi1_set1,Glucose + NH4,4.619230769230769,268.10458
Adenosine,211202_Smp_OBi1small_5,185897918.27580452,Particulate,1,Obi1_set1,Homarine,4.619230769230769,268.10458
Adenosine,211202_Smp_OBi1small_7,211833005.8815435,Particulate,1,Obi1_set1,Homarine,4.619230769230769,268.10458
Adenosine,211202_Smp_RWi2_1,5583967.412912138,Particulate,1,Rwi_set1,Glycerol + NH4,4.619230769230769,268.10458
Adenosine,211202_Smp_RWi2_2,2989436.717178713,Particulate,1,Rwi_set1,Glycerol + NH4,4.619230769230769,268.10458
Adenosine,211202_Smp_RWi2_3,6638282.290070308,Particulate,1,Rwi_set1,Homarine,4.619230769230769,268.10458
Adenosine,211202_Smp_RWi2_4,6383847.693150607,Particulate,1,Rwi_set1,Homarine,4.619230769230769,268.10458
Adenosine,211202_Smp_RWi2_5,4540931.985337535,Particulate,1,Rwi_set1,Glycerol + NH4 + Homarine,4.619230769230769,268.10458
Adenosine,211202_Smp_RWi2_6,4174032.5129395593,Particulate,1,Rwi_set1,Glycerol + NH4 + Homarine,4.619230769230769,268.10458
Adenosine diphosphate,211202_Smp_OBi1small_1,4044208,Particulate,-1,Obi1_set1,Glucose + NH4,12.52939393939394,426.021596
Adenosine diphosphate,211202_Smp_OBi1small_3,1913263,Particulate,-1,Obi1_set1,Glucose + NH4,12.52939393939394,426.021596
Adenosine diphosphate,211202_Smp_OBi1small_5,1897717,Particulate,-1,Obi1_set1,Homarine,12.52939393939394,426.021596
Adenosine diphosphate,211202_Smp_OBi1small_7,1323370,Particulate,-1,Obi1_set1,Homarine,12.52939393939394,426.021596
Adenosine diphosphate,211202_Smp_OBi1_1,1264633,Particulate,-1,OBi1_set2,Glucose + NH4,12.52939393939394,426.021596
Adenosine diphosphate,211202_Smp_OBi1_2,3328658,Particulate,-1,OBi1_set2,Glucose + NH4,12.52939393939394,426.021596
Adenosine diphosphate,211202_Smp_OBi1_3,1228335,Particulate,-1,OBi1_set2,Glucose + NH4,12.52939393939394,426.021596
Adenosine diphosphate,211202_Smp_OBi1_4,NA,Particulate,-1,OBi1_set2,Homarine,12.52939393939394,426.021596
Adenosine diphosphate,211202_Smp_OBi1_5,2770472,Particulate,-1,OBi1_set2,Homarine,12.52939393939394,426.021596
Adenosine diphosphate,211202_Smp_OBi1_6,3223078,Particulate,-1,OBi1_set2,Homarine,12.52939393939394,426.021596
Adenosine diphosphate,211202_Smp_OBi1_7,1010396,Particulate,-1,OBi1_set2,Glucose + NH4 + Homarine,12.52939393939394,426.021596
Adenosine diphosphate,211202_Smp_OBi1_8,2929693,Particulate,-1,OBi1_set2,Glucose + NH4 + Homarine,12.52939393939394,426.021596
Adenosine diphosphate,211202_Smp_OBi1_9,5066863,Particulate,-1,OBi1_set2,Glucose + NH4 + Homarine,12.52939393939394,426.021596
Adenosine diphosphate,211202_Smp_RWi2_1,2936175,Particulate,-1,Rwi_set1,Glycerol + NH4,12.52939393939394,426.021596
Adenosine diphosphate,211202_Smp_RWi2_2,2567058,Particulate,-1,Rwi_set1,Glycerol + NH4,12.52939393939394,426.021596
Adenosine diphosphate,211202_Smp_RWi2_3,4242582,Particulate,-1,Rwi_set1,Homarine,12.52939393939394,426.021596
Adenosine diphosphate,211202_Smp_RWi2_4,3596501,Particulate,-1,Rwi_set1,Homarine,12.52939393939394,426.021596
Adenosine diphosphate,211202_Smp_RWi2_5,2659513,Particulate,-1,Rwi_set1,Glycerol + NH4 + Homarine,12.52939393939394,426.021596
Adenosine diphosphate,211202_Smp_RWi2_6,2572267,Particulate,-1,Rwi_set1,Glycerol + NH4 + Homarine,12.52939393939394,426.021596
Adenosine monophosphate,211202_Smp_OBi1small_1,5244616,Particulate,-1,Obi1_set1,Glucose + NH4,10.98764705882353,346.055262
Adenosine monophosphate,211202_Smp_OBi1small_3,4714957,Particulate,-1,Obi1_set1,Glucose + NH4,10.98764705882353,346.055262
Adenosine monophosphate,211202_Smp_OBi1small_5,5944537,Particulate,-1,Obi1_set1,Homarine,10.98764705882353,346.055262
Adenosine monophosphate,211202_Smp_OBi1small_7,6870414,Particulate,-1,Obi1_set1,Homarine,10.98764705882353,346.055262
Adenosine monophosphate,211202_Smp_OBi1_1,1593471,Particulate,-1,OBi1_set2,Glucose + NH4,10.98764705882353,346.055262
Adenosine monophosphate,211202_Smp_OBi1_2,6425140,Particulate,-1,OBi1_set2,Glucose + NH4,10.98764705882353,346.055262
Adenosine monophosphate,211202_Smp_OBi1_3,2018471,Particulate,-1,OBi1_set2,Glucose + NH4,10.98764705882353,346.055262
Adenosine monophosphate,211202_Smp_OBi1_4,NA,Particulate,-1,OBi1_set2,Homarine,10.98764705882353,346.055262
Adenosine monophosphate,211202_Smp_OBi1_5,5433902,Particulate,-1,OBi1_set2,Homarine,10.98764705882353,346.055262
Adenosine monophosphate,211202_Smp_OBi1_6,7743475,Particulate,-1,OBi1_set2,Homarine,10.98764705882353,346.055262
Adenosine monophosphate,211202_Smp_OBi1_7,1392695,Particulate,-1,OBi1_set2,Glucose + NH4 + Homarine,10.98764705882353,346.055262
Adenosine monophosphate,211202_Smp_OBi1_8,9480275,Particulate,-1,OBi1_set2,Glucose + NH4 + Homarine,10.98764705882353,346.055262
Adenosine monophosphate,211202_Smp_OBi1_9,15553344,Particulate,-1,OBi1_set2,Glucose + NH4 + Homarine,10.98764705882353,346.055262
Adenosine monophosphate,211202_Smp_RWi2_1,9522547,Particulate,-1,Rwi_set1,Glycerol + NH4,10.98764705882353,346.055262
Adenosine monophosphate,211202_Smp_RWi2_2,6705843,Particulate,-1,Rwi_set1,Glycerol + NH4,10.98764705882353,346.055262
Adenosine monophosphate,211202_Smp_RWi2_3,10339379,Particulate,-1,Rwi_set1,Homarine,10.98764705882353,346.055262
Adenosine monophosphate,211202_Smp_RWi2_4,8877266,Particulate,-1,Rwi_set1,Homarine,10.98764705882353,346.055262
Adenosine monophosphate,211202_Smp_RWi2_5,10610784,Particulate,-1,Rwi_set1,Glycerol + NH4 + Homarine,10.98764705882353,346.055262
Adenosine monophosphate,211202_Smp_RWi2_6,5601464,Particulate,-1,Rwi_set1,Glycerol + NH4 + Homarine,10.98764705882353,346.055262
Adenosine triphosphate,211202_Smp_OBi1small_1,1181180.0788204886,Particulate,-1,Obi1_set1,Glucose + NH4,13.638571428571428,505.987929
Adenosine triphosphate,211202_Smp_OBi1small_3,1030046.288657728,Particulate,-1,Obi1_set1,Glucose + NH4,13.638571428571428,505.987929
Adenosine triphosphate,211202_Smp_OBi1small_5,NA,Particulate,-1,Obi1_set1,Homarine,13.638571428571428,505.987929
Adenosine triphosphate,211202_Smp_OBi1small_7,NA,Particulate,-1,Obi1_set1,Homarine,13.638571428571428,505.987929
Adenosine triphosphate,211202_Smp_OBi1_1,100905.6333876767,Particulate,-1,OBi1_set2,Glucose + NH4,13.638571428571428,505.987929
Adenosine triphosphate,211202_Smp_OBi1_2,204788.90725193013,Particulate,-1,OBi1_set2,Glucose + NH4,13.638571428571428,505.987929
Adenosine triphosphate,211202_Smp_OBi1_3,NA,Particulate,-1,OBi1_set2,Glucose + NH4,13.638571428571428,505.987929
Adenosine triphosphate,211202_Smp_OBi1_4,NA,Particulate,-1,OBi1_set2,Homarine,13.638571428571428,505.987929
Adenosine triphosphate,211202_Smp_OBi1_5,146865.10391557802,Particulate,-1,OBi1_set2,Homarine,13.638571428571428,505.987929
Adenosine triphosphate,211202_Smp_OBi1_6,268197.5092137311,Particulate,-1,OBi1_set2,Homarine,13.638571428571428,505.987929
Adenosine triphosphate,211202_Smp_OBi1_7,61438.1908118463,Particulate,-1,OBi1_set2,Glucose + NH4 + Homarine,13.638571428571428,505.987929
