...1,replicate_name,precursor_ion_name,retention_time,area,background,height,mass_error_ppm,flags,QC_area
48,220302_Smp_RWi2_4,2-Hydroxy-4-(methylthio)butyric acid,NA,NA,NA,NA,NA,NA,NA
49,220302_Smp_RWi2_5,2-Hydroxy-4-(methylthio)butyric acid,NA,NA,NA,NA,NA,NA,NA
50,220302_Smp_RWi2_6,2-Hydroxy-4-(methylthio)butyric acid,NA,NA,NA,NA,NA,NA,NA
51,220302_Std_4uMStdsMix1InH2O_1,3-Sulfopyruvic acid,NA,NA,NA,NA,NA,NA,NA
52,220302_Std_4uMStdsMix1InH2O_2,3-Sulfopyruvic acid,NA,NA,NA,NA,NA,NA,NA
53,220302_Std_4uMStdsMix1InMatrix_1,3-Sulfopyruvic acid,NA,NA,NA,NA,NA,NA,NA
54,220302_Std_4uMStdsMix1InMatrix_2,3-Sulfopyruvic acid,NA,NA,NA,NA,NA,NA,NA
55,220302_Std_4uMStdsMix2InH2O_1,3-Sulfopyruvic acid,14.52,93274440,0,6679662,-1.1,NA,93274440
56,220302_Std_4uMStdsMix2InH2O_2,3-Sulfopyruvic acid,13.96,594230656,0,33682240,-0.4,NA,594230656
57,220302_Std_4uMStdsMix2InMatrix_1,3-Sulfopyruvic acid,14.54,87694896,0,7625241,-0.8,NA,87694896
58,220302_Std_4uMStdsMix2InMatrix_2,3-Sulfopyruvic acid,13.98,607331648,0,54874064,0.1,NA,607331648
59,220302_Std_H2OinMatrix_1,3-Sulfopyruvic acid,NA,NA,NA,NA,NA,NA,NA
60,220302_Std_H2OinMatrix_2,3-Sulfopyruvic acid,13.99,7100751,0,859632,-0.3,blank_flag,NA
61,220302_Poo_TruePooBacteria_Full1,3-Sulfopyruvic acid,14.46,142619,0,102902,-0.2,blank_flag,NA
62,220302_Poo_TruePooBacteria_Full2,3-Sulfopyruvic acid,14.38,1169274,0,165810,-0.6,blank_flag,NA
63,220302_Poo_TruePooBacteria_Full3,3-Sulfopyruvic acid,14.08,10367794,0,839515,0.3,NA,10367794
64,220302_Poo_TruePooBacteria_Half1,3-Sulfopyruvic acid,14.44,101533,0,93010,1.7,blank_flag,NA
65,220302_Poo_TruePooBacteria_Half2,3-Sulfopyruvic acid,NA,NA,NA,NA,NA,NA,NA
66,220302_Poo_TruePooBacteria_Half3,3-Sulfopyruvic acid,14.07,5280662,0,645488,0.2,blank_flag,NA
67,220302_Smp_MQBlk1_A,3-Sulfopyruvic acid,14.54,227888,0,97830,-0.8,blank_flag,NA
68,220302_Smp_MQBlk1_B,3-Sulfopyruvic acid,14.06,NA,0,0,NA,NA,NA
69,220302_Smp_MQBlk1_C,3-Sulfopyruvic acid,13.96,NA,0,0,NA,NA,NA
70,220302_Smp_MQBlk2_A,3-Sulfopyruvic acid,14.26,111720,0,108439,0.3,blank_flag,NA
71,220302_Smp_MQBlk2_B,3-Sulfopyruvic acid,14.2,361035,0,175795,-1.2,blank_flag,NA
72,220302_Smp_MQBlk2_C,3-Sulfopyruvic acid,14.18,2128887,0,349124,-0.4,blank_flag,NA
73,220302_Smp_MQBlk3_A,3-Sulfopyruvic acid,14.1,10722185,0,911081,0,NA,10722185
74,220302_Smp_MQBlk3_B,3-Sulfopyruvic acid,14.12,5481481,0,564271,-0.1,blank_flag,NA
75,220302_Smp_MQBlk3_C,3-Sulfopyruvic acid,14.09,4403996,0,635751,0.2,blank_flag,NA
76,220302_Smp_SupernatBlk_1,3-Sulfopyruvic acid,13.93,NA,0,0,NA,NA,NA
77,220302_Smp_SupernatBlk_2,3-Sulfopyruvic acid,14.14,774625,0,200090,0,blank_flag,NA
78,220302_Smp_SupernatBlk_3,3-Sulfopyruvic acid,14.13,2315637,0,306542,0.5,blank_flag,NA
79,220302_Smp_SWBlk_1,3-Sulfopyruvic acid,14.43,469468,0,112819,0.5,blank_flag,NA
80,220302_Smp_SWBlk_2,3-Sulfopyruvic acid,14.3,661022,0,158754,-0.2,blank_flag,NA
81,220302_Smp_SWBlk_3,3-Sulfopyruvic acid,13.88,NA,0,0,NA,NA,NA
82,220302_Smp_OBi1_1,3-Sulfopyruvic acid,14.36,2622323,0,268753,0.5,blank_flag,NA
83,220302_Smp_OBi1_2,3-Sulfopyruvic acid,14.13,2141869,0,314166,0.2,blank_flag,NA
84,220302_Smp_OBi1_3,3-Sulfopyruvic acid,14.09,17132594,0,1663847,-0.1,NA,17132594
85,220302_Smp_OBi1_4,3-Sulfopyruvic acid,NA,NA,NA,NA,NA,NA,NA
86,220302_Smp_OBi1_5,3-Sulfopyruvic acid,14.6,129413,0,109337,0.2,blank_flag,NA
87,220302_Smp_OBi1_6,3-Sulfopyruvic acid,14.43,126128,0,78891,0.3,blank_flag,NA
88,220302_Smp_OBi1_7,3-Sulfopyruvic acid,14.1,5043428,0,493781,0.3,blank_flag,NA
89,220302_Smp_OBi1_8,3-Sulfopyruvic acid,14.26,922001,0,195162,-0.9,blank_flag,NA
90,220302_Smp_OBi1_9,3-Sulfopyruvic acid,14.39,1762441,0,165385,0.5,blank_flag,NA
91,220302_Smp_OBi1small_1,3-Sulfopyruvic acid,14.58,454299,0,86794,0.4,blank_flag,NA
92,220302_Smp_OBi1small_2,3-Sulfopyruvic acid,14.15,876113,0,224313,-0.1,blank_flag,NA
93,220302_Smp_OBi1small_3,3-Sulfopyruvic acid,NA,NA,NA,NA,NA,NA,NA
94,220302_Smp_OBi1small_4,3-Sulfopyruvic acid,14.26,4226850,0,351970,0.8,blank_flag,NA
95,220302_Smp_RWi2_1,3-Sulfopyruvic acid,NA,NA,NA,NA,NA,NA,NA
96,220302_Smp_RWi2_2,3-Sulfopyruvic acid,14.13,5166257,0,507794,0.8,blank_flag,NA
97,220302_Smp_RWi2_3,3-Sulfopyruvic acid,14.14,4955237,0,654768,-0.3,blank_flag,NA
98,220302_Smp_RWi2_4,3-Sulfopyruvic acid,14.33,2191362,0,237165,0.7,blank_flag,NA
99,220302_Smp_RWi2_5,3-Sulfopyruvic acid,14.43,838883,0,154085,0.2,blank_flag,NA
100,220302_Smp_RWi2_6,3-Sulfopyruvic acid,14.47,1123905,0,177269,0.2,blank_flag,NA
101,220302_Std_4uMStdsMix1InH2O_1,N-Acetyl-L-glutamic acid,11.39,820819008,558830,60574512,-0.1,NA,820819008
102,220302_Std_4uMStdsMix1InH2O_2,N-Acetyl-L-glutamic acid,10.44,1995575168,3086973,111460880,0.3,NA,1995575168
103,220302_Std_4uMStdsMix1InMatrix_1,N-Acetyl-L-glutamic acid,11.4,980784064,10074207,79912800,0.2,NA,980784064
104,220302_Std_4uMStdsMix1InMatrix_2,N-Acetyl-L-glutamic acid,10.57,1937042816,0,130005200,0.3,NA,1937042816
105,220302_Std_4uMStdsMix2InH2O_1,N-Acetyl-L-glutamic acid,NA,NA,NA,NA,NA,NA,NA
106,220302_Std_4uMStdsMix2InH2O_2,N-Acetyl-L-glutamic acid,NA,NA,NA,NA,NA,NA,NA
107,220302_Std_4uMStdsMix2InMatrix_1,N-Acetyl-L-glutamic acid,NA,NA,NA,NA,NA,NA,NA
108,220302_Std_4uMStdsMix2InMatrix_2,N-Acetyl-L-glutamic acid,NA,NA,NA,NA,NA,NA,NA
109,220302_Std_H2OinMatrix_1,N-Acetyl-L-glutamic acid,NA,NA,NA,NA,NA,NA,NA
110,220302_Std_H2OinMatrix_2,N-Acetyl-L-glutamic acid,11.84,191331,0,155881,1.1,blank_flag,NA
111,220302_Poo_TruePooBacteria_Full1,N-Acetyl-L-glutamic acid,11.87,137842,0,85512,1.5,blank_flag,NA
112,220302_Poo_TruePooBacteria_Full2,N-Acetyl-L-glutamic acid,11.87,322560,0,121869,5.6,blank_flag,NA
113,220302_Poo_TruePooBacteria_Full3,N-Acetyl-L-glutamic acid,11.09,1288530,0,206956,1.7,NA,1288530
114,220302_Poo_TruePooBacteria_Half1,N-Acetyl-L-glutamic acid,11.87,145747,0,94172,1.7,blank_flag,NA
115,220302_Poo_TruePooBacteria_Half2,N-Acetyl-L-glutamic acid,NA,NA,NA,NA,NA,NA,NA
116,220302_Poo_TruePooBacteria_Half3,N-Acetyl-L-glutamic acid,NA,NA,NA,NA,NA,NA,NA
117,220302_Smp_MQBlk1_A,N-Acetyl-L-glutamic acid,11.83,169653,0,94846,2.7,blank_flag,NA
118,220302_Smp_MQBlk1_B,N-Acetyl-L-glutamic acid,11.93,272948,0,77895,2.2,blank_flag,NA
119,220302_Smp_MQBlk1_C,N-Acetyl-L-glutamic acid,11.85,133097,0,99357,1.4,blank_flag,NA
120,220302_Smp_MQBlk2_A,N-Acetyl-L-glutamic acid,10.88,920415,0,208524,3.3,blank_flag,NA
121,220302_Smp_MQBlk2_B,N-Acetyl-L-glutamic acid,11.64,250501,0,70557,3.7,blank_flag,NA
122,220302_Smp_MQBlk2_C,N-Acetyl-L-glutamic acid,12.49,1213667,0,218051,4.9,NA,1213667
123,220302_Smp_MQBlk3_A,N-Acetyl-L-glutamic acid,11.76,129862,0,66899,2.2,blank_flag,NA
124,220302_Smp_MQBlk3_B,N-Acetyl-L-glutamic acid,11.87,151331,0,86917,2.5,blank_flag,NA
125,220302_Smp_MQBlk3_C,N-Acetyl-L-glutamic acid,11.73,122622,0,80066,3.2,blank_flag,NA
126,220302_Smp_SupernatBlk_1,N-Acetyl-L-glutamic acid,12.26,450475,0,121907,3.9,blank_flag,NA
127,220302_Smp_SupernatBlk_2,N-Acetyl-L-glutamic acid,NA,NA,NA,NA,NA,NA,NA
128,220302_Smp_SupernatBlk_3,N-Acetyl-L-glutamic acid,NA,NA,NA,NA,NA,NA,NA
129,220302_Smp_SWBlk_1,N-Acetyl-L-glutamic acid,11.84,71099,0,43552,3.1,blank_flag,NA
130,220302_Smp_SWBlk_2,N-Acetyl-L-glutamic acid,11.18,353584,0,144552,2.3,blank_flag,NA
131,220302_Smp_SWBlk_3,N-Acetyl-L-glutamic acid,NA,NA,NA,NA,NA,NA,NA
132,220302_Smp_OBi1_1,N-Acetyl-L-glutamic acid,11.1,710011,0,196704,5.9,blank_flag,NA
133,220302_Smp_OBi1_2,N-Acetyl-L-glutamic acid,11.78,634191,0,140429,4.2,blank_flag,NA
134,220302_Smp_OBi1_3,N-Acetyl-L-glutamic acid,NA,NA,NA,NA,NA,NA,NA
135,220302_Smp_OBi1_4,N-Acetyl-L-glutamic acid,NA,NA,NA,NA,NA,NA,NA
136,220302_Smp_OBi1_5,N-Acetyl-L-glutamic acid,NA,NA,NA,NA,NA,NA,NA
137,220302_Smp_OBi1_6,N-Acetyl-L-glutamic acid,NA,NA,NA,NA,NA,NA,NA
138,220302_Smp_OBi1_7,N-Acetyl-L-glutamic acid,11.72,1457699,0,310955,2.5,NA,1457699
139,220302_Smp_OBi1_8,N-Acetyl-L-glutamic acid,12.09,1202825,0,191515,4.2,NA,1202825
140,220302_Smp_OBi1_9,N-Acetyl-L-glutamic acid,11.84,366635,0,114903,5.1,blank_flag,NA
141,220302_Smp_OBi1small_1,N-Acetyl-L-glutamic acid,11.84,82810,0,76190,1.1,blank_flag,NA
142,220302_Smp_OBi1small_2,N-Acetyl-L-glutamic acid,11.92,758621,0,202808,1.9,blank_flag,NA
143,220302_Smp_OBi1small_3,N-Acetyl-L-glutamic acid,11.8,222427,0,162578,5.7,blank_flag,NA
144,220302_Smp_OBi1small_4,N-Acetyl-L-glutamic acid,NA,NA,NA,NA,NA,NA,NA
145,220302_Smp_RWi2_1,N-Acetyl-L-glutamic acid,11.83,119807,0,94958,3.6,blank_flag,NA
146,220302_Smp_RWi2_2,N-Acetyl-L-glutamic acid,NA,NA,NA,NA,NA,NA,NA
147,220302_Smp_RWi2_3,N-Acetyl-L-glutamic acid,NA,NA,NA,NA,NA,NA,NA
148,220302_Smp_RWi2_4,N-Acetyl-L-glutamic acid,11.95,717146,0,154463,5.6,blank_flag,NA
149,220302_Smp_RWi2_5,N-Acetyl-L-glutamic acid,11.83,335580,0,182865,4.1,blank_flag,NA
150,220302_Smp_RWi2_6,N-Acetyl-L-glutamic acid,NA,NA,NA,NA,NA,NA,NA
151,220302_Std_4uMStdsMix1InH2O_1,Acetylglycine,6.59,208628752,0,6528312,-3.1,NA,208628752
152,220302_Std_4uMStdsMix1InH2O_2,Acetylglycine,4.96,444097280,26403232,11314432,-3.2,NA,444097280
153,220302_Std_4uMStdsMix1InMatrix_1,Acetylglycine,7.04,200363408,0,5732578,-2.9,NA,200363408
154,220302_Std_4uMStdsMix1InMatrix_2,Acetylglycine,5.93,392515008,0,6371583,-3,NA,392515008
155,220302_Std_4uMStdsMix2InH2O_1,Acetylglycine,NA,NA,NA,NA,NA,NA,NA
156,220302_Std_4uMStdsMix2InH2O_2,Acetylglycine,NA,NA,NA,NA,NA,NA,NA
157,220302_Std_4uMStdsMix2InMatrix_1,Acetylglycine,NA,NA,NA,NA,NA,NA,NA
158,220302_Std_4uMStdsMix2InMatrix_2,Acetylglycine,NA,NA,NA,NA,NA,NA,NA
159,220302_Std_H2OinMatrix_1,Acetylglycine,8.51,3667301,0,399248,-3.3,blank_flag,NA
160,220302_Std_H2OinMatrix_2,Acetylglycine,7.83,334498,0,125540,-1.2,blank_flag,NA
161,220302_Poo_TruePooBacteria_Full1,Acetylglycine,8.34,7052272,0,670184,-2.9,blank_flag,NA
162,220302_Poo_TruePooBacteria_Full2,Acetylglycine,8.21,6984970,0,628458,-2.5,blank_flag,NA
163,220302_Poo_TruePooBacteria_Full3,Acetylglycine,7.8,7489517,0,742083,-2.6,blank_flag,NA
164,220302_Poo_TruePooBacteria_Half1,Acetylglycine,8.35,3957582,0,432613,-2.8,blank_flag,NA
165,220302_Poo_TruePooBacteria_Half2,Acetylglycine,8.15,3220506,0,329160,-2.5,blank_flag,NA
166,220302_Poo_TruePooBacteria_Half3,Acetylglycine,7.7,4080891,0,330805,-2.8,blank_flag,NA
167,220302_Smp_MQBlk1_A,Acetylglycine,7.79,74614,0,62344,-2.6,blank_flag,NA
168,220302_Smp_MQBlk1_B,Acetylglycine,7.84,222040,0,122466,-3,blank_flag,NA
169,220302_Smp_MQBlk1_C,Acetylglycine,8.41,9003659,0,865418,-3,blank_flag,NA
170,220302_Smp_MQBlk2_A,Acetylglycine,8.17,7155255,0,703763,-2.5,blank_flag,NA
171,220302_Smp_MQBlk2_B,Acetylglycine,8.18,3995979,0,341392,-2.5,blank_flag,NA
172,220302_Smp_MQBlk2_C,Acetylglycine,8.11,6455638,0,466037,-2.3,blank_flag,NA
173,220302_Smp_MQBlk3_A,Acetylglycine,7.85,3990129,0,484869,-2.2,blank_flag,NA
174,220302_Smp_MQBlk3_B,Acetylglycine,7.81,4847294,0,421297,-2.2,blank_flag,NA
175,220302_Smp_MQBlk3_C,Acetylglycine,7.76,5730308,0,541680,-2.4,blank_flag,NA
176,220302_Smp_SupernatBlk_1,Acetylglycine,8.25,6841582,0,938216,-2.7,blank_flag,NA
177,220302_Smp_SupernatBlk_2,Acetylglycine,7.84,979942,0,237392,-2.8,blank_flag,NA
178,220302_Smp_SupernatBlk_3,Acetylglycine,7.99,8547691,0,723673,-2.8,blank_flag,NA
179,220302_Smp_SWBlk_1,Acetylglycine,8.45,7041361,0,599313,-2,blank_flag,NA
180,220302_Smp_SWBlk_2,Acetylglycine,8.13,5437640,0,483190,-2.4,blank_flag,NA
181,220302_Smp_SWBlk_3,Acetylglycine,7.82,417291,0,233774,-2,blank_flag,NA
182,220302_Smp_OBi1_1,Acetylglycine,8.17,9671686,0,812229,-1.8,blank_flag,NA
183,220302_Smp_OBi1_2,Acetylglycine,7.83,5860458,0,504317,-2.9,blank_flag,NA
184,220302_Smp_OBi1_3,Acetylglycine,7.83,6680283,0,632082,-2.7,blank_flag,NA
185,220302_Smp_OBi1_4,Acetylglycine,7.79,267933,0,151005,-2.4,blank_flag,NA
186,220302_Smp_OBi1_5,Acetylglycine,8.54,9442937,0,947778,-2.2,blank_flag,NA
187,220302_Smp_OBi1_6,Acetylglycine,8.21,5851718,0,571459,-2.3,blank_flag,NA
188,220302_Smp_OBi1_7,Acetylglycine,7.91,6833374,0,543047,-2.8,blank_flag,NA
189,220302_Smp_OBi1_8,Acetylglycine,8.09,7115180,0,597656,-2.4,blank_flag,NA
190,220302_Smp_OBi1_9,Acetylglycine,8.07,7912695,0,611015,-2.1,blank_flag,NA
191,220302_Smp_OBi1small_1,Acetylglycine,7.81,94027,0,79639,-2.5,blank_flag,NA
192,220302_Smp_OBi1small_2,Acetylglycine,8.05,6357804,0,532784,-2.5,blank_flag,NA
193,220302_Smp_OBi1small_3,Acetylglycine,8.51,4931977,0,492752,-2.9,blank_flag,NA
194,220302_Smp_OBi1small_4,Acetylglycine,7.88,1740103,0,260150,-1.9,blank_flag,NA
195,220302_Smp_RWi2_1,Acetylglycine,7.87,339443,0,120195,-2,blank_flag,NA
196,220302_Smp_RWi2_2,Acetylglycine,7.96,7839577,0,656718,-2.7,blank_flag,NA
197,220302_Smp_RWi2_3,Acetylglycine,8,7538921,0,532648,-2.7,blank_flag,NA
198,220302_Smp_RWi2_4,Acetylglycine,8.06,6889094,39557,615985,-2.1,blank_flag,NA
199,220302_Smp_RWi2_5,Acetylglycine,8.33,7363575,0,772190,-2.6,blank_flag,NA
200,220302_Smp_RWi2_6,Acetylglycine,8.17,4419875,0,503232,-2.2,blank_flag,NA
201,220302_Std_4uMStdsMix1InH2O_1,cis-Aconitic acid,14.55,954391104,5594648,75040960,-1,NA,954391104
202,220302_Std_4uMStdsMix1InH2O_2,cis-Aconitic acid,14.32,1197974784,8291877,78733488,-0.2,NA,1197974784
203,220302_Std_4uMStdsMix1InMatrix_1,cis-Aconitic acid,14.58,976943296,12546615,85066920,-0.8,NA,976943296
204,220302_Std_4uMStdsMix1InMatrix_2,cis-Aconitic acid,14.33,1132475392,13232978,87913472,-0.1,NA,1132475392
205,220302_Std_4uMStdsMix2InH2O_1,cis-Aconitic acid,NA,NA,NA,NA,NA,NA,NA
206,220302_Std_4uMStdsMix2InH2O_2,cis-Aconitic acid,NA,NA,NA,NA,NA,NA,NA
207,220302_Std_4uMStdsMix2InMatrix_1,cis-Aconitic acid,NA,NA,NA,NA,NA,NA,NA
208,220302_Std_4uMStdsMix2InMatrix_2,cis-Aconitic acid,NA,NA,NA,NA,NA,NA,NA
209,220302_Std_H2OinMatrix_1,cis-Aconitic acid,NA,NA,NA,NA,NA,NA,NA
210,220302_Std_H2OinMatrix_2,cis-Aconitic acid,13.76,73524,0,77895,0.1,blank_flag,NA
211,220302_Poo_TruePooBacteria_Full1,cis-Aconitic acid,14.26,91086,0,61058,3.7,blank_flag,NA
212,220302_Poo_TruePooBacteria_Full2,cis-Aconitic acid,NA,NA,NA,NA,NA,NA,NA
213,220302_Poo_TruePooBacteria_Full3,cis-Aconitic acid,NA,NA,NA,NA,NA,NA,NA
214,220302_Poo_TruePooBacteria_Half1,cis-Aconitic acid,14.18,90293,0,78752,-1.2,blank_flag,NA
215,220302_Poo_TruePooBacteria_Half2,cis-Aconitic acid,NA,NA,NA,NA,NA,NA,NA
216,220302_Poo_TruePooBacteria_Half3,cis-Aconitic acid,14.44,96490,0,101259,0,blank_flag,NA
217,220302_Smp_MQBlk1_A,cis-Aconitic acid,14.58,342605,0,135546,-0.4,blank_flag,NA
218,220302_Smp_MQBlk1_B,cis-Aconitic acid,14.58,143618,0,92139,0.4,blank_flag,NA
219,220302_Smp_MQBlk1_C,cis-Aconitic acid,14.51,366811,0,105526,-0.5,blank_flag,NA
220,220302_Smp_MQBlk2_A,cis-Aconitic acid,14.47,121907,0,97916,2.5,blank_flag,NA
221,220302_Smp_MQBlk2_B,cis-Aconitic acid,13.87,63363,0,64634,0.4,blank_flag,NA
222,220302_Smp_MQBlk2_C,cis-Aconitic acid,14.27,NA,0,0,NA,NA,NA
223,220302_Smp_MQBlk3_A,cis-Aconitic acid,14.43,112828,0,69486,1.9,blank_flag,NA
224,220302_Smp_MQBlk3_B,cis-Aconitic acid,14.01,NA,0,0,NA,NA,NA
225,220302_Smp_MQBlk3_C,cis-Aconitic acid,14.38,129583,0,119944,0.6,blank_flag,NA
226,220302_Smp_SupernatBlk_1,cis-Aconitic acid,14.98,66370,0,59791,4.3,blank_flag,NA
227,220302_Smp_SupernatBlk_2,cis-Aconitic acid,NA,NA,NA,NA,NA,NA,NA
228,220302_Smp_SupernatBlk_3,cis-Aconitic acid,NA,NA,NA,NA,NA,NA,NA
229,220302_Smp_SWBlk_1,cis-Aconitic acid,NA,NA,NA,NA,NA,NA,NA
230,220302_Smp_SWBlk_2,cis-Aconitic acid,NA,NA,NA,NA,NA,NA,NA
231,220302_Smp_SWBlk_3,cis-Aconitic acid,14.53,114066,0,84318,0.7,blank_flag,NA
232,220302_Smp_OBi1_1,cis-Aconitic acid,14.46,507125,0,143396,1.4,blank_flag,NA
233,220302_Smp_OBi1_2,cis-Aconitic acid,NA,NA,NA,NA,NA,NA,NA
234,220302_Smp_OBi1_3,cis-Aconitic acid,14.66,82599,0,54528,1.3,blank_flag,NA
235,220302_Smp_OBi1_4,cis-Aconitic acid,NA,NA,NA,NA,NA,NA,NA
236,220302_Smp_OBi1_5,cis-Aconitic acid,14.6,96461,0,81497,-0.1,blank_flag,NA
237,220302_Smp_OBi1_6,cis-Aconitic acid,14.07,236662,0,239381,0,blank_flag,NA
238,220302_Smp_OBi1_7,cis-Aconitic acid,NA,NA,NA,NA,NA,NA,NA
239,220302_Smp_OBi1_8,cis-Aconitic acid,NA,NA,NA,NA,NA,NA,NA
