replicate_name,sample_set,treatment,sample_fraction,(3-Carboxypropyl)trimethylammonium,2-Hydroxy-4-(methylthio)butyric acid,2-Ketoglutaric acid,3-Phosphoglycerate,5-Hydroxyectoine,5-Oxoproline,Adenine,Adenosine,Adenosine diphosphate,Adenosine monophosphate,Adenosine triphosphate,Citric acid,Citrulline,Creatine,"Cys-Gly, oxidized",Cytidine,Cytosine,D-Fructose 6-phosphate,D-Gluconic acid,D-Glucose 1-phosphate,D-Glucose 6-phosphate,D-Ribose 5-phosphate,Deoxyadenosine,Dihydroxyacetone phosphate,Dimethylsulfoniopropionate,Ectoine,Fumaric acid,Glucosamine,Glutamylphenylalanine,Glutathione,Glutathione disulfide,Glycerophosphocholine,Glycerophosphoric acid,Glycine,Gonyol,Guanine,Guanosine,Guanosine monophosphate,Homarine,Hydroxyproline,Hypoxanthine,Inosine,Isocitric acid,L-Alanine,L-Arginine,L-Arginosuccinic acid,L-Aspartic acid,L-Cystathionine,L-Cysteic acid,L-Cystine,L-Glutamic acid,L-Glutamine,L-Histidine,L-Homoserine,L-Isoleucine,L-Leucine,L-Lysine,L-Methionine,L-Methionine S-oxide,L-Ornithine,L-Proline,L-Serine,L-Threonine,L-Tyrosine,Malic acid,N-Acetyl-D-glucosamine,N-Acetyl-L-glutamic acid,N-Acetylmuramic acid,N6-Methyladenine,NAD,NADH,NADP,NADPH,Ophthalmic acid,Orotic acid,Phosphoenolpyruvic acid,Pipecolic acid,Propionylglycine,Succinic acid,Taurine,Thiamine diphosphate,Thymidine,Thymine,UDP-N-acetylglucosamine,UDP-glucose,Uracil,Uridine,cis-Aconitic acid,n-methyl glutamic acid,n-methyl glutamine,unknown_C6H9NO3_1_neg,unknown_C6H9NO4_neg,unknown_C6H9NO4_pos,unknown_C6H9NO4_pos_early,unknown_C7H9NO5_pos,"2,5-Dihydroxybenzoic acid",Allantoin,Melamine
211202_Smp_OBi1small_3,Obi1_set1,Glucose + NH4,Particulate,323761,NA,12886714,873830.15570771,712110676.9575324,NA,100284544,99669743.07745276,1913263,4714957,1030046.288657728,28674843.41967772,6030083,NA,441881.0720150835,4625342.550300017,23789118,2138502.0650845673,4923323.198164162,2138502.0650845673,1697034.742487689,1024215,4380284,48065,NA,15946122171.927889,NA,216862.2216508088,NA,NA,1287129.4057708413,NA,1773187,1550584.1389226755,197617,9916993,2113524.2890189528,830785,NA,96733.70225339108,69818672,70597.84659269883,30631288.64868112,12820644.572261402,14254494.944042064,77710.43462701056,14267632,NA,59968,194905,537372522.2012463,76788535.21928583,18678314.931440815,2075679.8153673157,NA,NA,2331502.059711556,5194227,86228.82968730589,3437487.5997763285,13556511.548297605,2150813.045075007,5842076.380059089,4267828.011281979,32988842,174579,49628132,180380,NA,1876645.5229107428,NA,113050,NA,1359048.799565466,56715,495828.4748964482,4534873.047749346,488328.50465397583,NA,NA,274088.5871125055,801373,5886082.139060074,1116611.9128916068,2040160.566292686,12277617,11627091.263871351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211202_Smp_OBi1small_5,Obi1_set1,Homarine,Particulate,323846,NA,24272080,929808.5971145713,639578837.9964706,NA,253638352,185897918.27580452,1897717,5944537,NA,43694146.156957455,14865465,NA,317303.54901066946,9899008.854227934,58975500,3911248.181956447,1985926.4042318305,4053826.156879459,3260917.293050387,1624110,13704634,210088,NA,12627973679.949747,NA,218510.97455575495,NA,5739550.690599378,646311.804362971,NA,6336708,2385972.6616966855,131039,18691942,2851408.47150429,527815,808837491.886606,78008.41854715077,214170016,NA,45583239.61119149,32655880.34651448,19885156.76279257,169406.17430442572,46660928,NA,85180,366696,846181996.9843447,322722196.1337412,27646615.22758403,5127323.237953721,NA,NA,5225598.575368229,5560662,94172.04746328748,2963829.5393713256,18926314.651482828,2688310.639726226,11218403.905037614,4980115.169791142,53887868,412312,62146180,553583,72052.70549871701,2581671.460228608,NA,238236,NA,1116004.7967886748,5312214,489008.6955186378,5395692.289057595,1033759.2133254784,NA,NA,444887.52051855746,1328300,NA,1573628.6421194726,4381396.818329657,29768470,21447926.119193908,416791.6701812141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211202_Smp_OBi1small_7,Obi1_set1,Homarine,Particulate,344334,NA,32770294,983151.6251088778,675713835.5254897,NA,220857712,211833005.8815435,1323370,6870414,NA,76650187.91158858,14277152,NA,438185.69799743744,12148130.541891277,66678620,3852935.888244437,2093756.5566427456,3907759.39303786,3297835.2488278607,1928489,13022990,192874,NA,13401167636.0154,6047643,NA,NA,2438282.9680686397,660275.2582628089,NA,8109166,2482428.138054526,170407,21889188,5010671.144271762,859736,3271737429.9630337,84640.57177286095,225765056,297217.7791877199,79016850.13231024,32893494.195751287,18556795.795943227,172977.85803136547,40032836,42784.0008512378,115989,431939,912096888.1409352,399813714.8939644,21715393.3960268,5446445.324604284,NA,NA,4529650.492615564,5561055,70097.55873857654,NA,18224887.00152087,2859602.3680144786,10414005.041161554,4899010.000047247,66024904,408856,61288792,613015,90371.43108228932,2538524.5207561394,49265,299802,NA,1153520.2969395772,1989404,562878.4486158575,5913156.237146516,1451573.2415281243,19912382,NA,402946.4579014995,1486550,11042386.884679051,1473878.1944393388,3571437.0008383966,32767894,19563600.814826563,696035.9733587297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211202_Smp_RWi2_1,Rwi_set1,Glycerol + NH4,Particulate,NA,NA,16804258,9231116.14114554,2593212.07206054,NA,24680398,5583967.412912138,2936175,9522547,148645.39177027257,39038789.82758728,6662644,NA,NA,261586.34459853772,9267637,19289168.156206418,30352974.17630604,19289168.156206418,13831693.984750915,6587152,462593,21142904,NA,16461229663.658688,10173818,328836.3909196332,NA,876866.2962792565,1970743.9941560496,491028,75269096,1804337.5092425256,NA,5397411,107977.91880652789,354536,NA,NA,4025776,NA,40411281.071986996,33370633.889636815,15334995.689404633,609671.0617374652,9891545,76623.2923964731,66526,58089,751880977.7714987,489234221.95029414,NA,583261.460206785,NA,NA,1449860.8167577905,6020820,202141.21669076756,NA,16120414.708406722,5415819.655296935,3698699.999506052,2364263.9272577283,150122064,208155,87613496,418307,51298.25516285332,2743983.748836496,NA,85054,NA,2668406.916121774,982360,601291.9862266849,NA,NA,NA,861225.1841814269,161748.02366674508,NA,NA,684911.429399349,781356.9923927153,NA,144609.60843712254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211202_Smp_RWi2_2,Rwi_set1,Glycerol + NH4,Particulate,NA,NA,8960938,6863533.238277879,NA,NA,26165394,2989436.717178713,2567058,6705843,115649.27344265714,24827238.71525373,5944359,NA,NA,212161.0897236908,9477170,20345395.248406976,29578802.13760685,20978658.762142792,14691338.843840402,5213303,420209,19883832,NA,15190007861.37353,8062013,302715.94086764153,NA,1176348.857236329,1793755.181962453,612746,71164176,1602355.1840442517,NA,5760307,86209.1962898902,216632,143091767.4868301,NA,1627074,NA,26096580.1641466,29845386.140648745,13252693.738255024,435388.05192612944,8507453,44402.643719485255,45866,NA,661410473.764167,430096358.5765017,NA,521863.9498104564,NA,NA,1390993.7122706487,5436522,375713.7730085283,NA,13248200.882918088,4766337.156434108,3061929.45412778,2312822.2682747245,128142808,120061,93001688,373726,58424.4460862343,2732190.203375398,NA,110429,NA,2270123.80632782,377169,61044.528171912214,NA,NA,NA,1662384.1838010035,199543.9189987965,NA,NA,702044.8357252261,547778.185188907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211202_Smp_RWi2_3,Rwi_set1,Homarine,Particulate,NA,NA,5157658,323029.4238619743,NA,NA,38102308,6638282.290070308,4242582,10339379,867183.3514841772,15722197.701576326,4093840,NA,NA,388879.086595525,18307502,1623796.8692035663,2328075.3226747885,1531566.639501309,3650703.856158321,414873,428245,258164,NA,213002104.2787608,17305262,NA,NA,766597.8090969443,3398498.4526885725,1424005,841846,1311021.725930109,NA,9941498,329433.1264934927,1886703,31882564815.28145,NA,4041847,NA,14998392.596965604,11694700.813616231,19747562.898456015,672707.5395393518,40956540,NA,NA,NA,1091341944.8084686,120120066.47041786,NA,4121842.001452413,NA,20368936.2324199,2183817.401997294,4816605,139609.9497286498,30063250.701100983,21938762.15118316,1626440.629862257,3277652.702037775,3190272.3620459116,253523200,255498,63524804,981459,80399.73492170287,3060832.4511158587,NA,177864,NA,1421673.09550482,2060983,741661.8051526693,NA,NA,26121886,215861.53108139103,315264.4013306474,NA,NA,604898.1607252004,316702.2022993026,3930481,310420.11658175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211202_Smp_RWi2_4,Rwi_set1,Homarine,Particulate,NA,NA,5497989,365046.1178363483,NA,NA,58421920,6383847.693150607,3596501,8877266,503680.1068302665,29688568.602253728,4076094,NA,NA,676373.931,30071560,1761371.8092720965,3067358.5115816565,1761470.1267889654,3978527.5018879664,225804,624302,226691,288383,186680883.99846312,18284460,NA,NA,NA,3422917.1592063466,1078049,688814,1293495.579456337,NA,18140508,565196.6540685539,1340449,46781064352.30274,NA,2616189,NA,30608985.15997966,14010118.90766039,22792897.885326684,789680.426151451,37952344,NA,NA,NA,1563212232.2552738,188485537.66964665,NA,3566010.731577166,17829957.710078567,NA,2359942.346532666,5120716,130151.797224475,36703343.72979615,29151609.80920743,NA,3559789.0805621566,3009214.2401612313,260536480,419387,65580404,1015896,140928.03458277686,3095662.1089160657,125101,113793,NA,1495637.3447226412,2725080,727863.8553268574,NA,NA,25645382,218704.73646395767,91683.01227493784,NA,NA,674374.4977325771,377728.1394096002,4870484,267620.27455440845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211202_Smp_RWi2_5,Rwi_set1,Glycerol + NH4 + Homarine,Particulate,NA,NA,21895002,6239197.208247039,NA,51227129.970590055,29755812,4540931.985337535,2659513,10610784,66128.0654452132,20892888.92788446,7794056,NA,NA,272561.58805706206,8003134,13675071.324363014,33528114.734719247,13675071.324363014,15081994.785699612,5357357,364378,11883745,NA,17293910188.73251,12346649,324770.9773041163,NA,1460894.3730207633,2047659.81103755,940970,84923144,618739.7868378425,NA,5130302,100261.99742886558,407518,9965382436.263475,NA,1223144,NA,21301810.77801134,28197341.30822029,23675401.28150559,453686.32210785337,6397700,NA,82847,122209,807829080.3471091,756879465.4104412,NA,577262.6961169125,28267033.848169405,NA,1934538.4510588285,8769820,257414.2648264999,5398624.729315716,14567033.90251461,10163351.623337876,2348934.393562737,3855555.667204487,185580752,185099,151643520,445215,48592.97623637589,4083020.0878139823,NA,104360,NA,3393088.6509772367,410226,298865.0770421744,NA,NA,NA,745935.907549557,243419.834799601,NA,NA,695264.9607561541,536215.3525672589,NA,78505.35394422809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211202_Smp_RWi2_6,Rwi_set1,Glycerol + NH4 + Homarine,Particulate,NA,NA,15618116,6259781.400196948,NA,NA,24082638,4174032.5129395593,2572267,5601464,172102.90882248938,28382665.005117897,5388601,NA,NA,215503.12374975593,8986207,12777568.740816006,24452960.62918738,12777568.740816006,11314875.1816883,4612526,362147,9254519,NA,14541697497.368769,8957657,251311.9841590534,NA,659762.4527815713,1763346.4477408794,985628,52454892,672777.5080246023,NA,4842393,99481.32708871271,353413,7660249709.172755,NA,1098462,NA,29944195.114359025,20233370.052741382,17045908.285542443,362616.6078516097,5033128,NA,47006,73799,614567882.5677842,598055590.8630389,NA,521747.2356061402,NA,NA,1514792.226858737,5820895,248456.55229872584,3228543.5794149567,11986961.951896409,7809326.630475005,1777041.851148778,2877382.533971212,133524464,120612,107635296,279521,NA,2631861.1985667855,NA,54164,NA,2666932.8132562903,281761,257260.5221555662,NA,NA,NA,984961.6075290848,176142.47637973478,NA,NA,654407.8746893198,685360.3497646586,NA,52573.15911773964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220302_Smp_OBi1_1,OBi1_set2,Glucose + NH4,Dissolved,NA,NA,NA,NA,270862496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4245294080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1903279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197702845.14968932,44276694.93445885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,562684.6279368756,16532947.633688752,NA,NA,NA,NA,NA,NA,NA,584306048
220302_Smp_OBi1_2,OBi1_set2,Glucose + NH4,Dissolved,NA,NA,NA,NA,309235040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5377144320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1462099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218687052.08008727,63528551.6762628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1159813.414777317,14968941.64474219,NA,NA,NA,NA,NA,NA,NA,NA
