assembly,core.catab.path
GCA_028031215.1,No
GCA_028035995.1,No
GCA_028036195.1,No
GCA_028036315.1,Yes
GCA_028036875.1,No
GCA_028037245.1,Yes
GCA_028037555.1,No
GCA_028037745.1,No
GCA_028037795.1,No
GCA_028038135.1,Yes
GCA_028038655.1,No
GCA_028038945.1,Yes
GCA_028039475.1,Yes
GCA_028041295.1,No
GCA_028041405.1,Yes
GCA_028041455.1,No
GCA_028043005.1,No
GCA_028043025.1,No
GCA_028043935.1,No
GCA_028044255.1,No
GCA_028045495.1,No
GCA_028066975.1,No
GCA_028067255.1,No
GCA_028067315.1,No
GCA_028067395.1,No
GCA_028094875.1,No
GCA_028095405.1,Yes
GCA_028095465.1,No
GCA_028096495.1,Yes
GCA_028096595.1,No
GCA_028097645.1,No
GCA_028097865.1,No
GCA_028098415.1,Yes
GCA_028098685.1,Yes
GCA_028098905.1,No
GCA_028099095.1,No
GCA_028099385.1,Yes
GCA_028099855.1,No
GCA_028099945.1,No
GCA_028100005.1,No
GCA_028100085.1,Yes
GCA_028100585.1,No
GCA_028101785.1,Yes
GCA_028101795.1,No
GCA_028101855.1,Yes
GCA_028101945.1,Yes
GCA_028102605.1,Yes
GCA_028105745.1,No
GCA_028107345.1,Yes
GCA_028108775.1,No
GCA_028109335.1,No
GCA_028110005.1,No
GCA_028110695.1,No
GCA_028113115.1,Yes
GCA_028113295.1,Yes
GCA_028113645.1,No
GCA_028113945.1,No
GCA_028114965.1,No
GCA_028115385.1,No
GCA_028117145.1,No
GCA_028117525.1,No
GCA_028117885.1,No
GCA_028118105.1,No
GCA_028119645.1,No
GCA_028120695.1,No
GCA_028120785.1,Yes
GCA_028121345.1,No
GCA_028121535.1,No
GCA_028121685.1,No
GCA_028122915.1,No
GCA_028127675.1,Yes
GCA_028128245.1,No
GCA_028131445.1,No
GCA_028132345.1,No
GCA_028133015.1,No
GCA_028133395.1,No
GCA_028133505.1,No
GCA_028134725.1,No
GCA_028134895.1,No
GCA_028135285.1,No
GCA_028135525.1,No
GCA_028135585.1,No
GCA_028136245.1,No
GCA_028136265.1,No
GCA_028136815.1,No
GCA_028137145.1,Yes
GCA_028137865.1,No
GCA_028138325.1,Yes
GCA_028139105.1,No
GCA_028139475.1,No
GCA_028139565.1,No
GCA_028139755.1,No
GCA_028139975.1,No
GCA_028140045.1,No
GCA_028140195.1,No
GCA_028140265.1,No
GCA_028140375.1,No
GCA_028140505.1,No
GCA_028140615.1,Yes
GCA_028140945.1,No
GCA_028140965.1,No
GCA_028141025.1,No
GCA_028141085.1,No
GCA_028141245.1,No
GCA_028141465.1,No
GCA_028143085.1,Yes
GCA_028143925.1,No
GCA_028144045.1,No
GCA_028147315.1,No
GCA_028148355.1,No
GCA_028149785.1,Yes
GCA_028150105.1,No
GCA_028150285.1,No
GCA_028218175.1,No
GCA_028222465.1,No
GCA_028222555.1,Yes
GCA_028222935.1,No
GCA_028223455.1,Yes
GCA_028223925.1,No
GCA_028225095.1,No
GCA_028225435.1,Yes
GCA_028226035.1,Yes
GCA_028226335.1,Yes
GCA_028226535.1,No
GCA_028226795.1,Yes
GCA_028226895.1,Yes
GCA_028227395.1,No
GCA_028227455.1,No
GCA_028227515.1,No
GCA_028227575.1,No
GCA_028228595.1,No
GCA_028228975.1,Yes
GCA_028229335.1,No
GCA_028229795.1,No
GCA_028230015.1,No
GCA_028240655.1,No
GCA_028240735.1,Yes
GCA_028241435.1,No
GCA_028241675.1,Yes
GCA_028241715.1,No
GCA_028242335.1,No
GCA_028243335.1,No
GCA_028243395.1,No
GCA_028244155.1,Yes
GCA_028245505.1,No
GCA_028246715.1,No
GCA_028247475.1,No
GCA_028247935.1,Yes
GCA_028252925.1,No
GCA_028265065.1,No
GCA_028273785.1,Yes
GCA_028273905.1,No
GCA_028283575.1,No
GCA_028291665.1,Yes
GCA_028336195.1,No
GCA_028336945.1,No
GCA_028337995.1,No
GCA_028338355.1,Yes
GCA_028339935.1,No
GCA_028340475.1,Yes
GCA_028340795.1,No
GCA_028340955.1,No
GCA_028341115.1,Yes
GCA_028341355.1,No
GCA_028341915.1,Yes
GCA_028341975.1,No
GCA_028343035.1,Yes
GCA_028343935.1,No
GCA_028344055.1,No
GCA_028344095.1,No
GCA_028344255.1,No
GCA_028344395.1,Yes
GCA_028344685.1,No
GCA_028344995.1,No
GCA_028345235.1,Yes
GCA_028345435.1,No
GCA_028345475.1,Yes
GCA_028345955.1,No
GCA_028346005.1,No
GCA_028351555.1,No
GCA_028351625.1,No
GCA_028351695.1,No
GCA_028351725.1,No
GCA_028352045.1,No
GCA_028352085.1,No
GCA_028352235.1,No
GCA_028353155.1,No
GCA_028353445.1,No
GCA_028353475.1,No
GCA_028353815.1,No
GCA_028354155.1,No
GCA_028354175.1,No
GCA_028354915.1,No
GCA_028355095.1,No
GCA_028355355.1,No
GCA_028355535.1,No
GCA_028356855.1,No
GCA_028371065.1,No
GCA_028371315.1,No
GCA_028371785.1,No
GCA_028371855.1,No
GCA_028372275.1,No
GCA_028372335.1,No
GCA_028372425.1,No
GCA_028372665.1,Yes
GCA_028373855.1,No
GCA_028374925.1,No
GCA_028375345.1,Yes
GCA_028375405.1,No
GCA_028375935.1,No
GCA_028376145.1,No
GCA_028376405.1,Yes
GCA_028376905.1,No
GCA_028377385.1,No
GCA_028377445.1,Yes
GCA_028377705.1,No
GCA_028377735.1,No
GCA_028377925.1,Yes
GCA_028378165.1,No
GCA_028378305.1,No
GCA_028378445.1,No
GCA_028379025.1,Yes
GCA_028379455.1,No
GCA_028379815.1,No
GCA_028380775.1,No
GCA_028382965.1,Yes
GCA_028383305.1,Yes
GCA_028385005.1,No
GCA_028385475.1,No
GCA_028386045.1,No
GCA_028404365.1,No
GCA_028404485.1,No
GCA_028404725.1,No
GCA_028404945.1,Yes
GCA_028405185.1,No
GCA_028405605.1,No
GCA_028405725.1,No
GCA_028406005.1,No
GCA_028406245.1,No
GCA_028406425.1,No
GCA_028406495.1,No
GCA_028406585.1,No
GCA_028407105.1,No
GCA_028407145.1,No
GCA_028407325.1,No
GCA_028407355.1,No
GCA_028408085.1,No
GCA_028408125.1,No
GCA_028408185.1,Yes
GCA_028408575.1,No
GCA_028408655.1,No
GCA_028408695.1,No
GCA_028409035.1,No
GCA_028409195.1,Yes
GCA_028409235.1,Yes
GCA_028409325.1,Yes
GCA_028409675.1,No
GCA_028410095.1,No
GCA_028410115.1,Yes
GCA_028410975.1,No
GCA_028411055.1,No
GCA_028412955.1,Yes
GCA_028413295.1,Yes
GCA_028414415.1,No
GCA_028415955.1,No
GCA_028415995.1,No
GCA_028416415.1,No
GCA_028449015.1,No
GCA_028449365.1,No
GCA_028449765.1,No
GCA_028449845.1,No
GCA_028450425.1,No
GCA_028450525.1,No
GCA_028450605.1,No
GCA_028507225.1,No
GCA_028508515.1,No
GCA_028598985.1,No
GCA_028819475.1,No
GCA_028820425.1,No
GCA_028822065.1,Yes
GCA_028822125.1,No
GCA_028822155.1,Yes
GCA_028822185.1,Yes
GCA_028822255.1,Yes
GCA_028822315.1,Yes
GCA_028822945.1,Yes
GCA_028823045.1,Yes
GCA_028824715.1,No
GCA_028824725.1,No
GCA_028825355.1,Yes
GCA_028843145.1,No
GCA_028870015.1,Yes
GCA_028872635.1,No
GCA_028872735.1,No
GCA_028872745.1,No
GCA_028874915.1,No
GCA_028988225.1,No
GCA_028989545.1,No
GCA_028990475.1,No
GCA_028991055.1,No
GCA_028991315.1,No
GCA_028991335.1,No
GCA_028991395.1,No
GCA_028991435.1,No
GCA_028991455.1,No
GCA_029202525.1,Yes
GCA_029212365.1,Yes
GCA_029212415.1,Yes
GCA_029212835.1,Yes
GCA_029233925.1,Yes
GCA_029238275.1,No
GCA_029238465.1,No
GCA_029238535.1,Yes
GCA_029238595.1,No
GCA_029240815.1,Yes
GCA_029242085.1,Yes
GCA_029242145.1,Yes
GCA_029242355.1,No
GCA_029242795.1,Yes
GCA_029245185.1,No
GCA_029245555.1,Yes
GCA_029245725.1,No
GCA_029245885.1,No
GCA_029246685.1,No
GCA_029247345.1,No
GCA_029247365.1,No
GCA_029247505.1,No
GCA_029247645.1,Yes
GCA_029247765.1,No
GCA_029247925.1,Yes
GCA_029249245.1,No
GCA_029249385.1,Yes
GCA_029249645.1,No
GCA_029250265.1,No
GCA_029250725.1,No
GCA_029250825.1,No
GCA_029251065.1,No
GCA_029251265.1,No
GCA_029251465.1,No
GCA_029251895.1,No
GCA_029252045.1,No
GCA_029252195.1,Yes
GCA_029252555.1,Yes
GCA_029253525.1,Yes
GCA_029253705.1,No
GCA_029253845.1,No
GCA_029253985.1,No
GCA_029254005.1,Yes
GCA_029254045.1,Yes
GCA_029254055.1,No
GCA_029254215.1,Yes
GCA_029254505.1,No
GCA_029254555.1,No
GCA_029268475.1,No
GCA_029688825.1,No
GCA_029771945.1,Yes
GCA_029859705.1,No
GCA_029861525.1,Yes
GCA_029862005.1,Yes
GCA_029862125.1,No
GCA_029862255.1,Yes
GCA_029862845.1,No
GCA_029863345.1,No
GCA_029863385.1,No
GCA_029863465.1,Yes
GCA_029863485.1,No
GCA_029864485.1,No
GCA_029873155.1,No
GCA_029881635.1,No
GCA_029882955.1,Yes
GCA_029884615.1,No
GCA_030012805.1,No
GCA_030065095.1,No
GCA_030065115.1,No
GCA_030066085.1,Yes
GCA_030066855.1,No
GCA_030386295.1,Yes
GCA_030452945.1,No
GCA_030452985.1,No
GCA_030453085.1,No
GCA_030456885.1,No
GCA_030457665.1,No
GCA_030537655.1,No
GCA_030537795.1,No
GCA_030575555.1,Yes
GCA_030576555.1,No
GCA_030699825.1,Yes
GCA_030726245.1,No
GCA_030727845.1,Yes
GCA_030728345.1,No
GCA_030728825.1,No
GCA_030729365.1,Yes
GCA_030739975.1,Yes
GCA_030740995.1,No
GCA_030741335.1,Yes
GCA_030743615.1,No
GCA_030746495.1,No
GCA_030748435.1,No
GCA_030749945.1,No
GCA_030752765.1,No
GCA_030754105.1,No
GCA_030950105.1,No
GCA_031580725.1,No
GCA_031580995.1,No
GCA_031581235.1,Yes
GCA_031844845.1,Yes
GCA_031987585.1,No
GCA_032178675.1,No
GCA_032219585.1,No
GCA_032251095.1,Yes
GCA_032796185.1,No
GCA_032796485.1,No
GCA_033470255.1,No
GCA_033631045.1,No
GCA_033714125.1,No
GCA_033719655.1,No
GCA_033719715.1,No
GCA_033719775.1,No
GCA_033720375.1,No
GCA_033720895.1,No
GCA_033720995.1,Yes
GCA_033721635.1,No
GCA_033721835.1,Yes
GCA_033722315.1,Yes
GCA_033723035.1,No
GCA_033723595.1,Yes
GCA_033764875.1,No
GCA_033791085.1,Yes
GCA_033837765.1,No
GCA_033856435.1,No
GCA_033856675.1,No
GCA_033880325.1,No
GCA_034399935.1,Yes
GCA_034520925.1,Yes
GCA_034869655.1,No
GCA_034931205.1,No
GCA_035267085.1,Yes
GCA_035268705.1,No
GCA_035269125.1,No
GCA_035269835.1,No
GCA_035308145.1,No
GCA_035458445.1,No
GCA_035458585.1,Yes
GCA_035458805.1,No
GCA_035459525.1,No
GCA_035459605.1,No
GCA_035529335.1,Yes
GCA_035532755.1,No
GCA_035536655.1,No
GCA_035539075.1,No
GCA_035539215.1,No
GCA_035539255.1,No
GCA_035542015.1,No
GCA_035545355.1,No
GCA_035548715.1,No
GCA_035563795.1,No
GCA_035563855.1,No
GCA_035606915.1,No
GCA_035652635.1,No
GCA_035699005.1,Yes
GCA_035883605.1,No
GCA_035939375.1,No
GCA_035949255.1,No
GCA_035984995.1,No
GCA_035998495.1,No
GCA_035999185.1,No
GCA_036007785.1,No
GCA_036125675.1,No
GCA_036142715.1,No
GCA_036159375.1,No
GCA_036165935.1,No
GCA_036229925.1,No
GCA_036231725.1,Yes
GCA_036268195.1,No
GCA_036341555.1,No
GCA_036344315.1,No
GCA_036355295.1,No
GCA_036402635.1,No
GCA_036406695.1,Yes
GCA_036448995.1,No
GCA_036499865.1,No
GCA_036525715.1,Yes
GCA_039529815.1,No
GCA_039770395.1,No
GCA_039890755.1,No
GCA_039890875.1,No
GCA_039963395.1,Yes
GCA_039963915.1,Yes
GCA_040119045.1,Yes
GCA_040220475.1,No
GCA_040287045.1,No
GCA_040436395.1,Yes
GCA_900104855.1,No
GCA_902498245.1,No
GCA_928500655.1,Yes
GCA_928503255.1,No
GCA_928505225.1,No
GCA_928505955.1,No
GCA_928506355.1,Yes
GCA_928508715.1,Yes
GCA_928509615.1,No
GCA_949498145.1,No
GCA_949523485.1,Yes
GCA_949538035.1,No
GCF_000007565.2,No
GCF_000011965.2,No
GCF_000012325.1,No
GCF_000012345.1,No
GCF_000013565.1,No
GCF_000013905.1,Yes
GCF_000014065.1,Yes
GCF_000015285.1,Yes
GCF_000017705.1,No
GCF_000018145.1,Yes
GCF_000024465.1,Yes
GCF_000152485.1,No
GCF_000153025.1,Yes
GCF_000153325.1,No
GCF_000153345.1,Yes
GCF_000153425.1,Yes
GCF_000153505.1,Yes
GCF_000154745.2,Yes
GCF_000154765.2,Yes
GCF_000165125.1,Yes
GCF_000169375.1,Yes
GCF_000169455.1,Yes
GCF_000170855.1,No
GCF_000170875.1,Yes
GCF_000171815.1,No
GCF_000176135.1,No
GCF_000181535.1,Yes
GCF_000183645.1,No
GCF_000189275.1,No
GCF_000192475.1,Yes
GCF_000195225.1,No
GCF_000196495.1,No
GCF_000203975.2,No
GCF_000219565.1,No
GCF_000222565.1,Yes
GCF_000222585.1,Yes
GCF_000222605.1,Yes
GCF_000222625.1,No
GCF_000222645.1,No
GCF_000222665.1,No
GCF_000222685.1,Yes
GCF_000226035.2,No
GCF_000226475.1,No
GCF_000236625.2,No
GCF_000247005.2,No
GCF_000256095.2,Yes
GCF_000256115.2,No
GCF_000256135.2,Yes
GCF_000256165.2,No
GCF_000256185.2,No
GCF_000256205.2,No
GCF_000256245.1,No
GCF_000256285.2,No
GCF_000256305.2,No
GCF_000256325.2,No
GCF_000256345.2,No
GCF_000256365.2,No
GCF_000256385.2,No
GCF_000256405.2,Yes
GCF_000256425.1,No
GCF_000256445.2,No
GCF_000256485.1,No
GCF_000256605.2,No
GCF_000259295.1,No
GCF_000259875.1,No
GCF_000259935.1,No
GCF_000264435.2,Yes
GCF_000271965.2,Yes
GCF_000272045.2,No
GCF_000272085.2,No
GCF_000272105.2,No
GCF_000272125.2,No
GCF_000272145.2,Yes
GCF_000272245.2,No
GCF_000272265.2,No
GCF_000272285.1,No
GCF_000272305.2,No
GCF_000272325.2,No
GCF_000272345.2,No
GCF_000272365.2,No
GCF_000272385.2,No
GCF_000272405.2,No
GCF_000272425.1,No
GCF_000272445.2,No
GCF_000275705.1,No
GCF_000276805.1,No
GCF_000281215.1,Yes
GCF_000282295.1,No
GCF_000282355.1,No
GCF_000282475.1,Yes
GCF_000283275.1,No
GCF_000286835.2,Yes
GCF_000286855.2,Yes
GCF_000286875.2,Yes
GCF_000286895.2,Yes
GCF_000286915.2,Yes
GCF_000286935.2,Yes
GCF_000287915.1,No
GCF_000291685.1,No
GCF_000294445.2,Yes
GCF_000299295.2,No
GCF_000305715.2,No
GCF_000305755.2,No
GCF_000316985.1,No
GCF_000319575.2,Yes
GCF_000330705.1,Yes
GCF_000333895.2,Yes
GCF_000334195.1,No
GCF_000334215.1,No
GCF_000337695.1,No
GCF_000341445.1,No
GCF_000347555.1,Yes
GCF_000354175.2,Yes
GCF_000367825.1,Yes
GCF_000372345.1,No
GCF_000374525.1,Yes
GCF_000381785.1,Yes
GCF_000381865.1,No
GCF_000382145.1,No
GCF_000384455.1,No
GCF_000390005.2,Yes
GCF_000390125.1,No
GCF_000400205.1,No
GCF_000400225.1,No
GCF_000400245.1,No
GCF_000400285.1,No
GCF_000400305.1,No
GCF_000400325.1,No
GCF_000400345.1,No
GCF_000400365.1,Yes
GCF_000400385.1,No
GCF_000400405.1,No
GCF_000400425.1,Yes
GCF_000408945.1,No
GCF_000417905.1,Yes
GCF_000419525.1,No
GCF_000419665.1,No
GCF_000419785.1,No
GCF_000422425.1,No
GCF_000422865.1,No
GCF_000423545.1,No
GCF_000423645.1,No
GCF_000425545.1,No
GCF_000427485.1,No
GCF_000427685.1,No
GCF_000427725.1,Yes
GCF_000428525.1,No
GCF_000429725.1,No
GCF_000438785.2,Yes
GCF_000442275.2,No
GCF_000442925.1,No
GCF_000464435.1,No
GCF_000467125.1,Yes
GCF_000467145.1,Yes
GCF_000472585.1,No
GCF_000473105.1,No
GCF_000473145.1,No
GCF_000473165.1,No
GCF_000473225.1,No
