Gene of interest	Reciprocal Best Hit
gene-SPO3192	ACFI7E
gene-SPO3186	ACFI9K
ACFI7E	gene-SPO3186
ACFI7E	gene-SPO3189
ACFI7E	gene-SPO3190
ACFI7E	gene-SPO3191
ACFI7E	gene-SPO3192
gene-SPO3186	ACFJAA
gene-SPO3188	ACFJAA
gene-SPO3189	ACFJAA
gene-SPO3190	ACFJAA
gene-SPO3191	ACFJAA
gene-SPO3192	ACFJAA
WP_008064110.1	ACFJAB
ACFI6H	gene-SPO3186
ACFI6H	gene-SPO1585
ACFI6H	gene-SPO1586
ACFI6H	gene-SPO1587
ACFI6H	gene-SPO1588
ACFI6H	gene-SPO3192
ACFI6H	gene-SPO3191
ACFI6H	gene-SPO3190
ACFI6H	gene-SPO3189
ACFI6H	gene-SPO3188
gene-SPO3186	ACFI7C
gene-SPO3188	ACFI7C
gene-SPO3189	ACFI7C
gene-SPO3190	ACFI7C
gene-SPO3191	ACFI7C
gene-SPO3192	ACFI7C
ACFI32	gene-SPO3186
ACFLL8	WP_008064110.1
ACFJAB	gene-SPO3192
ACFJAB	gene-SPO3191
ACFJAB	gene-SPO3190
ACFJAB	gene-SPO3189
ACFJAB	gene-SPO3188
ACFJAB	gene-SPO3186
gene-SPO1585	ACFI4Y
gene-SPO1586	ACFI4Y
gene-SPO1587	ACFI4Y
gene-SPO1588	ACFI4Y
gene-SPO3186	ACFI4Y
gene-SPO3188	ACFI4Y
gene-SPO3189	ACFI4Y
gene-SPO3190	ACFI4Y
gene-SPO3191	ACFI4Y
gene-SPO3192	ACFI4Y
ACFI6G	gene-SPO3186
ACFI6G	gene-SPO3192
ACFI6G	gene-SPO3191
ACFI6G	gene-SPO3190
ACFI6G	gene-SPO3189
ACFI4X	gene-SPO3186
ACFI4X	gene-SPO1588
ACFI4X	gene-SPO1587
ACFI4X	gene-SPO1586
ACFI4X	gene-SPO1585
ACFI4X	gene-SPO3192
ACFI4X	gene-SPO3191
ACFI4X	gene-SPO3190
ACFI4X	gene-SPO3189
ACFI4X	gene-SPO3188
ACFI7D	WP_008064110.1
gene-SPO3186	ACFI33
gene-SPO3186	ACFI6K
gene-SPO3192	ACFI6K
ACFI4V	gene-SPO3186
ACFI4V	gene-SPO1588
ACFI4V	gene-SPO1587
ACFI4V	gene-SPO1586
ACFI4V	gene-SPO1585
ACFI4V	gene-SPO3192
ACFI4V	gene-SPO3191
ACFI4V	gene-SPO3190
ACFI4V	gene-SPO3189
ACFI4V	gene-SPO3188
ACFI7C	gene-SPO3188
ACFI7C	gene-SPO3189
ACFI7C	gene-SPO3190
ACFI7C	gene-SPO3191
ACFI7C	gene-SPO3192
ACFI7C	gene-SPO3186
gene-SPO1585	ACFI6H
gene-SPO1586	ACFI6H
gene-SPO1587	ACFI6H
gene-SPO1588	ACFI6H
gene-SPO3186	ACFI6H
gene-SPO3188	ACFI6H
gene-SPO3189	ACFI6H
gene-SPO3190	ACFI6H
gene-SPO3191	ACFI6H
gene-SPO3192	ACFI6H
gene-SPO1585	ACFI4U
gene-SPO1586	ACFI4U
gene-SPO1587	ACFI4U
gene-SPO1588	ACFI4U
gene-SPO3186	ACFI4U
gene-SPO3188	ACFI4U
gene-SPO3189	ACFI4U
gene-SPO3190	ACFI4U
gene-SPO3191	ACFI4U
gene-SPO3192	ACFI4U
ACFI8T	gene-SPO3188
ACFI8T	gene-SPO3189
ACFI8T	gene-SPO3190
ACFI8T	gene-SPO3191
ACFI8T	gene-SPO3192
ACFI8T	gene-SPO3186
gene-SPO3186	ACFI6L
ACFI7D	gene-SPO3189
ACFI7D	gene-SPO3190
ACFI7D	gene-SPO3191
ACFI7D	gene-SPO3192
ACFI7D	gene-SPO3186
ACFJAB	WP_008064110.1
ACFJAA	gene-SPO3186
ACFJAA	gene-SPO3192
ACFJAA	gene-SPO3191
ACFJAA	gene-SPO3190
ACFJAA	gene-SPO3189
ACFJAA	gene-SPO3188
gene-SPO1587	ACFI8U
gene-SPO1588	ACFI8U
gene-SPO3186	ACFI8U
gene-SPO3191	ACFI8U
ACFI6U	gene-SPO3186
ACFI6U	gene-SPO3188
ACFI6U	gene-SPO3189
ACFI6U	gene-SPO3190
ACFI6U	gene-SPO3191
ACFI6U	gene-SPO3192
ACFI6U	gene-SPO1588
ACFI6U	gene-SPO1587
ACFI6U	gene-SPO1586
ACFI6U	gene-SPO1585
WP_008064110.1	ACFI7D
ACFI5Q	gene-SPO3186
ACFI5Q	gene-SPO1585
ACFI5Q	gene-SPO1586
ACFI5Q	gene-SPO1587
ACFI5Q	gene-SPO1588
ACFI5Q	gene-SPO3188
ACFI5Q	gene-SPO3189
ACFI5Q	gene-SPO3190
ACFI5Q	gene-SPO3191
ACFI5Q	gene-SPO3192
gene-SPO1585	ACFI4W
gene-SPO1586	ACFI4W
gene-SPO1587	ACFI4W
gene-SPO1588	ACFI4W
gene-SPO3186	ACFI4W
gene-SPO3188	ACFI4W
gene-SPO3189	ACFI4W
gene-SPO3190	ACFI4W
gene-SPO3191	ACFI4W
gene-SPO3192	ACFI4W
gene-SPO1585	ACFI5Q
gene-SPO1586	ACFI5Q
gene-SPO1587	ACFI5Q
gene-SPO1588	ACFI5Q
gene-SPO3186	ACFI5Q
gene-SPO3188	ACFI5Q
gene-SPO3189	ACFI5Q
gene-SPO3190	ACFI5Q
gene-SPO3191	ACFI5Q
gene-SPO3192	ACFI5Q
ACFI6K	gene-SPO3186
ACFI6K	gene-SPO3192
WP_008064110.1	ACFJAA
ACFI9K	gene-SPO3186
WP_008064110.1	ACFI7C
gene-SPO3186	ACFJAB
gene-SPO3188	ACFJAB
gene-SPO3189	ACFJAB
gene-SPO3190	ACFJAB
gene-SPO3191	ACFJAB
gene-SPO3192	ACFJAB
gene-SPO1585	ACFI6U
gene-SPO1586	ACFI6U
gene-SPO1587	ACFI6U
gene-SPO1588	ACFI6U
gene-SPO3186	ACFI6U
gene-SPO3188	ACFI6U
gene-SPO3189	ACFI6U
gene-SPO3190	ACFI6U
gene-SPO3191	ACFI6U
gene-SPO3192	ACFI6U
ACFI4Z	gene-SPO3186
ACFLL8	gene-SPO3186
ACFLL8	gene-SPO3189
ACFLL8	gene-SPO3190
ACFLL8	gene-SPO3191
ACFLL8	gene-SPO3192
ACFI5P	gene-SPO3186
ACFI6L	gene-SPO3186
ACFI34	gene-SPO3186
WP_008064110.1	ACFLL8
ACFI8U	gene-SPO1587
ACFI8U	gene-SPO1588
ACFI8U	gene-SPO3186
ACFI8U	gene-SPO3191
ACFI4U	gene-SPO3186
ACFI4U	gene-SPO1585
ACFI4U	gene-SPO1586
ACFI4U	gene-SPO1587
ACFI4U	gene-SPO1588
ACFI4U	gene-SPO3188
ACFI4U	gene-SPO3189
ACFI4U	gene-SPO3190
ACFI4U	gene-SPO3191
ACFI4U	gene-SPO3192
gene-SPO1585	ACFI4V
gene-SPO1586	ACFI4V
gene-SPO1587	ACFI4V
gene-SPO1588	ACFI4V
gene-SPO3186	ACFI4V
gene-SPO3188	ACFI4V
gene-SPO3189	ACFI4V
gene-SPO3190	ACFI4V
gene-SPO3191	ACFI4V
gene-SPO3192	ACFI4V
gene-SPO3186	ACFLL8
gene-SPO3189	ACFLL8
gene-SPO3190	ACFLL8
gene-SPO3191	ACFLL8
gene-SPO3192	ACFLL8
gene-SPO3186	ACFI5P
gene-SPO3186	ACFI6L
ACFI33	gene-SPO3186
gene-SPO1587	ACFI8U
gene-SPO1588	ACFI8U
gene-SPO3186	ACFI8U
gene-SPO3191	ACFI8U
gene-SPO1585	ACFI6H
gene-SPO1586	ACFI6H
gene-SPO1587	ACFI6H
gene-SPO1588	ACFI6H
gene-SPO3186	ACFI6H
gene-SPO3188	ACFI6H
gene-SPO3189	ACFI6H
gene-SPO3190	ACFI6H
gene-SPO3191	ACFI6H
gene-SPO3192	ACFI6H
gene-SPO3186	ACFI7C
gene-SPO3188	ACFI7C
gene-SPO3189	ACFI7C
gene-SPO3190	ACFI7C
gene-SPO3191	ACFI7C
gene-SPO3192	ACFI7C
gene-SPO3186	ACFI6J
ACFLL8	gene-SPO3186
ACFLL8	gene-SPO3189
ACFLL8	gene-SPO3190
ACFLL8	gene-SPO3191
ACFLL8	gene-SPO3192
ACFI32	gene-SPO3186
gene-SPO3186	ACFJAB
gene-SPO3188	ACFJAB
gene-SPO3189	ACFJAB
gene-SPO3190	ACFJAB
gene-SPO3191	ACFJAB
gene-SPO3192	ACFJAB
gene-SPO1585	ACFI4V
gene-SPO1586	ACFI4V
gene-SPO1587	ACFI4V
gene-SPO1588	ACFI4V
gene-SPO3186	ACFI4V
gene-SPO3188	ACFI4V
gene-SPO3189	ACFI4V
gene-SPO3190	ACFI4V
gene-SPO3191	ACFI4V
gene-SPO3192	ACFI4V
gene-SPO1585	ACFI5Q
gene-SPO1586	ACFI5Q
gene-SPO1587	ACFI5Q
gene-SPO1588	ACFI5Q
gene-SPO3186	ACFI5Q
gene-SPO3188	ACFI5Q
gene-SPO3189	ACFI5Q
gene-SPO3190	ACFI5Q
gene-SPO3191	ACFI5Q
gene-SPO3192	ACFI5Q
ACFI7E	gene-SPO3186
ACFI7E	gene-SPO3189
ACFI7E	gene-SPO3190
ACFI7E	gene-SPO3191
ACFI7E	gene-SPO3192
gene-SPO3186	ACFI4Z
WP_008064110.1	ACFJAA
ACFI6J	gene-SPO3186
ACFI4U	gene-SPO3186
ACFI4U	gene-SPO1585
ACFI4U	gene-SPO1586
ACFI4U	gene-SPO1587
ACFI4U	gene-SPO1588
ACFI4U	gene-SPO3188
ACFI4U	gene-SPO3189
ACFI4U	gene-SPO3190
ACFI4U	gene-SPO3191
ACFI4U	gene-SPO3192
ACFI5P	gene-SPO3186
ACFI34	gene-SPO3186
ACFJAA	WP_008064110.1
ACFJAB	gene-SPO3192
ACFJAB	gene-SPO3191
ACFJAB	gene-SPO3190
ACFJAB	gene-SPO3189
ACFJAB	gene-SPO3188
ACFJAB	gene-SPO3186
gene-SPO1585	ACFI6U
gene-SPO1586	ACFI6U
gene-SPO1587	ACFI6U
gene-SPO1588	ACFI6U
gene-SPO3186	ACFI6U
gene-SPO3188	ACFI6U
gene-SPO3189	ACFI6U
gene-SPO3190	ACFI6U
gene-SPO3191	ACFI6U
gene-SPO3192	ACFI6U
ACFI6K	gene-SPO3186
ACFI6K	gene-SPO3192
WP_012591628.1	gene-SPO1588
WP_012591629.1	gene-SPO1587
WP_012591630.1	gene-SPO1586
ACFJAA	gene-SPO3186
ACFJAA	gene-SPO3192
ACFJAA	gene-SPO3191
ACFJAA	gene-SPO3190
ACFJAA	gene-SPO3189
ACFJAA	gene-SPO3188
ACFI4W_03350	gene-SPO3186
ACFI4W_08965	gene-SPO1585
ACFI4W_08970	gene-SPO1586
ACFI4W_08975	gene-SPO1587
ACFI4W_08980	gene-SPO1588
ACFI4W_17140	gene-SPO3192
ACFI4W_17145	gene-SPO3191
ACFI4W_17150	gene-SPO3190
ACFI4W_17160	gene-SPO3189
ACFI4W_17165	gene-SPO3188
ACFLL8_11490	ACFI4X_05575
ACFLL8_11500	ACFI4X_16575
ACFLL8_11510	ACFI4X_16565
ACFLL8_11515	ACFI4X_16560
ACFLL8_11520	ACFI4X_16555
ACFI4V_03360	gene-SPO3186
ACFI4V_06745	gene-SPO1588
ACFI4V_06750	gene-SPO1587
ACFI4V_06755	gene-SPO1586
ACFI4V_06760	gene-SPO1585
ACFI4V_17370	gene-SPO3192
ACFI4V_17375	gene-SPO3191
ACFI4V_17380	gene-SPO3190
ACFI4V_17390	gene-SPO3189
ACFI4V_17395	gene-SPO3188
ACFI4X_05575	ACFLL8_11490
ACFI4X_16555	ACFLL8_11520
ACFI4X_16560	ACFLL8_11515
ACFI4X_16565	ACFLL8_11510
ACFI4X_16575	ACFLL8_11500
ACFLL8_11500	ACFI4Y_03075
ACFLL8_11510	ACFI4Y_14375
ACFLL8_11515	ACFI4Y_14380
ACFLL8_11520	ACFI4Y_14385
gene-SPO3186	ACFLL8_10530
gene-SPO3189	ACFLL8_11500
gene-SPO3190	ACFLL8_11510
gene-SPO3191	ACFLL8_11515
gene-SPO3192	ACFLL8_11520
ACFLL8_07290	ACFJAA_15425
ACFLL8_07295	ACFJAA_15420
ACFLL8_07300	ACFJAA_00800
ACFLL8_07305	ACFJAA_15410
ACFLL8_11490	ACFJAA_05145
ACFLL8_11495	ACFJAA_05140
ACFLL8_11500	ACFJAA_05135
ACFLL8_11510	ACFJAA_05125
ACFLL8_11515	ACFJAA_05120
ACFLL8_11520	ACFJAA_05115
ACFI4V_17370	ACFLL8_11520
ACFI4V_17375	ACFLL8_11515
ACFI4V_17380	ACFLL8_11510
ACFI4V_17390	ACFLL8_11500
ACFI4X_15315	gene-SPO3186
ACFI4X_16530	gene-SPO1588
ACFI4X_16535	gene-SPO1587
ACFI4X_16540	gene-SPO1586
ACFI4X_16545	gene-SPO1585
ACFI4X_16555	gene-SPO3192
ACFI4X_16560	gene-SPO3191
ACFI4X_16565	gene-SPO3190
ACFI4X_16575	gene-SPO3189
ACFI4X_16580	gene-SPO3188
ACFI7C_00140	ACFLL8_11490
ACFI7C_00145	ACFLL8_11495
ACFI7C_00150	ACFLL8_11500
ACFI7C_00160	ACFLL8_11510
ACFI7C_00165	ACFLL8_11515
ACFI7C_00170	ACFLL8_11520
ACFI7C_19125	ACFLL8_07305
ACFI7C_19130	ACFLL8_07300
ACFI7C_19135	ACFLL8_07295
ACFI7C_19140	ACFLL8_07290
ACFLL8_11490	ACFI8T_11200
ACFLL8_11495	ACFI8T_11205
ACFLL8_11500	ACFI8T_11210
ACFLL8_11510	ACFI8T_11220
ACFLL8_11515	ACFI8T_11225
ACFLL8_11520	ACFI8T_11230
ACFI7C_00145	gene-SPO3188
ACFI7C_00150	gene-SPO3189
ACFI7C_00160	gene-SPO3190
ACFI7C_00165	gene-SPO3191
ACFI7C_00170	gene-SPO3192
ACFI7C_06785	gene-SPO3186
WP_008064110.1	ACFI7C_19140
ACFLL8_11500	ACFI4W_17160
ACFLL8_11510	ACFI4W_17150
ACFLL8_11515	ACFI4W_17145
ACFLL8_11520	ACFI4W_17140
ACFLL8_11500	ACFI4U_16665
ACFLL8_11510	ACFI4U_16675
ACFLL8_11515	ACFI4U_16680
ACFLL8_11520	ACFI4U_16685
ACFI4Z_00130	gene-SPO3186
ACFLL8_11515	ACFI8U_16020
ACFLL8_07290	ACFI7C_19140
ACFLL8_07295	ACFI7C_19135
ACFLL8_07300	ACFI7C_19130
ACFLL8_07305	ACFI7C_19125
ACFLL8_11490	ACFI7C_00140
ACFLL8_11495	ACFI7C_00145
ACFLL8_11500	ACFI7C_00150
ACFLL8_11510	ACFI7C_00160
ACFLL8_11515	ACFI7C_00165
ACFLL8_11520	ACFI7C_00170
ACFLL8_11500	ACFI6H_16530
ACFLL8_11510	ACFI6H_16520
ACFLL8_11515	ACFI6H_16515
ACFLL8_11520	ACFI6H_16510
ACFLL8_07290	ACFJAB_15825
ACFLL8_07295	ACFJAB_15830
ACFLL8_07300	ACFJAB_04235
ACFLL8_07305	ACFJAB_15840
ACFLL8_11490	ACFJAB_00930
ACFLL8_11495	ACFJAB_00925
ACFLL8_11500	ACFJAB_00920
ACFLL8_11510	ACFJAB_00910
ACFLL8_11515	ACFJAB_00905
ACFLL8_11520	ACFJAB_00900
ACFI6H_16510	ACFLL8_11520
ACFI6H_16515	ACFLL8_11515
ACFI6H_16520	ACFLL8_11510
ACFI6H_16530	ACFLL8_11500
ACFI5Q_01545	gene-SPO3186
ACFI5Q_07090	gene-SPO1585
ACFI5Q_07095	gene-SPO1586
ACFI5Q_07100	gene-SPO1587
ACFI5Q_07105	gene-SPO1588
ACFI5Q_16675	gene-SPO3188
ACFI5Q_16680	gene-SPO3189
ACFI5Q_16690	gene-SPO3190
ACFI5Q_16695	gene-SPO3191
ACFI5Q_16700	gene-SPO3192
ACFI9K_18570	gene-SPO3186
ACFI6U_14990	gene-SPO3186
ACFI6U_15000	gene-SPO3188
ACFI6U_15005	gene-SPO3189
ACFI6U_15010	gene-SPO3190
ACFI6U_15015	gene-SPO3191
ACFI6U_15020	gene-SPO3192
ACFI6U_18075	gene-SPO1588
ACFI6U_18080	gene-SPO1587
ACFI6U_18085	gene-SPO1586
ACFI6U_18090	gene-SPO1585
ACFLL8_11500	ACFI4V_17390
ACFLL8_11510	ACFI4V_17380
ACFLL8_11515	ACFI4V_17375
ACFLL8_11520	ACFI4V_17370
ACFI5Q_16680	ACFLL8_11500
ACFI5Q_16690	ACFLL8_11510
ACFI5Q_16695	ACFLL8_11515
ACFI5Q_16700	ACFLL8_11520
