Nucleotide.Accession	Organism.Name	Organism.Taxonomic.ID	BioSample	contig.length	Assembly.Accession	Assembly.Name
PBDW01000003.1	Pelagibacteraceae bacterium	2026775	SAMN07619639	84432		
PBMD01000002.1	Halieaceae bacterium	2026743	SAMN07619201	18421		
PBNC01000055.1	Rhodospirillaceae bacterium	1898112	SAMN07620023	16006		
PBTI01000011.1	Porticoccaceae bacterium	2026782	SAMN07619781	18124		
PBVS01000087.1	Woeseiaceae bacterium	2026806	SAMN07620246	5322		
PBYD01000107.1	Verrucomicrobiales bacterium	2026801	SAMN07620203	8569		
PCBG01000006.1	Rhodospirillaceae bacterium	1898112	SAMN07620017	50732		
PDPG01000073.1	Pseudomonadota bacterium	1977087	SAMN07757601	13533	GCA_002747455.1	ASM274745v1
CP021114.1	Aestuarium zhoushanense	2820523	SAMN06844180	2837102	GCF_002850435.1	ASM285043v1
MCVJ02000001.1	Vibrio lentus	136468	SAMN05418158	1949325		
PTKS01000001.1	Alphaproteobacteria bacterium MarineAlpha5_Bin12	2013087	SAMN07286214	235973	GCA_002937855.1	ASM293785v1
PTKV01000003.1	Alphaproteobacteria bacterium MarineAlpha5_Bin9	2013084	SAMN07286211	107243	GCA_002937895.1	ASM293789v1
QFQS01000008.1	Cereibacter sphaeroides	1063	SAMN07426511	84342	GCA_003243455.1	ASM324345v1
QOPL01000023.1	Halieaceae bacterium	2026743	SAMN08905485	17610	GCA_003331335.1	ASM333133v1
QOPK01000007.1	Halieaceae bacterium	2026743	SAMN08905486	28133	GCA_003331685.1	ASM333168v1
QVMW01000002.1	Rhodobacteraceae bacterium 63075	2301226	SAMN09810247	288364	GCF_003417655.1	ASM341765v1
DMSC01000134.1	Alphaproteobacteria bacterium	1913988	SAMN08018036	12633		
DMSC01000089.1	Alphaproteobacteria bacterium	1913988	SAMN08018036	11382		
DNNA01000174.1	Marinobacter adhaerens	1033846	SAMN08018077	11692		
DPHB01000061.1	Oceanospirillaceae bacterium	1899355	SAMN08019789	84572		
DPGN01000053.1	Halieaceae bacterium	2026743	SAMN08019775	56010		
SAPU01000021.1	Mesorhizobium sp.	1871066	SAMN10686734	102337	GCA_004021015.1	ASM402101v1
SHBP01000008.1	SAR92 clade bacterium	2315479	SAMN10841301	97738	GCA_004211905.1	ASM421190v1
SHAB01000010.1	Halieaceae bacterium	2026743	SAMN10841261	87161	GCA_004213755.1	ASM421375v1
SGZV01000009.1	alpha proteobacterium HIMB59	744985	SAMN10841255	54358	GCA_004321805.1	ASM432180v1
SCSH01000192.1	Candidimonas sp.	1912597	SAMN10720161	49138	GCA_004322185.1	ASM432218v1
SBGD01000073.1	Paracoccaceae bacterium	1904441	SAMN10716097	105714	GCA_006226775.1	ASM622677v1
VMQS01000009.1	Halomonas sp.	1486246	SAMN12206539	54051	GCF_007625055.1	ASM762505v1
RECB01000250.1	Roseinatronobacter sp.	1945755	SAMN10237340	15423	GCA_007694245.1	ASM769424v1
REER01000119.1	Paracoccaceae bacterium	1904441	SAMN10237410	11336	GCA_007694945.1	ASM769494v1
VENC01000002.1	Marinobacter adhaerens	1033846	SAMN11897332	514446		
WMFB01000088.1	Virgibacillus halodenitrificans	1482	SAMN13191866	9776		
RGCC01000044.1	Alphaproteobacteria bacterium	1913988	SAMN10223135	10717		
RGAZ01000007.1	Alphaproteobacteria bacterium	1913988	SAMN10223106	18000		
RGAJ01000051.1	Paracoccaceae bacterium	1904441	SAMN10223090	9300		
JAACFB010000052.1	Gammaproteobacteria bacterium	1913989	SAMN13826815	18233		
AP022317.1	Burkholderia sp. THE68	758782	SAMD00199168	1020949	GCF_009938265.1	ASM993826v1
WWAR01000020.1	Lysobacterales bacterium	2006849	SAMN13684477	40093		
WVYQ01000006.1	Woeseiaceae bacterium	2026806	SAMN13684424	82078		
JAABXX010000081.1	Woeseiaceae bacterium	2026806	SAMN13684256	143282		
WLWX01000001.1	Paracoccaceae bacterium	1904441	SAMN12903695	4011077		
DUBX01000007.1	Porticoccaceae bacterium	2026782	SAMN10967648	40403		
DUBR01000056.1	Candidatus Pelagibacter sp.	2024849	SAMN10967642	79917		
JABDMW010000001.1	Hyphomonadaceae bacterium	2026748	SAMN14260573	193744		
JABDMF010000396.1	Gammaproteobacteria bacterium	1913989	SAMN14260556	8650		
JABDLX010000072.1	Woeseiaceae bacterium	2026806	SAMN14260548	33879		
JABDKW010000009.1	Gammaproteobacteria bacterium	1913989	SAMN14260521	12566		
JABDKG010000053.1	Hellea sp.	2715692	SAMN14260505	143666		
JABDJO010000099.1	Silicimonas sp.	2058390	SAMN14260487	98181		
JABDIX010000021.1	Paracoccaceae bacterium	1904441	SAMN14260470	61436		
JABDQU010000431.1	Boseongicola sp.	1886600	SAMN14538084	6137		
JABDPD010000037.1	Boseongicola sp.	1886600	SAMN14538041	7412		
JABSRV010000083.1	Psychrobium sp.	1971899	SAMN14675783	14408		
JABSRU010000017.1	Gammaproteobacteria bacterium	1913989	SAMN14675782	94518		
JABXIX010000332.1	Marivivens sp.	1978374	SAMN14488433	17723		
JABXIA010000332.1	Paracoccaceae bacterium	1904441	SAMN14488410	10101		
JACAEG010000028.1	Pseudorhodoplanes sp.	1934341	SAMN14673726	19192		
JABEVQ010000001.1	Marinobacter adhaerens	1033846	SAMN14491393	579396		
JACETJ010000088.1	Congregibacter sp.	2744308	SAMN15215257	6061		
CP046179.1	Boseongicola sp.	1886600	SAMN12903694	3603264	GCA_014075275.1	ASM1407527v1
JACNKP010000073.1	SAR92 clade bacterium	2315479	SAMN15784308	25176		
JACNFO010000061.1	Candidatus Pseudothioglobus aerophilus	2841689	SAMN15784176	69532		
WKFM01000012.1	Paracoccaceae bacterium	1904441	SAMN13259164	131780		
WKFI01000005.1	Paracoccaceae bacterium	1904441	SAMN13259161	874006		
DQRE01000207.1	Candidatus Poribacteria bacterium	2026781	SAMN09926419	6286		
WVSG01000001.1	Rhodobacterales bacterium FZCC0069	2792614	SAMN12871433	2454231		
WVSH01000003.1	Rhodobacterales bacterium HKCCA1058	2792615	SAMN12871432	193776		
WVSI01000001.1	Rhodobacterales bacterium FZCC0188	2792616	SAMN12871435	770939		
WVSK01000003.1	Rhodobacterales bacterium HKCCD6035	2792618	SAMN12871431	200974		
WVSJ01000002.1	Rhodobacterales bacterium HKCCA1065	2792617	SAMN12871436	514145		
WVSR01000004.1	Rhodobacterales bacterium LSUCC0387	2792625	SAMN12871430	241730		
WVSQ01000001.1	Rhodobacterales bacterium LSUCC0374	2792624	SAMN12871429	748798		
WVSS01000001.1	Rhodobacterales bacterium LSUCC1028	2792626	SAMN12871434	2299543		
JADJAB010000012.1	Rhodobacter sp.	1062	SAMN16425547	140584		
JADJTJ010000002.1	Rhodobacter sp.	1062	SAMN16426080	519062		
JAESTV010000126.1	Roseicyclus sp.	1914329	SAMN17309574	24879		
JADHSK010000004.1	Luminiphilus sp.	2590574	SAMN16436223	119515		
JADHSD010000014.1	Porticoccaceae bacterium	2026782	SAMN16436216	62146		
JADHQX010000017.1	Candidatus Pelagibacterales bacterium	2026776	SAMN16436184	15000		
JADHOU010000009.1	Candidatus Puniceispirillum sp.	2026719	SAMN16436129	15431		
JADHNO010000042.1	Luminiphilus sp.	2590574	SAMN16436097	13728		
JADHLR010000110.1	Candidatus Puniceispirillum sp.	2026719	SAMN16436048	5350		
JADHLL010000021.1	Candidatus Puniceispirillum sp.	2026719	SAMN16436042	34448		
JADHLH010000049.1	Alphaproteobacteria bacterium	1913988	SAMN16436038	14912		
JADHLI010000009.1	Alphaproteobacteria bacterium	1913988	SAMN16436039	87794		
VGDH01000032.1	Alphaproteobacteria bacterium	1913988	SAMN10966342	27400		
JAFWFN010000049.1	Halomonas sp.	1486246	SAMN16346160	208378		
JAEPOE010000003.1	Rhizobiaceae bacterium	1913961	SAMN16237273	599762		
JAEPMR010000005.1	Marivivens sp.	1978374	SAMN16237234	86489		
JAAFAE010000086.1	Gammaproteobacteria bacterium	1913989	SAMN13827060	19891		
JAAEZR010000005.1	Oceanospirillales bacterium	1914300	SAMN13827047	54769		
JAAEZC010000019.1	Gammaproteobacteria bacterium	1913989	SAMN13827032	66287		
JAAEZB010000055.1	Paracoccaceae bacterium	1904441	SAMN13827031	20462		
JAAEYZ010000001.1	Vibrionaceae bacterium	1889773	SAMN13827029	240051		
JAAEYT010000023.1	Gammaproteobacteria bacterium	1913989	SAMN13827023	87066		
JAAEYU010000005.1	Oceanospirillales bacterium	1914300	SAMN13827024	231387		
AP024341.1	Pseudomonas sp. Boi14	2799183	SAMD00267431	6968016	GCA_018326365.1	ASM1832636v1
JAGXLV010000024.1	Oleiphilaceae bacterium	2821144	SAMN18352275	34809		
JABGVV010000045.1	Porticoccaceae bacterium	2026782	SAMN14913853	19897		
JABGVR010000244.1	Hellea sp.	2715692	SAMN14913849	9953		
JABGSN010000023.1	Oceanospirillaceae bacterium	1899355	SAMN14913767	83586		
JABGSH010000066.1	Halieaceae bacterium	2026743	SAMN14913761	11725		
JABICK010000263.1	Oceanospirillaceae bacterium	1899355	SAMN14914728	30590		
JABIMQ010000086.1	Porticoccaceae bacterium	2026782	SAMN14914994	6277		
JABJJP010000110.1	Halieaceae bacterium	2026743	SAMN14915591	8404		
JABJJC010000178.1	Porticoccaceae bacterium	2026782	SAMN14915578	19641		
JABJIY010000190.1	Woeseia sp.	1980636	SAMN14915574	13340		
JABJEX010000019.1	Porticoccaceae bacterium	2026782	SAMN14915469	26264		
JABJOY010000003.1	Porticoccaceae bacterium	2026782	SAMN14915760	44818		
JABJAP010000013.1	Porticoccaceae bacterium	2026782	SAMN14915357	89883		
JABGZP010000281.1	Porticoccaceae bacterium	2026782	SAMN14913951	8336		
JAHHOC010000010.1	Arenicella sp.	1872634	SAMN19246991	10369		
JABHJU010000262.1	Woeseiaceae bacterium	2026806	SAMN14914216	40524		
JABIPT010000102.1	Halieaceae bacterium	2026743	SAMN14915075	6646		
JABIRN010000040.1	Porticoccaceae bacterium	2026782	SAMN14915121	43547		
JABIYO010000061.1	Halieaceae bacterium	2026743	SAMN14915304	45838		
JAHKAZ010000637.1	Gammaproteobacteria bacterium	1913989	SAMN19298786	32540		
JAHCAC010000078.1	Rhodocyclaceae bacterium	1898103	SAMN18899474	12858		
BOWG01000001.1	Candidatus Pelagibacterales bacterium	2026776	SAMD00290856	553888	GCA_019649495.1	ASM1964949v1
BPAN01000016.1	Gammaproteobacteria bacterium	1913989	SAMD00290967	22691	GCA_019652635.1	ASM1965263v1
JAIUPC010000004.1	Pseudomonadota bacterium	1977087	SAMN21435394	334965		
CP070646.1	Gammaproteobacteria bacterium	1913989	SAMN17669720	3722441	GCA_020354435.1	ASM2035443v1
JAGQRW010000007.1	Paracoccaceae bacterium	1904441	SAMN14564123	983752		
JAGQRV010000008.1	Paracoccaceae bacterium	1904441	SAMN14564122	137890		
JAGRLE010000126.1	Rhodobiaceae bacterium	2026785	SAMN14564367	40481		
JAGRGG010000034.1	Geminicoccaceae bacterium	2448052	SAMN14564239	20492		
JAGRDY010000018.1	Paracoccaceae bacterium	1904441	SAMN14564179	374293		
JAGRDO010000078.1	Paracoccaceae bacterium	1904441	SAMN14564169	55085		
JACKJK010000003.1	Rhodobiaceae bacterium	2026785	SAMN15687922	514895		
JAFIEM010000008.1	Natronohydrobacter sp.	2497628	SAMN17266176	63888		
JAFIEE010000043.1	Paracoccaceae bacterium	1904441	SAMN17266168	23579		
WSSD01000001.1	Pseudomonas putida	303	SAMN13555795	1004394		
JAIOXV010000131.1	Paracoccaceae bacterium	1904441	SAMN21020356	7919		
JAJDOF010000005.1	Gammaproteobacteria bacterium	1913989	SAMN20958557	14647		
JAKSDN010000002.1	Kiloniellales bacterium	2478489	SAMN22830511	4398		
JAKMGY010000064.1	Alphaproteobacteria bacterium	1913988	SAMN25339229	7091		
JAKMGI010000214.1	Alphaproteobacteria bacterium	1913988	SAMN25339213	21189		
JAKMGD010000087.1	Luminiphilus sp.	2590574	SAMN25339208	54945		
JAKMFH010000185.1	Alphaproteobacteria bacterium	1913988	SAMN25339186	13588		
JAKMFG010000166.1	Alphaproteobacteria bacterium	1913988	SAMN25339185	11519		
JAKMEU010000050.1	Luminiphilus sp.	2590574	SAMN25339173	9732		
JAKMDA010000272.1	Luminiphilus sp.	2590574	SAMN25339127	24679		
JAKVCP010000029.1	Paracoccaceae bacterium	1904441	SAMN25998970	38036		
JAIUML010000001.1	Saccharospirillum sp.	2033801	SAMN21419678	434404		
JADFJT010000043.1	Pseudomonadota bacterium	1977087	SAMN16244421	21246		
JAHZMA010000120.1	Alphaproteobacteria bacterium	1913988	SAMN20447860	17719		
JAHZKE010000037.1	Pseudomonadota bacterium	1977087	SAMN20447812	16360		
JALEHD010000386.1	Donghicola eburneus	393278	SAMN26879105	15241		
JALEGX010000115.1	Paracoccaceae bacterium	1904441	SAMN26879099	30115		
CP063810.1	Bordetella sp.	28081	SAMN16338392	866396	GCA_022818765.1	ASM2281876v1
JALJPJ010000015.1	Pseudomonadales bacterium	1891229	SAMN25998905	157046		
JALKCU010000008.1	Marivivens geojensis	1729711	SAMN27511820	83127		
CP097898.1	Pseudomonas protegens	380021	SAMN28658868	6984753	GCA_023639195.1	ASM2363919v1
BRCY01000001.1	Halomonas sp. NCCP-2165	2942298	SAMD00492980	216851	GCF_023708045.1	ASM2370804v1
JAGSGS010000042.1	Gammaproteobacteria bacterium	1913989	SAMN18738626	25919		
JAAEOL010000263.1	Gammaproteobacteria bacterium	1913989	SAMN13632627	5635		
JAAENN010000234.1	Shimia sp.	1954381	SAMN13632601	8831		
JAAEUD010000454.1	Paracoccaceae bacterium	1904441	SAMN13632782	16887		
JAAERU010000013.1	Shimia sp.	1954381	SAMN13632718	4218		
JAAERM010000268.1	Gammaproteobacteria bacterium	1913989	SAMN13632710	7060		
JAAEOK010000053.1	Alphaproteobacteria bacterium	1913988	SAMN13632626	128970		
JANSYP010000001.1	Paracoccaceae bacterium	1904441	SAMN27010667	1935466		
JANSYK010000003.1	Alphaproteobacteria bacterium	1913988	SAMN27010662	1153812		
JANSYF010000060.1	Paracoccaceae bacterium	1904441	SAMN27010657	17861		
JANSXS010000008.1	Paracoccaceae bacterium	1904441	SAMN27010644	100492		
JANSXH010000001.1	Pseudomonadota bacterium	1977087	SAMN27010633	315184		
JANSXE010000010.1	Alphaproteobacteria bacterium	1913988	SAMN27010630	170970		
CP103416.1	SAR92 clade bacterium H455	2974818	SAMN30385119	2957683	GCA_024802545.1	ASM2480254v1
JANXGM010000027.1	Candidatus Thioglobus sp.	2026721	SAMN30349999	14912		
JANXGN010000143.1	Gammaproteobacteria bacterium	1913989	SAMN30350000	10245		
JAOALD010000002.1	SAR92 clade bacterium H921	2975452	SAMN30385120	614361		
JAOALC010000001.1	SAR92 clade bacterium H231	2975451	SAMN30385121	940442		
JAOASD010000036.1	Pelagimonas sp.	2073170	SAMN30713073	109954		
JAOARQ010000017.1	Pelagimonas sp.	2073170	SAMN30713060	207704		
JAOWLD010000003.1	Rhodobacteraceae bacterium XHP0102	2984337	SAMN31202435	556464		
JAOXSF010000135.1	Marinobacterium sp.	1902815	SAMN31142979	76362		
JAOXSD010000342.1	Silicimonas sp.	2058390	SAMN31142883	29540		
JAOXSA010000436.1	Amphritea sp.	1872502	SAMN31140352	53632		
JAPDSK010000004.1	Halomonas sp. 18H	2992180	SAMN31525857	426432		
JAPDSK010000002.1	Halomonas sp. 18H	2992180	SAMN31525857	855012		
JAPEIA010000163.1	Ruegeria sp. NA	2992762	SAMN29790127	6695		
JAPOUZ010000072.1	Hyphomicrobiales bacterium	1909294	SAMN15855074	12602		
JAPOUY010000115.1	Hyphomicrobiales bacterium	1909294	SAMN15855073	17280		
JAPOUW010000132.1	Hyphomicrobiales bacterium	1909294	SAMN15855071	10172		
JAPOUV010000003.1	Hyphomicrobiales bacterium	1909294	SAMN15855070	17317		
JAPOUU010000003.1	Hyphomicrobiales bacterium	1909294	SAMN15855069	7123		
JAPOUT010000068.1	Hyphomicrobiales bacterium	1909294	SAMN15855068	28574		
JAPUFZ010000251.1	Gammaproteobacteria bacterium	1913989	SAMN30435876	12730		
JAPUFS010000081.1	Gammaproteobacteria bacterium	1913989	SAMN30435875	10628		
JAPUKQ010000269.1	Gammaproteobacteria bacterium	1913989	SAMN30435880	5960		
JAPUJB010000017.1	Gammaproteobacteria bacterium	1913989	SAMN30435869	11311		
JAPUIY010000186.1	Gammaproteobacteria bacterium	1913989	SAMN30435879	12402		
JAPUHJ010000334.1	Gammaproteobacteria bacterium	1913989	SAMN30435877	9334		
JAOSKR010000003.1	Roseovarius sp.	1486281	SAMN28180322	845710		
JAQCJB010000118.1	Pseudomonadota bacterium	1977087	SAMN32185578	6613		
JAQCIS010000007.1	Pseudomonadota bacterium	1977087	SAMN32185569	79472		
JAQCEP010000011.1	Pseudomonadota bacterium	1977087	SAMN32185462	60084		
JAQBTC010000011.1	Pseudomonadota bacterium	1977087	SAMN32185163	20623		
JAQIBT010000074.1	Salinisphaera sp.	1914330	SAMN32472401	68932		
JAOFRS010000002.1	Candidatus Pelagibacter ubique	198252	SAMN29374251	129002		
JAOFUB010000001.1	Candidatus Pelagibacter ubique	198252	SAMN29374189	99997		
JAOFHJ010000030.1	Luminiphilus sp.	2590574	SAMN29371932	34580		
JAOFID010000008.1	Alphaproteobacteria bacterium	1913988	SAMN29371909	63734		
JAOFIS010000001.1	Candidatus Pelagibacter sp.	2024849	SAMN29371893	122338		
JAOFIX010000006.1	Alphaproteobacteria bacterium	1913988	SAMN29371887	80874		
JAOFJD010000002.1	Candidatus Pelagibacter sp.	2024849	SAMN29371881	119278		
JAOFJI010000013.1	Candidatus Pelagibacter sp.	2024849	SAMN29371873	29775		
JAOFJO010000007.1	Porticoccaceae bacterium	2026782	SAMN29371866	41923		
JAOFKC010000011.1	Pelagibacteraceae bacterium	2026775	SAMN29374459	16882		
JAOFKT010000001.1	Candidatus Pelagibacter sp.	2024849	SAMN29374442	98064		
JAOFME010000001.1	Alphaproteobacteria bacterium	1913988	SAMN29374401	152479		
JAOFOY010000003.1	Candidatus Pelagibacterales bacterium	2026776	SAMN29374325	56108		
JAOFOZ010000019.1	Alphaproteobacteria bacterium	1913988	SAMN29374324	21837		
JAOFRB010000008.1	Alphaproteobacteria bacterium	1913988	SAMN29374268	24337		
JAOFPG010000019.1	Candidatus Pelagibacter sp.	2024849	SAMN29374317	10173		
JAOHCL010000003.1	Alphaproteobacteria bacterium	1913988	SAMN29376228	70480		
JAOHDL010000004.1	Candidatus Pelagibacter bacterium	2780116	SAMN29376201	88109		
JAOHGA010000006.1	Porticoccaceae bacterium	2026782	SAMN29376131	55806		
JAOHGJ010000006.1	Alphaproteobacteria bacterium	1913988	SAMN29376122	68021		
JAOHGO010000006.1	Luminiphilus sp.	2590574	SAMN29376116	89760		
JAOHGS010000001.1	Luminiphilus sp.	2590574	SAMN29376112	281877		
JAOHHA010000001.1	Alphaproteobacteria bacterium	1913988	SAMN29376104	166264		
JAOHHC010000003.1	Luminiphilus sp.	2590574	SAMN29376102	76920		
JAOHIC010000036.1	Alphaproteobacteria bacterium	1913988	SAMN29376076	4143		
JAOHIP010000010.1	Alphaproteobacteria bacterium	1913988	SAMN29376062	29727		
JAOHJN010000016.1	Porticoccaceae bacterium	2026782	SAMN29376035	34244		
JAOHLQ010000011.1	Porticoccaceae bacterium	2026782	SAMN29375978	60369		
JAOHLU010000012.1	Porticoccaceae bacterium	2026782	SAMN29375974	36365		
JAOHLY010000002.1	Alphaproteobacteria bacterium	1913988	SAMN29375970	52632		
JAOHMO010000015.1	Luminiphilus sp.	2590574	SAMN29375953	70849		
JAOGOO010000009.1	Candidatus Thioglobus sp.	2026721	SAMN29373454	30210		
JAOGRK010000003.1	Alphaproteobacteria bacterium	1913988	SAMN29373379	102009		
JAOGSN010000001.1	Candidatus Thioglobus sp.	2026721	SAMN29373348	56715		
JAOGTD010000001.1	Candidatus Thioglobus sp.	2026721	SAMN29373332	274980		
JAOGVJ010000001.1	Alphaproteobacteria bacterium	1913988	SAMN29373270	187851		
JAOGWA010000011.1	Porticoccaceae bacterium	2026782	SAMN29373251	31769		
JAOGYV010000001.1	Candidatus Pelagibacterales bacterium	2026776	SAMN29373173	168713		
JAOGZD010000020.1	Porticoccaceae bacterium	2026782	SAMN29373165	32205		
JAOGZE010000005.1	Candidatus Pelagibacter ubique	198252	SAMN29373164	38079		
JAOGZV010000021.1	Woeseiaceae bacterium	2026806	SAMN29373146	17477		
JAOGZU010000001.1	Candidatus Pelagibacter ubique	198252	SAMN29373147	206302		
JAOHAW010000001.1	Candidatus Thioglobus sp.	2026721	SAMN29373118	78848		
JAOHAY010000003.1	Candidatus Thioglobus sp.	2026721	SAMN29373115	34972		
JAOHGT010000003.1	Luminiphilus sp.	2590574	SAMN29376111	79773		
JAOHPK010000001.1	Paracoccaceae bacterium	1904441	SAMN29364727	71211		
JAOHPL010000007.1	Alphaproteobacteria bacterium	1913988	SAMN29364726	25839		
JAOHQU010000007.1	Candidatus Pelagibacter sp.	2024849	SAMN29364690	41995		
JAOHRE010000055.1	Alphaproteobacteria bacterium	1913988	SAMN29364680	3909		
JAOIBB010000009.1	Porticoccaceae bacterium	2026782	SAMN29364402	25160		
JAOIBU010000002.1	Candidatus Pelagibacterales bacterium	2026776	SAMN29364382	56845		
JAOIDH010000011.1	Porticoccaceae bacterium	2026782	SAMN29375288	25147		
JAOIGY010000005.1	Luminiphilus sp.	2590574	SAMN29375177	23464		
