Protein	ncbi.taxid	Organism	Start	Stop	Strand	Nucleotide.Accession	Assembly	gene.length	protein.length	cluster.representative	query	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	protein.function	distance.to.min
EBA02754.1	388401	Rhodobacteraceae bacterium HTCC2150	21652	23100	-	AAXZ01000006.1	GCA_000169395.1	1449	483	EBA02754.1	OBi1_02319	60.51	471	186	0	18	488	9	479	0	597	aminoaldehyde dehydrogenase	8943
EBA02753.1	388401	Rhodobacteraceae bacterium HTCC2150	20666	21652	-	AAXZ01000006.1	GCA_000169395.1	987	329	EBA02753.1	OBi1_02318	59.119	318	128	2	6	322	4	320	6.34e-136	399	aminohydrolase	9929
EBA02762.1	388401	Rhodobacteraceae bacterium HTCC2150	32298	32954	+	AAXZ01000006.1	GCA_000169395.1	657	219	EBA02762.1	SPO3188	31.081	222	134	5	2	210	3	218	4.96e-21	97.1	dehydrogenase	1703
EBA02761.1	388401	Rhodobacteraceae bacterium HTCC2150	30595	32301	+	AAXZ01000006.1	GCA_000169395.1	1707	569	EBA02761.1	OBi1_02316	41.058	548	313	6	19	560	14	557	1.31e-128	399	hydroxylase	0
EKT4466723.1	303	Pseudomonas putida	84631	86073	+	ABLONA010000010.1	GCA_029771945.1	1443	481	WP_012052756.1	OBi1_02319	71.458	487	131	1	1	487	1	479	0	712	aminoaldehyde dehydrogenase	2498
EKT4466724.1	303	Pseudomonas putida	86088	87074	+	ABLONA010000010.1	GCA_029771945.1	987	329	WP_261943826.1	OBi1_02318	73.148	324	87	0	5	328	4	327	1.64e-179	509	aminohydrolase	1041
EKT4466727.1	303	Pseudomonas putida	90403	91095	+	ABLONA010000010.1	GCA_029771945.1	693	231	WP_196156708.1	OBi1_02315	34.815	270	128	7	1	262	1	230	1.84e-39	147	dehydrogenase	3274
EKT4466726.1	303	Pseudomonas putida	88706	90400	+	ABLONA010000010.1	GCA_029771945.1	1695	565	WP_084858900.1	OBi1_02316	58.094	556	228	2	19	574	11	561	0	609	hydroxylase	1577
EKT4466725.1	303	Pseudomonas putida	87129	88679	+	ABLONA010000010.1	GCA_029771945.1	1551	517	WP_166570185.1	OBi1_02317	46.232	491	256	5	34	522	32	516	9.68e-138	418	permease	0
BFM03430.1	261164	Psychrobacter alimentarius	2043511	2043903	-	AP031495.1	GCA_040436395.1	393	131	WP_201512788.1	OBi1_02314	66.387	119	40	0	5	123	10	128	6.37e-53	172	RidA	6162
BFM03429.1	261164	Psychrobacter alimentarius	2041964	2043427	-	AP031495.1	GCA_040436395.1	1464	488	WP_240216060.1	OBi1_02319	64.693	473	167	0	16	488	18	490	0	663	aminoaldehyde dehydrogenase	4615
BFM03428.1	261164	Psychrobacter alimentarius	2040913	2041902	-	AP031495.1	GCA_040436395.1	990	330	WP_201512790.1	OBi1_02318	60.87	322	126	0	1	322	1	322	8.44e-146	424	aminohydrolase	3564
BFM03423.1	261164	Psychrobacter alimentarius	2036610	2037335	-	AP031495.1	GCA_040436395.1	726	242	WP_201535070.1	OBi1_02315	29.688	256	162	7	1	255	1	239	3.19e-18	91.7	dehydrogenase	739
BFM03424.1	261164	Psychrobacter alimentarius	2037349	2039058	-	AP031495.1	GCA_040436395.1	1710	570	WP_201535068.1	OBi1_02316	44.404	545	295	4	17	557	17	557	8.19e-160	479	hydroxylase	0
EPJ53277.1	1330035	Osedax symbiont Rs2	1562	3004	-	ASZI01000077.1	GCA_000416315.1	1443	481	EPJ53277.1	OBi1_02319	68.856	472	147	0	17	488	9	480	0	686	aminoaldehyde dehydrogenase	0
EPJ53276.1	1330035	Osedax symbiont Rs2	559	1548	-	ASZI01000077.1	GCA_000416315.1	990	330	EPJ53276.1	OBi1_02318	66.871	326	108	0	1	326	1	326	2.72e-171	488	aminohydrolase	1003
EPJ53281.1	1330035	Osedax symbiont Rs2	5955	6698	+	ASZI01000077.1	GCA_000416315.1	744	248	NRA16986.1	OBi1_02315	29.412	255	172	2	1	255	1	247	3.34e-39	147	dehydrogenase	4393
EPJ53280.1	1330035	Osedax symbiont Rs2	4225	5955	+	ASZI01000077.1	GCA_000416315.1	1731	577	EPJ53280.1	OBi1_02316	46.726	565	289	5	17	578	17	572	1.91e-174	516	hydroxylase	2663
GAK21776.1	1460647	Vibrio sp. JCM 19052	145440	146899	+	BAXJ01000003.1	GCA_000699205.1	1460	486.666666666667	WP_182033563.1	OBi1_02319	64.768	474	167	0	12	485	9	482	0	657	aminoaldehyde dehydrogenase	4340
GAK21777.1	1460647	Vibrio sp. JCM 19052	147011	147951	+	BAXJ01000003.1	GCA_000699205.1	941	313.666666666667	WP_146490165.1	OBi1_02318	62.733	322	120	0	1	322	1	322	2.76e-153	443	aminohydrolase	2769
GAK21780.1	1460647	Vibrio sp. JCM 19052	151515	152165	+	BAXJ01000003.1	GCA_000699205.1	651	217	GAK21780.1	OBi1_02315	31.618	136	92	1	1	136	1	135	2.24e-06	58.5	dehydrogenase	1735
GAK21779.1	1460647	Vibrio sp. JCM 19052	149780	151518	+	BAXJ01000003.1	GCA_000699205.1	1739	579.666666666667	WP_051117781.1	OBi1_02316	46.06	571	300	3	12	582	6	568	2.83e-171	509	hydroxylase	0
GIR04954.1	2026776	Pelagibacterales bacterium	300633	302066	+	BOWG01000001.1	GCA_019649495.1	1434	478	GIR04954.1	OBi1_02319	35.43	477	295	9	17	487	7	476	1.81e-79	265	aminoaldehyde dehydrogenase	2051
GIR04957.1	2026776	Pelagibacterales bacterium	304343	305314	-	BOWG01000001.1	GCA_019649495.1	972	324	GIR04957.1	OBi1_02318	54.114	316	145	0	8	323	5	320	1.99e-133	392	aminohydrolase	1659
GIR04955.1	2026776	Pelagibacterales bacterium	302070	302684	-	BOWG01000001.1	GCA_019649495.1	615	205	GIR04955.1	SPO3188	24.762	210	141	5	7	210	6	204	3.04e-13	76.3	dehydrogenase	614
GIR04956.1	2026776	Pelagibacterales bacterium	302684	304339	-	BOWG01000001.1	GCA_019649495.1	1656	552	GIR04956.1	OBi1_02316	37.887	549	322	7	16	555	4	542	1.44e-123	385	hydroxylase	0
GIR47171.1	1913988	Alphaproteobacteria bacterium	209606	211039	+	BOXV01000001.1	GCA_019651175.1	1434	478	MAK14933.1	OBi1_02319	34.18	433	277	5	17	445	7	435	1.42e-74	251	aminoaldehyde dehydrogenase	8151
GIR47178.1	1913988	Alphaproteobacteria bacterium	217757	218743	-	BOXV01000001.1	GCA_019651175.1	987	329	GIR47178.1	OBi1_02318	43.963	323	181	0	1	323	4	326	4.63e-108	328	aminohydrolase	0
GIR47180.1	1913988	Alphaproteobacteria bacterium	220432	221148	+	BOXV01000001.1	GCA_019651175.1	717	239	GIR47180.1	SPO3188	22.523	222	155	5	1	205	13	234	2.75e-07	60.5	dehydrogenase	2675
GIR47179.1	1913988	Alphaproteobacteria bacterium	218798	220462	+	BOXV01000001.1	GCA_019651175.1	1665	555	GIR47179.1	OBi1_02316	39.783	553	324	4	18	569	4	548	2.55e-146	444	hydroxylase	1041
GIS27042.1	1913989	Gammaproteobacteria bacterium	14876	16327	-	BPAN01000016.1	GCA_019652635.1	1452	484	MAD59869.1	OBi1_02319	56.306	444	192	2	44	486	4	446	5.43e-167	489	aminoaldehyde dehydrogenase	1780
GIS27041.1	1913989	Gammaproteobacteria bacterium	13911	14879	-	BPAN01000016.1	GCA_019652635.1	969	323	GIS27041.1	OBi1_02318	54.114	316	145	0	8	323	5	320	9.28e-125	370	aminohydrolase	815
GIS27038.1	1913989	Gammaproteobacteria bacterium	11661	12257	-	BPAN01000016.1	GCA_019652635.1	597	199	GIS27038.1	SPO3188	26.977	215	130	8	4	210	3	198	4.97e-10	67.4	dehydrogenase	1435
GIS27040.1	1913989	Gammaproteobacteria bacterium	13096	13911	-	BPAN01000016.1	GCA_019652635.1	816	272	GIS27040.1	OBi1_02316	45.522	268	144	1	16	283	2	267	2.75e-78	259	hydroxylase	0
GKW47869.1	2942298	Halomonas sp. NCCP-2165	99286	99675	+	BRCY01000001.1	GCA_023708045.1	390	130	WP_097790561.1	OBi1_02314	82.927	123	21	0	1	123	1	123	7.05e-68	210	RidA	2532
GKW47864.1	2942298	Halomonas sp. NCCP-2165	92654	94093	+	BRCY01000001.1	GCA_023708045.1	1440	480	WP_175069974.1	OBi1_02319	81.263	475	89	0	14	488	5	479	0	815	aminoaldehyde dehydrogenase	4100
GKW47865.1	2942298	Halomonas sp. NCCP-2165	94105	95106	+	BRCY01000001.1	GCA_023708045.1	1002	334	WP_183388016.1	OBi1_02318	83.129	326	55	0	1	326	1	326	0	574	aminohydrolase	2649
GKW47868.1	2942298	Halomonas sp. NCCP-2165	98502	99269	+	BRCY01000001.1	GCA_023708045.1	768	256	WP_089848167.1	OBi1_02315	75.573	262	57	1	1	262	1	255	1.86e-134	389	dehydrogenase	1748
GKW47867.1	2942298	Halomonas sp. NCCP-2165	96754	98505	+	BRCY01000001.1	GCA_023708045.1	1752	584	WP_097790559.1	OBi1_02316	74.645	564	143	0	19	582	14	577	0	853	hydroxylase	0
CAH1540208.1	696485	Vibrio owensii	34569	34967	-	CAKMTP010000078.1	GCA_928500655.1	399	133	WP_045149362.1	OBi1_02314	67.769	121	39	0	3	123	8	128	2.17e-53	174	RidA	4328
CAH1540203.1	696485	Vibrio owensii	33014	34474	-	CAKMTP010000078.1	GCA_928500655.1	1461	487	WP_171330090.1	OBi1_02319	64.557	474	168	0	12	485	9	482	0	665	aminoaldehyde dehydrogenase	2773
CAH1540198.1	696485	Vibrio owensii	31960	32946	-	CAKMTP010000078.1	GCA_928500655.1	987	329	WP_005595776.1	OBi1_02318	61.42	324	125	0	1	324	1	324	5.52e-153	442	aminohydrolase	1719
CAH1540183.1	696485	Vibrio owensii	27661	28392	-	CAKMTP010000078.1	GCA_928500655.1	732	244	WP_009696344.1	OBi1_02315	27.308	260	164	6	1	255	1	240	1.5e-11	73.6	dehydrogenase	2580
CAH1540188.1	696485	Vibrio owensii	28389	30128	-	CAKMTP010000078.1	GCA_928500655.1	1740	580	WP_123780292.1	OBi1_02316	45.936	566	293	7	12	574	6	561	6.48e-165	492	hydroxylase	1852
CAH1540193.1	696485	Vibrio owensii	30241	31845	-	CAKMTP010000078.1	GCA_928500655.1	1605	535	WP_045186583.1	OBi1_02317	50.096	521	254	3	2	522	20	534	6.49e-174	511	permease	0
CAH1559012.1	190895	Vibrio rotiferianus	32943	33341	-	CAKMUA010000003.1	GCA_928506355.1	399	133	WP_045149362.1	OBi1_02314	67.769	121	39	0	3	123	8	128	2.17e-53	174	RidA	2612
CAH1559005.1	190895	Vibrio rotiferianus	31388	32848	-	CAKMUA010000003.1	GCA_928506355.1	1461	487	WP_005375790.1	OBi1_02319	64.979	474	166	0	12	485	9	482	0	659	aminoaldehyde dehydrogenase	1057
CAH1558998.1	190895	Vibrio rotiferianus	30331	31320	-	CAKMUA010000003.1	GCA_928506355.1	990	330	WP_005595776.1	OBi1_02318	61.42	324	125	0	1	324	1	324	5.52e-153	442	aminohydrolase	0
CAH1558977.1	190895	Vibrio rotiferianus	26036	26767	-	CAKMUA010000003.1	GCA_928506355.1	732	244	WP_009696344.1	OBi1_02315	27.308	260	164	6	1	255	1	240	1.5e-11	73.6	dehydrogenase	4295
CAH1558984.1	190895	Vibrio rotiferianus	26764	28503	-	CAKMUA010000003.1	GCA_928506355.1	1740	580	WP_123780292.1	OBi1_02316	45.936	566	293	7	12	574	6	561	6.48e-165	492	hydroxylase	3567
CAH1599541.1	696485	Vibrio owensii	282854	283252	-	CAKMUC010000044.1	GCA_928508715.1	399	133	WP_045149362.1	OBi1_02314	67.769	121	39	0	3	123	8	128	2.17e-53	174	RidA	6180
CAH1599538.1	696485	Vibrio owensii	281299	282759	-	CAKMUC010000044.1	GCA_928508715.1	1461	487	WP_005595778.1	OBi1_02319	64	475	171	0	11	485	18	492	0	635	aminoaldehyde dehydrogenase	4625
CAH1599535.1	696485	Vibrio owensii	280245	281231	-	CAKMUC010000044.1	GCA_928508715.1	987	329	WP_005595776.1	OBi1_02318	61.42	324	125	0	1	324	1	324	5.52e-153	442	aminohydrolase	3571
CAH1599526.1	696485	Vibrio owensii	275946	276677	-	CAKMUC010000044.1	GCA_928508715.1	732	244	WP_009696344.1	OBi1_02315	27.308	260	164	6	1	255	1	240	1.5e-11	73.6	dehydrogenase	728
CAH1599529.1	696485	Vibrio owensii	276674	278413	-	CAKMUC010000044.1	GCA_928508715.1	1740	580	WP_123780292.1	OBi1_02316	45.936	566	293	7	12	574	6	561	6.48e-165	492	hydroxylase	0
CAI8335165.1	1986232	SAR92 bacterium MED-G29	20287	21732	-	CATIRQ010000082.1	GCA_949523485.1	1446	482	MBT4831796.1	OBi1_02319	62.658	474	177	0	14	487	6	479	0	617	aminoaldehyde dehydrogenase	2945
CAI8335113.1	1986232	SAR92 bacterium MED-G29	19268	20266	-	CATIRQ010000082.1	GCA_949523485.1	999	333	MBT4831797.1	OBi1_02318	59.877	324	130	0	1	324	1	324	1.74e-150	436	aminohydrolase	1926
CAI8334991.1	1986232	SAR92 bacterium MED-G29	16606	17337	-	CATIRQ010000082.1	GCA_949523485.1	732	244	CAI8334991.1	OBi1_02315	31.481	270	142	5	1	255	1	242	9.6e-26	111	dehydrogenase	736
CAI8334998.1	1986232	SAR92 bacterium MED-G29	17342	19111	-	CATIRQ010000082.1	GCA_949523485.1	1770	590	CAI8334998.1	OBi1_02316	45.946	592	293	8	1	576	1	581	5.43e-168	501	hydroxylase	0
AFS48338.1	744985	alpha proteobacterium HIMB59	120069	121508	+	CP003801.1	GCA_000299115.1	1440	480	AFS48338.1	OBi1_02319	55.508	472	209	1	17	488	6	476	0	553	aminoaldehyde dehydrogenase	2415
AFS48339.1	744985	alpha proteobacterium HIMB59	121516	122484	+	CP003801.1	GCA_000299115.1	969	323	AFS48339.1	OBi1_02318	53.774	318	147	0	6	323	3	320	3.44e-125	371	aminohydrolase	968
AFS48341.1	744985	alpha proteobacterium HIMB59	124139	124735	+	CP003801.1	GCA_000299115.1	597	199	NCX68810.1	SPO3188	27.442	215	129	9	4	210	3	198	6.42e-18	88.6	dehydrogenase	1655
AFS48340.1	744985	alpha proteobacterium HIMB59	122484	124139	+	CP003801.1	GCA_000299115.1	1656	552	AFS48340.1	OBi1_02316	38.434	562	322	6	16	569	2	547	2.49e-130	403	hydroxylase	0
UOF93785.1	28081	Bordetella sp.	832780	833178	+	CP063810.1	GCA_022818765.1	399	133	UOF93785.1	OBi1_02314	63.636	121	44	0	4	124	5	125	1.23e-54	177	RidA	473
UOF93786.1	28081	Bordetella sp.	833253	834713	+	CP063810.1	GCA_022818765.1	1461	487	UOF93786.1	OBi1_02319	61.277	470	182	0	16	485	13	482	0	631	aminoaldehyde dehydrogenase	0
UOF93787.1	28081	Bordetella sp.	834785	835774	+	CP063810.1	GCA_022818765.1	990	330	UOF93787.1	OBi1_02318	63.58	324	118	0	6	329	6	329	3.07e-156	450	aminohydrolase	1532
UOF93789.1	28081	Bordetella sp.	839153	839917	+	CP063810.1	GCA_022818765.1	765	255	UOF93789.1	OBi1_02315	26.894	264	174	7	1	260	1	249	9.55e-15	82.8	dehydrogenase	5900
UOF93788.1	28081	Bordetella sp.	837460	839121	+	CP063810.1	GCA_022818765.1	1662	554	UOF93788.1	OBi1_02316	45.31	565	295	4	10	573	1	552	9.92e-169	501	hydroxylase	4207
UVW36154.1	2974818	SAR92 clade bacterium H455	1299597	1301042	+	CP103416.1	GCA_024802545.1	1446	482	EAS46325.1	OBi1_02319	64.756	471	166	0	17	487	9	479	0	632	aminoaldehyde dehydrogenase	2451
UVW36155.1	2974818	SAR92 clade bacterium H455	1301056	1302051	+	CP103416.1	GCA_024802545.1	996	332	MBT5106463.1	OBi1_02318	61.25	320	124	0	5	324	1	320	5.76e-149	432	aminohydrolase	992
UVW36158.1	2974818	SAR92 clade bacterium H455	1305420	1306154	+	CP103416.1	GCA_024802545.1	735	245	EAS46329.1	OBi1_02315	33.852	257	153	6	1	255	1	242	2.56e-32	129	dehydrogenase	3372
UVW36157.1	2974818	SAR92 clade bacterium H455	1303651	1305414	+	CP103416.1	GCA_024802545.1	1764	588	ETN92794.1	OBi1_02316	45.993	574	297	5	10	575	20	588	1.08e-169	505	hydroxylase	1603
UVW36156.1	2974818	SAR92 clade bacterium H455	1302048	1303580	+	CP103416.1	GCA_024802545.1	1533	511	MBT6115136.1	OBi1_02317	52.505	499	230	3	25	521	14	507	1.8e-175	514	permease	0
WEK33227.1	3121377	Candidatus Pseudomonas phytovorans	3090326	3091834	+	CP119325.1	GCA_029202525.1	1509	503	WP_133212273.1	SPO3191	32.165	485	316	9	1	478	22	500	6.93e-65	228	aminoaldehyde dehydrogenase	0
WEK33222.1	3121377	Candidatus Pseudomonas phytovorans	3084722	3085708	-	CP119325.1	GCA_029202525.1	987	329	WP_261943826.1	OBi1_02318	73.148	324	87	0	5	328	4	327	1.64e-179	509	aminohydrolase	5604
WEK33219.1	3121377	Candidatus Pseudomonas phytovorans	3080697	3081392	-	CP119325.1	GCA_029202525.1	696	232	WP_060516750.1	OBi1_02315	35.115	262	139	6	1	262	1	231	2.56e-40	149	dehydrogenase	9629
WEK33220.1	3121377	Candidatus Pseudomonas phytovorans	3081395	3083089	-	CP119325.1	GCA_029202525.1	1695	565	WP_043195875.1	OBi1_02316	57.603	559	232	2	19	577	11	564	0	599	hydroxylase	8931
WEK33221.1	3121377	Candidatus Pseudomonas phytovorans	3083116	3084666	-	CP119325.1	GCA_029202525.1	1551	517	WP_166570185.1	OBi1_02317	46.232	491	256	5	34	522	32	516	9.68e-138	418	permease	7210
HET6622155.1	3069224	Dongiaceae bacterium	3547	4998	-	DASSBF010000232.1	GCA_035699005.1	1452	484	HEU4827143.1	OBi1_02319	61.653	472	181	0	17	488	8	479	0	600	aminoaldehyde dehydrogenase	2665
HET6622154.1	3069224	Dongiaceae bacterium	2558	3550	-	DASSBF010000232.1	GCA_035699005.1	993	331	HET6622154.1	OBi1_02318	64.65	314	111	0	8	321	7	320	2.12e-149	433	aminohydrolase	1676
HET6622152.1	3069224	Dongiaceae bacterium	188	889	-	DASSBF010000232.1	GCA_035699005.1	702	234	HET6622152.1	SPO3188	38.71	217	116	6	3	210	25	233	8.58e-18	89	dehydrogenase	694
HET6622153.1	3069224	Dongiaceae bacterium	882	2561	-	DASSBF010000232.1	GCA_035699005.1	1680	560	HSE76310.1	OBi1_02316	43.438	541	290	7	25	556	1	534	5.12e-126	391	hydroxylase	0
HEY1386486.1	3069224	Dongiaceae bacterium	5529	7001	-	DASXAU010000651.1	GCA_036406695.1	1473	491	HEY1386486.1	OBi1_02319	60.805	472	185	0	17	488	15	486	0	585	aminoaldehyde dehydrogenase	0
HEY1386485.1	3069224	Dongiaceae bacterium	4543	5532	-	DASXAU010000651.1	GCA_036406695.1	990	330	HEY1386485.1	OBi1_02318	52.229	314	146	1	4	317	8	317	1.13e-106	325	aminohydrolase	986
HEY1386490.1	3069224	Dongiaceae bacterium	10673	11272	+	DASXAU010000651.1	GCA_036406695.1	600	200	HEY1386490.1	SPO3188	31.019	216	125	7	1	210	2	199	2.42e-07	60.1	dehydrogenase	5144
HEY1386489.1	3069224	Dongiaceae bacterium	9018	10676	+	DASXAU010000651.1	GCA_036406695.1	1659	553	HEY1386489.1	OBi1_02316	43.659	552	298	5	19	563	6	551	3.72e-135	415	hydroxylase	3489
HEY5739270.1	1913989	Gammaproteobacteria bacterium	4074	5525	-	DATCZV010000271.1	GCA_036525715.1	1452	484	HEY5739270.1	OBi1_02319	65.745	470	161	0	17	486	8	477	0	626	aminoaldehyde dehydrogenase	2659
HEY5739269.1	1913989	Gammaproteobacteria bacterium	3085	4077	-	DATCZV010000271.1	GCA_036525715.1	993	331	HEY5739269.1	OBi1_02318	60.062	323	127	2	1	322	1	322	3.27e-141	412	aminohydrolase	1670
HEY5739267.1	1913989	Gammaproteobacteria bacterium	765	1418	-	DATCZV010000271.1	GCA_036525715.1	654	218	HEY5739267.1	SPO3188	35.945	217	126	5	3	210	5	217	1.74e-22	100	dehydrogenase	650
HEY5739268.1	1913989	Gammaproteobacteria bacterium	1415	3088	-	DATCZV010000271.1	GCA_036525715.1	1674	558	HEY5739268.1	OBi1_02316	42.674	546	296	5	20	556	17	554	8e-130	402	hydroxylase	0
HKJ54120.1	1913989	Gammaproteobacteria bacterium	9801	11252	-	DATFMF010000629.1	GCA_035267085.1	1452	484	HKJ54120.1	OBi1_02319	66.17	470	159	0	17	486	8	477	0	651	aminoaldehyde dehydrogenase	2870
HKJ54119.1	1913989	Gammaproteobacteria bacterium	8638	9624	-	DATFMF010000629.1	GCA_035267085.1	987	329	HKJ54119.1	OBi1_02318	60.443	316	123	2	8	322	7	321	4.93e-139	407	aminohydrolase	1707
HKJ54117.1	1913989	Gammaproteobacteria bacterium	6281	6934	-	DATFMF010000629.1	GCA_035267085.1	654	218	HKJ54117.1	SPO3188	36.697	218	129	5	1	210	1	217	3.59e-24	105	dehydrogenase	650
HKJ54118.1	1913989	Gammaproteobacteria bacterium	6931	8637	-	DATFMF010000629.1	GCA_035267085.1	1707	569	HKJ54118.1	OBi1_02316	41.405	541	310	4	20	556	17	554	1e-125	392	hydroxylase	0
HSG03686.1	1902815	Marinobacterium sp.	16686	18137	+	DATHZN010000075.1	GCA_035458585.1	1452	484	HSG03686.1	OBi1_02319	62.395	476	179	0	13	488	4	479	0	624	aminoaldehyde dehydrogenase	1448
HSG03687.1	1902815	Marinobacterium sp.	18134	19111	+	DATHZN010000075.1	GCA_035458585.1	978	326	HSG03687.1	OBi1_02318	54.574	317	144	0	6	322	1	317	1.62e-127	377	aminohydrolase	0
HSG03689.1	1902815	Marinobacterium sp.	20775	21221	+	DATHZN010000075.1	GCA_035458585.1	447	149	HSG03689.1	SPO3188	30.952	210	83	7	1	210	1	148	6.07e-13	74.3	dehydrogenase	2641
HSG03688.1	1902815	Marinobacterium sp.	19149	20774	+	DATHZN010000075.1	GCA_035458585.1	1626	542	HSG03688.1	OBi1_02316	41.252	543	299	7	19	555	5	533	2.17e-117	369	hydroxylase	1015
HUV22125.1	1913989	Gammaproteobacteria bacterium	64278	65729	-	DATKWW010000157.1	GCA_035529335.1	1452	484	MCG6888008.1	OBi1_02319	64.681	470	166	0	17	486	8	477	0	631	aminoaldehyde dehydrogenase	2678
HUV22124.1	1913989	Gammaproteobacteria bacterium	63292	64281	-	DATKWW010000157.1	GCA_035529335.1	990	330	MBT8435339.1	OBi1_02318	57.143	322	138	0	1	322	1	322	3.62e-140	409	aminohydrolase	1692
HUV22122.1	1913989	Gammaproteobacteria bacterium	60934	61587	-	DATKWW010000157.1	GCA_035529335.1	654	218	MCG6888011.1	SPO3188	38.532	218	125	5	1	210	1	217	1.28e-24	106	dehydrogenase	666
HUV22123.1	1913989	Gammaproteobacteria bacterium	61600	63276	-	DATKWW010000157.1	GCA_035529335.1	1677	559	MCG6888010.1	OBi1_02316	43.278	543	297	5	20	556	18	555	3.34e-134	413	hydroxylase	0
HAO57394.1	1913988	Alphaproteobacteria bacterium	1	820	+	DMSC01000089.1	GCA_003456425.1	820	273.333333333333	HAO57394.1	OBi1_02319	62.782	266	99	0	223	488	3	268	3.1e-110	337	aminoaldehyde dehydrogenase	824
HAO57395.1	1913988	Alphaproteobacteria bacterium	825	1799	+	DMSC01000089.1	GCA_003456425.1	975	325	MBL6602447.1	OBi1_02318	60.248	322	128	0	5	326	1	322	1.77e-145	423	aminohydrolase	0
HAO57397.1	1913988	Alphaproteobacteria bacterium	3509	4162	+	DMSC01000089.1	GCA_003456425.1	654	218	HAO57397.1	SPO3188	35.426	223	111	10	2	210	14	217	1.03e-14	80.5	dehydrogenase	2684
HAO57396.1	1913988	Alphaproteobacteria bacterium	1812	3512	+	DMSC01000089.1	GCA_003456425.1	1701	567	MBL6602446.1	OBi1_02316	41.049	553	314	6	25	573	21	565	9.58e-122	381	hydroxylase	987
EDZ46773.1	439496	Rhodobacterales bacterium Y4I	2498167	2499684	-	DS995281.1	GCA_000156135.1	1518	506	WP_217356369.1	OBi1_02319	61.996	471	179	0	18	488	11	481	0	607	aminoaldehyde dehydrogenase	2788
EDZ48682.1	439496	Rhodobacterales bacterium Y4I	2497071	2498054	-	DS995281.1	GCA_000156135.1	984	328	WP_170469017.1	OBi1_02318	62.776	317	116	2	6	321	1	316	4.4e-147	427	aminohydrolase	1692
EDZ46048.1	439496	Rhodobacterales bacterium Y4I	2494753	2495382	-	DS995281.1	GCA_000156135.1	630	210	WP_027244481.1	SPO3188	56.667	210	90	1	1	210	1	209	1.97e-59	195	dehydrogenase	626
EDZ47669.1	439496	Rhodobacterales bacterium Y4I	2495379	2495702	-	DS995281.1	GCA_000156135.1	324	108	EDZ47669.1	OBi1_02316	43.363	113	56	2	462	574	3	107	2.7e-18	91.7	hydroxylase	0
HIF62199.1	2024849	Candidatus Pelagibacter sp.	456	1895	-	DUBR01000056.1	GCA_012960235.1	1440	480	HIF62199.1	OBi1_02319	33.817	482	289	10	16	483	7	472	8.27e-72	245	aminoaldehyde dehydrogenase	4591
HIF62203.1	2024849	Candidatus Pelagibacter sp.	7322	8296	-	DUBR01000056.1	GCA_012960235.1	975	325	HIF62203.1	OBi1_02318	53.548	310	144	0	8	317	6	315	1e-125	373	aminohydrolase	2275
