Protein	ncbi.taxid	Organism	Start	Stop	Strand	Nucleotide.Accession	Assembly	gene.length	protein.length	cluster.representative	query	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	protein.function	distance.to.min	superkingdom	phylum	class	order	family	genus	species
WP_023603667.1	511678	Aliivibrio logei ATCC 35077	86041	87030	-	NZ_ASAH01000008.1	GCF_000390125.1	990	330	WP_122035874.1	OBi1_02318	63.58	324	118	0	1	324	1	324	4.54e-155	447	aminohydrolase	0	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Aliivibrio	NA
WP_023603668.1	688	Aliivibrio logei ATCC 35077	341957	343420	-	NZ_ASAH01000004.1	GCF_000390125.1	1464	488	WP_017023059.1	OBi1_02319	64.632	475	168	0	11	485	9	483	0	655	aminoaldehyde dehydrogenase	1046	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Aliivibrio	Aliivibrio logei
WP_023603668.1	688	Aliivibrio logei ATCC 35077	87087	88550	-	NZ_ASAH01000008.1	GCF_000390125.1	1464	488	WP_017023059.1	OBi1_02319	64.632	475	168	0	11	485	9	483	0	655	aminoaldehyde dehydrogenase	1046	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Aliivibrio	Aliivibrio logei
WP_071031029.1	325217	Mesorhizobium sp. LCM 4576	4384	4962	+	NZ_MDDT01000012.1	GCF_001854815.1	579	193	WP_164772327.1	SPO3188	28.638	213	127	3	1	210	2	192	4.34e-07	59.3	dehydrogenase	1652	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Phyllobacteriaceae	Mesorhizobium	NA
WP_071031029.1	325217	Mesorhizobium sp. LCM 4576	43354	43932	+	NZ_MDDT01000033.1	GCF_001854815.1	579	193	WP_164772327.1	SPO3188	28.638	213	127	3	1	210	2	192	4.34e-07	59.3	dehydrogenase	1652	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Phyllobacteriaceae	Mesorhizobium	NA
WP_116390044.1	325217	Mesorhizobium sp. LCM 4576	2732	4387	+	NZ_MDDT01000012.1	GCF_001854815.1	1656	552	WP_116390044.1	OBi1_02316	42.301	539	305	3	19	554	6	541	8.7e-130	401	hydroxylase	0	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Phyllobacteriaceae	Mesorhizobium	NA
WP_116390044.1	325217	Mesorhizobium sp. LCM 4576	41702	43357	+	NZ_MDDT01000033.1	GCF_001854815.1	1656	552	WP_116390044.1	OBi1_02316	42.301	539	305	3	19	554	6	541	8.7e-130	401	hydroxylase	0	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Phyllobacteriaceae	Mesorhizobium	NA
EAW40486.1	247639	marine gamma proteobacterium HTCC2080	111992	113434	-	AAVV01000008.1	GCA_000169115.1	1443	481	EAW40486.1	OBi1_02319	74.16	476	122	1	14	488	5	480	0	719	aminoaldehyde dehydrogenase	3538	Bacteria	Pseudomonadota	Gammaproteobacteria	Cellvibrionales	Halieaceae	NA	marine gamma proteobacterium HTCC2080
EAW40485.1	247639	marine gamma proteobacterium HTCC2080	110956	111975	-	AAVV01000008.1	GCA_000169115.1	1020	340	MBT6038128.1	OBi1_02318	66.867	332	110	0	1	332	1	332	9.58e-171	487	aminohydrolase	2502	Bacteria	Pseudomonadota	Gammaproteobacteria	Cellvibrionales	Halieaceae	NA	marine gamma proteobacterium HTCC2080
EAW40483.1	247639	marine gamma proteobacterium HTCC2080	108454	109209	-	AAVV01000008.1	GCA_000169115.1	756	252	EAW40483.1	OBi1_02315	66.275	255	79	1	1	255	1	248	3.42e-103	310	dehydrogenase	0	Bacteria	Pseudomonadota	Gammaproteobacteria	Cellvibrionales	Halieaceae	NA	marine gamma proteobacterium HTCC2080
EAW40484.1	247639	marine gamma proteobacterium HTCC2080	109193	110959	-	AAVV01000008.1	GCA_000169115.1	1767	589	EAW40484.1	OBi1_02316	62.523	555	208	0	19	573	15	569	0	725	hydroxylase	739	Bacteria	Pseudomonadota	Gammaproteobacteria	Cellvibrionales	Halieaceae	NA	marine gamma proteobacterium HTCC2080
EAW40482.1	247639	marine gamma proteobacterium HTCC2080	106813	108339	-	AAVV01000008.1	GCA_000169115.1	1527	509	MBT5889877.1	OBi1_02317	45.61	467	246	3	35	495	22	486	1.63e-135	412	permease	1641	Bacteria	Pseudomonadota	Gammaproteobacteria	Cellvibrionales	Halieaceae	NA	marine gamma proteobacterium HTCC2080
EGK8097312.1	201	Campylobacter lari	36116	37561	+	AAWQBF010000008.1	GCA_014977145.1	1446	482	WP_263675186.1	OBi1_02319	62.368	473	178	0	16	488	8	480	0	639	aminoaldehyde dehydrogenase	1472	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter lari
EGK8097313.1	201	Campylobacter lari	37588	38580	+	AAWQBF010000008.1	GCA_014977145.1	993	331	WP_263675185.1	OBi1_02318	58.514	323	134	0	6	328	6	328	1.8e-145	423	aminohydrolase	0	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter lari
EGK8097315.1	201	Campylobacter lari	40135	42534	+	AAWQBF010000008.1	GCA_014977145.1	2400	800	WP_263663988.1	OBi1_02316	44.723	559	295	6	17	574	5	550	1.35e-168	509	hydroxylase	2547	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter lari
EGK8097314.1	201	Campylobacter lari	38590	40116	+	AAWQBF010000008.1	GCA_014977145.1	1527	509	WP_214135819.1	OBi1_02317	46.365	509	269	2	14	522	3	507	7.23e-170	500	permease	1002	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter lari
EBA02754.1	388401	Rhodobacteraceae bacterium HTCC2150	21652	23100	-	AAXZ01000006.1	GCA_000169395.1	1449	483	EBA02754.1	OBi1_02319	60.51	471	186	0	18	488	9	479	0	597	aminoaldehyde dehydrogenase	8943	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	NA	Rhodobacteraceae bacterium HTCC2150
EBA02753.1	388401	Rhodobacteraceae bacterium HTCC2150	20666	21652	-	AAXZ01000006.1	GCA_000169395.1	987	329	EBA02753.1	OBi1_02318	59.119	318	128	2	6	322	4	320	6.34e-136	399	aminohydrolase	9929	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	NA	Rhodobacteraceae bacterium HTCC2150
EBA02762.1	388401	Rhodobacteraceae bacterium HTCC2150	32298	32954	+	AAXZ01000006.1	GCA_000169395.1	657	219	EBA02762.1	SPO3188	31.081	222	134	5	2	210	3	218	4.96e-21	97.1	dehydrogenase	1703	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	NA	Rhodobacteraceae bacterium HTCC2150
EBA02761.1	388401	Rhodobacteraceae bacterium HTCC2150	30595	32301	+	AAXZ01000006.1	GCA_000169395.1	1707	569	EBA02761.1	OBi1_02316	41.058	548	313	6	19	560	14	557	1.31e-128	399	hydroxylase	0	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	NA	Rhodobacteraceae bacterium HTCC2150
EKN4603453.1	670	Vibrio parahaemolyticus	802396	803856	-	ABKTIF010000001.1	GCA_028843145.1	1461	487	WP_171330090.1	OBi1_02319	64.557	474	168	0	12	485	9	482	0	665	aminoaldehyde dehydrogenase	2770	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio parahaemolyticus
EKN4603452.1	670	Vibrio parahaemolyticus	801337	802326	-	ABKTIF010000001.1	GCA_028843145.1	990	330	WP_005595776.1	OBi1_02318	61.42	324	125	0	1	324	1	324	5.52e-153	442	aminohydrolase	1711	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio parahaemolyticus
EKN4603450.1	670	Vibrio parahaemolyticus	797788	799524	-	ABKTIF010000001.1	GCA_028843145.1	1737	579	WP_226420778.1	OBi1_02316	46.809	564	290	5	12	574	6	560	3.67e-175	518	hydroxylase	1838	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio parahaemolyticus
EKN4603451.1	670	Vibrio parahaemolyticus	799626	801227	-	ABKTIF010000001.1	GCA_028843145.1	1602	534	WP_045186583.1	OBi1_02317	50.096	521	254	3	2	522	20	534	6.49e-174	511	permease	0	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio parahaemolyticus
EKO3616180.1	28172	Vibrio metschnikovii	22854	23252	+	ABKWOD010000002.1	GCA_028989545.1	399	133	WP_045149362.1	OBi1_02314	67.769	121	39	0	3	123	8	128	2.17e-53	174	RidA	1998	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio metschnikovii
EKO3616182.1	28172	Vibrio metschnikovii	24852	25841	+	ABKWOD010000002.1	GCA_028989545.1	990	330	WP_005595776.1	OBi1_02318	61.42	324	125	0	1	324	1	324	5.52e-153	442	aminohydrolase	0	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio metschnikovii
EKO3616185.1	28172	Vibrio metschnikovii	29388	30119	+	ABKWOD010000002.1	GCA_028989545.1	732	244	WP_226420777.1	OBi1_02315	28.947	266	154	7	1	256	1	241	1.04e-10	71.2	dehydrogenase	4536	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio metschnikovii
EKO3616184.1	28172	Vibrio metschnikovii	27655	29391	+	ABKWOD010000002.1	GCA_028989545.1	1737	579	WP_226420778.1	OBi1_02316	46.809	564	290	5	12	574	6	560	3.67e-175	518	hydroxylase	2803	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio metschnikovii
EKO3782538.1	669	Vibrio harveyi	566895	567881	-	ABKWPT010000001.1	GCA_028990475.1	987	329	WP_005595776.1	OBi1_02318	61.42	324	125	0	1	324	1	324	5.52e-153	442	aminohydrolase	3571	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio harveyi
EKO3782535.1	669	Vibrio harveyi	562596	563327	-	ABKWPT010000001.1	GCA_028990475.1	732	244	WP_009696344.1	OBi1_02315	27.308	260	164	6	1	255	1	240	1.5e-11	73.6	dehydrogenase	728	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio harveyi
EKO3782536.1	669	Vibrio harveyi	563324	565063	-	ABKWPT010000001.1	GCA_028990475.1	1740	580	WP_123780292.1	OBi1_02316	45.936	566	293	7	12	574	6	561	6.48e-165	492	hydroxylase	0	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio harveyi
EKO3852951.1	669	Vibrio harveyi	11107	11505	-	ABKWQH010000029.1	GCA_028991335.1	399	133	WP_045149362.1	OBi1_02314	67.769	121	39	0	3	123	8	128	2.17e-53	174	RidA	6180	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio harveyi
EKO3852946.1	669	Vibrio harveyi	4199	4930	-	ABKWQH010000029.1	GCA_028991335.1	732	244	WP_009696344.1	OBi1_02315	27.308	260	164	6	1	255	1	240	1.5e-11	73.6	dehydrogenase	728	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio harveyi
EKO3852947.1	669	Vibrio harveyi	4927	6666	-	ABKWQH010000029.1	GCA_028991335.1	1740	580	WP_123780292.1	OBi1_02316	45.936	566	293	7	12	574	6	561	6.48e-165	492	hydroxylase	0	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio harveyi
EKT4466723.1	303	Pseudomonas putida	84631	86073	+	ABLONA010000010.1	GCA_029771945.1	1443	481	WP_012052756.1	OBi1_02319	71.458	487	131	1	1	487	1	479	0	712	aminoaldehyde dehydrogenase	2498	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas putida
EKT4466724.1	303	Pseudomonas putida	86088	87074	+	ABLONA010000010.1	GCA_029771945.1	987	329	WP_261943826.1	OBi1_02318	73.148	324	87	0	5	328	4	327	1.64e-179	509	aminohydrolase	1041	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas putida
EKT4466727.1	303	Pseudomonas putida	90403	91095	+	ABLONA010000010.1	GCA_029771945.1	693	231	WP_196156708.1	OBi1_02315	34.815	270	128	7	1	262	1	230	1.84e-39	147	dehydrogenase	3274	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas putida
EKT4466726.1	303	Pseudomonas putida	88706	90400	+	ABLONA010000010.1	GCA_029771945.1	1695	565	WP_084858900.1	OBi1_02316	58.094	556	228	2	19	574	11	561	0	609	hydroxylase	1577	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas putida
EKT4466725.1	303	Pseudomonas putida	87129	88679	+	ABLONA010000010.1	GCA_029771945.1	1551	517	WP_166570185.1	OBi1_02317	46.232	491	256	5	34	522	32	516	9.68e-138	418	permease	0	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas putida
ELI0632767.1	669	Vibrio harveyi	412704	413690	+	ABMYHK010000001.1	GCA_031987585.1	987	329	WP_005595776.1	OBi1_02318	61.42	324	125	0	1	324	1	324	5.52e-153	442	aminohydrolase	1101	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio harveyi
ELI0632769.1	669	Vibrio harveyi	415522	417261	+	ABMYHK010000001.1	GCA_031987585.1	1740	580	WP_123780292.1	OBi1_02316	45.936	566	293	7	12	574	6	561	6.48e-165	492	hydroxylase	1717	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio harveyi
ELI0632768.1	669	Vibrio harveyi	413805	415409	+	ABMYHK010000001.1	GCA_031987585.1	1605	535	WP_045186583.1	OBi1_02317	50.096	521	254	3	2	522	20	534	6.49e-174	511	permease	0	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio harveyi
ELV8724786.1	669	Vibrio harveyi	2943	4403	+	ABOURZ010000073.1	GCA_033631045.1	1461	487	WP_171330090.1	OBi1_02319	64.557	474	168	0	12	485	9	482	0	665	aminoaldehyde dehydrogenase	2629	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio harveyi
ELV8724790.1	669	Vibrio harveyi	9025	9756	+	ABOURZ010000073.1	GCA_033631045.1	732	244	WP_009696344.1	OBi1_02315	27.308	260	164	6	1	255	1	240	1.5e-11	73.6	dehydrogenase	3453	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio harveyi
ELV8724789.1	669	Vibrio harveyi	7289	9028	+	ABOURZ010000073.1	GCA_033631045.1	1740	580	WP_123780292.1	OBi1_02316	45.936	566	293	7	12	574	6	561	6.48e-165	492	hydroxylase	1717	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio harveyi
ELV8724788.1	669	Vibrio harveyi	5572	7176	+	ABOURZ010000073.1	GCA_033631045.1	1605	535	WP_045186583.1	OBi1_02317	50.096	521	254	3	2	522	20	534	6.49e-174	511	permease	0	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio harveyi
ELY1985817.1	669	Vibrio harveyi	958305	959765	-	ABPCUO010000001.1	GCA_033880325.1	1461	487	WP_005375790.1	OBi1_02319	64.979	474	166	0	12	485	9	482	0	659	aminoaldehyde dehydrogenase	1054	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio harveyi
ELY1985816.1	669	Vibrio harveyi	957251	958237	-	ABPCUO010000001.1	GCA_033880325.1	987	329	WP_005595776.1	OBi1_02318	61.42	324	125	0	1	324	1	324	5.52e-153	442	aminohydrolase	0	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio harveyi
ELY1985814.1	669	Vibrio harveyi	953680	955419	-	ABPCUO010000001.1	GCA_033880325.1	1740	580	WP_123780292.1	OBi1_02316	45.936	566	293	7	12	574	6	561	6.48e-165	492	hydroxylase	3571	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio harveyi
EME0092704.1	670	Vibrio parahaemolyticus	72456	73916	+	ABPWLB010000002.1	GCA_035883605.1	1461	487	WP_005375790.1	OBi1_02319	64.979	474	166	0	12	485	9	482	0	659	aminoaldehyde dehydrogenase	1530	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio parahaemolyticus
EME0092705.1	670	Vibrio parahaemolyticus	73986	74975	+	ABPWLB010000002.1	GCA_035883605.1	990	330	WP_005595776.1	OBi1_02318	61.42	324	125	0	1	324	1	324	5.52e-153	442	aminohydrolase	0	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio parahaemolyticus
EME0092707.1	670	Vibrio parahaemolyticus	76788	78524	+	ABPWLB010000002.1	GCA_035883605.1	1737	579	WP_226420778.1	OBi1_02316	46.809	564	290	5	12	574	6	560	3.67e-175	518	hydroxylase	2802	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio parahaemolyticus
EME0092706.1	670	Vibrio parahaemolyticus	75085	76686	+	ABPWLB010000002.1	GCA_035883605.1	1602	534	WP_172563867.1	OBi1_02317	49.038	520	259	3	3	522	20	533	6.39e-167	493	permease	1099	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio parahaemolyticus
ENC6709715.1	669	Vibrio harveyi	41424	41822	+	ABSNPA010000039.1	GCA_039890755.1	399	133	WP_077649249.1	OBi1_02314	70.833	120	35	0	3	122	8	127	9.34e-56	180	RidA	493	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio harveyi
ENC6709716.1	669	Vibrio harveyi	41917	43377	+	ABSNPA010000039.1	GCA_039890755.1	1461	487	WP_005375790.1	OBi1_02319	64.979	474	166	0	12	485	9	482	0	659	aminoaldehyde dehydrogenase	0	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio harveyi
ENC6709719.1	669	Vibrio harveyi	46263	48002	+	ABSNPA010000039.1	GCA_039890755.1	1740	580	WP_123780292.1	OBi1_02316	45.936	566	293	7	12	574	6	561	6.48e-165	492	hydroxylase	4346	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio harveyi
ENC6724257.1	669	Vibrio harveyi	11228	11626	-	ABSNPB010000072.1	GCA_039890875.1	399	133	WP_077649249.1	OBi1_02314	70.833	120	35	0	3	122	8	127	9.34e-56	180	RidA	1555	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio harveyi
ENC6724256.1	669	Vibrio harveyi	9673	11133	-	ABSNPB010000072.1	GCA_039890875.1	1461	487	WP_005375790.1	OBi1_02319	64.979	474	166	0	12	485	9	482	0	659	aminoaldehyde dehydrogenase	0	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio harveyi
ENC6724252.1	669	Vibrio harveyi	4320	5051	-	ABSNPB010000072.1	GCA_039890875.1	732	244	WP_009696344.1	OBi1_02315	27.308	260	164	6	1	255	1	240	1.5e-11	73.6	dehydrogenase	5353	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio harveyi
ENG7519924.1	669	Vibrio harveyi	11722	13182	-	ABTBDZ010000014.1	GCA_040287045.1	1461	487	WP_005375790.1	OBi1_02319	64.979	474	166	0	12	485	9	482	0	659	aminoaldehyde dehydrogenase	2773	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio harveyi
ENG7519921.1	669	Vibrio harveyi	7097	8836	-	ABTBDZ010000014.1	GCA_040287045.1	1740	580	WP_123780292.1	OBi1_02316	45.936	566	293	7	12	574	6	561	6.48e-165	492	hydroxylase	1852	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio harveyi
ENG7519922.1	669	Vibrio harveyi	8949	10553	-	ABTBDZ010000014.1	GCA_040287045.1	1605	535	WP_045186583.1	OBi1_02317	50.096	521	254	3	2	522	20	534	6.49e-174	511	permease	0	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio harveyi
EEZ81634.1	674977	Vibrio alginolyticus 40B	60555	62063	-	ACZB01000082.1	GCA_000176055.1	1509	503	WP_182033563.1	OBi1_02319	64.768	474	167	0	12	485	9	482	0	657	aminoaldehyde dehydrogenase	4608	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio alginolyticus
EEZ81630.1	674977	Vibrio alginolyticus 40B	55252	55950	-	ACZB01000082.1	GCA_000176055.1	699	233	EEZ81630.1	OBi1_02315	31.618	136	92	1	1	136	1	135	5.19e-05	55.1	dehydrogenase	695	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio alginolyticus
EEZ81631.1	674977	Vibrio alginolyticus 40B	55947	57683	-	ACZB01000082.1	GCA_000176055.1	1737	579	WP_226420778.1	OBi1_02316	46.809	564	290	5	12	574	6	560	3.67e-175	518	hydroxylase	0	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio alginolyticus
ELY61971.1	1227498	Natronococcus jeotgali DSM 18795	3039	3350	-	AOIA01000078.1	GCA_000337695.1	312	104	ELY61971.1	OBi1_02314	29.885	87	60	1	23	108	4	90	1.98e-08	58.9	RidA	8119	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Natrialbaceae	Natronococcus	Natronococcus jeotgali
ELY61978.1	1227498	Natronococcus jeotgali DSM 18795	11158	12573	-	AOIA01000078.1	GCA_000337695.1	1416	472	WP_049892878.1	OBi1_02319	39.789	475	282	3	14	485	5	478	7.35e-100	318	aminoaldehyde dehydrogenase	0	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Natrialbaceae	Natronococcus	Natronococcus jeotgali
ELY61980.1	1227498	Natronococcus jeotgali DSM 18795	14775	15806	+	AOIA01000078.1	GCA_000337695.1	1032	344	WP_049892879.1	OBi1_02318	29.56	318	205	8	19	324	67	377	1.8e-31	132	aminohydrolase	3617	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Natrialbaceae	Natronococcus	Natronococcus jeotgali
BBU31378.1	758782	Burkholderia sp. THE68	1013243	1013683	+	AP022317.1	GCA_009938265.1	441	147	WP_187603393.1	OBi1_02314	54.63	108	49	0	16	123	29	136	1.1e-34	127	RidA	5029	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia sp. THE68
