Assembly_Accession,Accession,Genome_Size_bp
GCA_015800895.1,GCA_015800895.1,5253809
GCA_015800095.1,GCA_015800095.1,5248973
GCA_015801115.1,GCA_015801115.1,5238714
GCA_015801775.1,GCA_015801775.1,5303070
GCA_015801755.1,GCA_015801755.1,5259236
GCA_015804475.1,GCA_015804475.1,5574668
GCA_015804555.1,GCA_015804555.1,5120976
GCA_015804575.1,GCA_015804575.1,5146366
GCA_015805015.1,GCA_015805015.1,5131276
GCA_015803955.1,GCA_015803955.1,5513976
GCA_015804375.1,GCA_015804375.1,6105993
GCA_015803975.1,GCA_015803975.1,5361644
GCA_015805275.1,GCA_015805275.1,5273339
GCA_015805255.1,GCA_015805255.1,5178357
GCA_015805225.1,GCA_015805225.1,5171404
GCA_015805325.1,GCA_015805325.1,5392777
GCA_015808735.1,GCA_015808735.1,5163696
GCA_015808635.1,GCA_015808635.1,5200606
GCA_015808995.1,GCA_015808995.1,5286208
GCA_015808535.1,GCA_015808535.1,5189800
GCA_015808545.2,GCA_015808545.2,5216702
GCA_015807495.2,GCA_015807495.2,5429916
GCA_015807475.2,GCA_015807475.2,5396887
GCA_015807765.2,GCA_015807765.2,5609350
GCA_015807855.2,GCA_015807855.2,5139182
GCA_015809195.2,GCA_015809195.2,5332756
GCA_015807835.2,GCA_015807835.2,5163193
GCA_015811755.2,GCA_015811755.2,5197498
GCA_015811705.2,GCA_015811705.2,5249141
GCA_015812205.2,GCA_015812205.2,5414628
GCA_015812185.2,GCA_015812185.2,5266989
GCA_015813955.2,GCA_015813955.2,5265112
GCA_015813585.2,GCA_015813585.2,5244642
GCA_015813125.2,GCA_015813125.2,5150581
GCA_015813305.2,GCA_015813305.2,5297720
GCA_015813365.2,GCA_015813365.2,5380892
GCA_015813545.2,GCA_015813545.2,5261178
GCA_015813845.2,GCA_015813845.2,5263565
GCA_015814365.2,GCA_015814365.2,5462460
GCA_015814345.2,GCA_015814345.2,5239423
GCA_015817535.2,GCA_015817535.2,5561876
GCA_015817635.2,GCA_015817635.2,5290217
GCA_015818695.2,GCA_015818695.2,5289734
GCA_015908385.1,GCA_015908385.1,5213526
GCA_000169375.1,GCA_000169375.1,4894744
GCA_016226825.1,GCA_016226825.1,5196814
GCA_000169455.1,GCA_000169455.1,4555826
GCA_016306225.2,GCA_016306225.2,5427065
GCA_016414945.1,GCA_016414945.1,5155015
GCA_016611205.1,GCA_016611205.1,5398147
GCA_016611265.1,GCA_016611265.1,5303853
GCA_016611285.1,GCA_016611285.1,5268483
GCA_016611145.1,GCA_016611145.1,5534783
GCA_016617735.1,GCA_016617735.1,5453028
GCA_017108545.1,GCA_017108545.1,5526692
GCA_017110005.1,GCA_017110005.1,5609618
GCA_017603365.1,GCA_017603365.1,5123093
GCA_017806335.1,GCA_017806335.1,5377884
GCA_017968105.1,GCA_017968105.1,5523237
GCA_017968125.1,GCA_017968125.1,5469556
GCA_018017315.1,GCA_018017315.1,5257092
GCA_018017235.1,GCA_018017235.1,5342156
GCA_018036385.1,GCA_018036385.1,5696653
GCA_018081105.1,GCA_018081105.1,5285784
GCA_018084325.1,GCA_018084325.1,5312891
GCA_018085285.1,GCA_018085285.1,5462500
GCA_018620435.1,GCA_018620435.1,5193257
GCA_018992305.1,GCA_018992305.1,5403673
GCA_018992345.1,GCA_018992345.1,5674379
GCA_018998335.1,GCA_018998335.1,5587460
GCA_019000345.1,GCA_019000345.1,5355383
GCA_019062345.1,GCA_019062345.1,5288507
GCA_019065025.1,GCA_019065025.1,5621249
GCA_019065545.1,GCA_019065545.1,5755509
GCA_019290435.1,GCA_019290435.1,4999002
GCA_019291845.1,GCA_019291845.1,5214743
GCA_019438005.1,GCA_019438005.1,5279689
GCA_019681575.1,GCA_019681575.1,5398120
GCA_019682655.1,GCA_019682655.1,5968031
GCA_019759015.1,GCA_019759015.1,5402749
GCA_019764355.1,GCA_019764355.1,5465319
GCA_019773555.1,GCA_019773555.1,5158429
GCA_000181535.1,GCA_000181535.1,5701826
GCA_000170775.1,GCA_000170775.1,4209812
GCA_020005575.1,GCA_020005575.1,5263458
GCA_020006825.1,GCA_020006825.1,5615229
GCA_020087115.1,GCA_020087115.1,5554012
GCA_000170855.1,GCA_000170855.1,5223088
GCA_000170875.1,GCA_000170875.1,4178704
GCA_020190725.1,GCA_020190725.1,5550860
GCA_020238505.1,GCA_020238505.1,5230733
GCA_020239005.1,GCA_020239005.1,5587853
GCA_020407245.1,GCA_020407245.1,5537322
GCA_020409985.1,GCA_020409985.1,5704361
GCA_020412005.1,GCA_020412005.1,5432682
GCA_020412765.1,GCA_020412765.1,5287450
GCA_020450425.1,GCA_020450425.1,5448080
GCA_020509945.1,GCA_020509945.1,5313140
GCA_020511135.1,GCA_020511135.1,5539883
GCA_020586455.1,GCA_020586455.1,5579823
GCA_020688565.1,GCA_020688565.1,5334793
GCA_020730205.1,GCA_020730205.1,5339429
GCA_020965535.1,GCA_020965535.1,5369561
GCA_020966945.1,GCA_020966945.1,5369875
GCA_020966935.1,GCA_020966935.1,5272990
GCA_020970115.1,GCA_020970115.1,5421281
GCA_021004835.1,GCA_021004835.1,5228198
GCA_021014255.1,GCA_021014255.1,5522199
GCA_021537575.1,GCA_021537575.1,5582378
GCA_021703875.1,GCA_021703875.1,5366973
GCA_021703975.1,GCA_021703975.1,5489263
GCA_021763205.1,GCA_021763205.1,5727502
GCA_021763705.1,GCA_021763705.1,5487406
GCA_022020495.1,GCA_022020495.1,5213468
GCA_022020555.1,GCA_022020555.1,5470205
GCA_022020635.1,GCA_022020635.1,5520475
GCA_022523965.1,GCA_022523965.1,5162127
GCA_022611635.1,GCA_022611635.1,5308446
GCA_022902595.1,GCA_022902595.1,5224133
GCA_022927745.1,GCA_022927745.1,5626013
GCA_022927965.1,GCA_022927965.1,5203949
GCA_022928005.1,GCA_022928005.1,5050465
GCA_023079665.1,GCA_023079665.1,5233695
GCA_023079645.1,GCA_023079645.1,5506842
GCA_023079865.1,GCA_023079865.1,5354992
GCA_023079925.1,GCA_023079925.1,5254487
GCA_023079985.1,GCA_023079985.1,5428459
GCA_023080475.1,GCA_023080475.1,5421476
GCA_023080495.1,GCA_023080495.1,5355545
GCA_023081165.1,GCA_023081165.1,5584569
GCA_023081265.1,GCA_023081265.1,5459623
GCA_023081535.1,GCA_023081535.1,5627916
GCA_023081555.1,GCA_023081555.1,5531117
GCA_023081595.1,GCA_023081595.1,5796048
GCA_023081775.1,GCA_023081775.1,5353090
GCA_023081815.1,GCA_023081815.1,5488777
GCA_023081875.1,GCA_023081875.1,5357793
GCA_023081955.1,GCA_023081955.1,5701268
GCA_023081935.1,GCA_023081935.1,5479547
GCA_023182635.1,GCA_023182635.1,5477055
GCA_023182535.1,GCA_023182535.1,5754908
GCA_023306405.1,GCA_023306405.1,5325641
GCA_023313035.1,GCA_023313035.1,5522818
GCA_023319645.1,GCA_023319645.1,5569024
GCA_023350495.1,GCA_023350495.1,5356568
GCA_023352375.1,GCA_023352375.1,5344879
GCA_023464935.1,GCA_023464935.1,5420202
GCA_023662325.1,GCA_023662325.1,5082354
GCA_000171815.1,GCA_000171815.1,4255798
GCA_024216415.1,GCA_024216415.1,5313209
GCA_024218215.1,GCA_024218215.1,5210542
GCA_024218255.1,GCA_024218255.1,5468869
GCA_024218315.1,GCA_024218315.1,5520684
GCA_024218335.1,GCA_024218335.1,5135573
GCA_024218545.1,GCA_024218545.1,5266504
GCA_024218575.1,GCA_024218575.1,5488385
GCA_024219115.1,GCA_024219115.1,5285764
GCA_024219455.1,GCA_024219455.1,5273361
GCA_024257865.1,GCA_024257865.1,5521716
GCA_024445495.1,GCA_024445495.1,5500818
GCA_024450025.1,GCA_024450025.1,5338045
GCA_024528385.1,GCA_024528385.1,5163583
GCA_024870365.1,GCA_024870365.1,5680615
GCA_024936205.1,GCA_024936205.1,5452472
GCA_024936445.1,GCA_024936445.1,5433742
GCA_024954865.1,GCA_024954865.1,5664757
GCA_024963865.1,GCA_024963865.1,5641261
GCA_025011685.1,GCA_025011685.1,5147624
GCA_025023865.1,GCA_025023865.1,5198179
GCA_025032415.1,GCA_025032415.1,5350878
GCA_025224335.1,GCA_025224335.1,5390119
GCA_025226395.1,GCA_025226395.1,5517488
GCA_025230395.1,GCA_025230395.1,5158488
GCA_025319425.1,GCA_025319425.1,5376449
GCA_025320405.1,GCA_025320405.1,5359468
GCA_025530395.1,GCA_025530395.1,5331954
GCA_025530725.1,GCA_025530725.1,5202541
GCA_025540795.1,GCA_025540795.1,5321009
GCA_025826615.1,GCA_025826615.1,5363305
GCA_025840545.1,GCA_025840545.1,5197077
GCA_025859175.1,GCA_025859175.1,5695067
GCA_025870885.1,GCA_025870885.1,5047698
GCA_025870985.1,GCA_025870985.1,5415810
GCA_026169935.1,GCA_026169935.1,5365335
GCA_026877505.1,GCA_026877505.1,5021395
GCA_027100495.1,GCA_027100495.1,5673498
GCA_028192765.1,GCA_028192765.1,5375796
GCA_028562615.1,GCA_028562615.1,5815650
GCA_028562575.1,GCA_028562575.1,5749076
GCA_028612155.1,GCA_028612155.1,5389992
GCA_028843105.1,GCA_028843105.1,5620135
GCA_028843145.1,GCA_028843145.1,5221323
GCA_028845805.1,GCA_028845805.1,5822269
GCA_028989465.1,GCA_028989465.1,3684163
GCA_028989545.1,GCA_028989545.1,4084939
GCA_028989625.1,GCA_028989625.1,3867575
GCA_028989705.1,GCA_028989705.1,3942944
GCA_028989905.1,GCA_028989905.1,3862511
GCA_028990195.1,GCA_028990195.1,3720988
GCA_028990475.1,GCA_028990475.1,5759993
GCA_028990595.1,GCA_028990595.1,3871714
GCA_028990835.1,GCA_028990835.1,5885262
GCA_028990855.1,GCA_028990855.1,5895353
GCA_028990875.1,GCA_028990875.1,5768864
GCA_028990935.1,GCA_028990935.1,5840112
GCA_028990895.1,GCA_028990895.1,5781150
GCA_028990915.1,GCA_028990915.1,5890917
GCA_028990975.1,GCA_028990975.1,6007480
GCA_028990955.1,GCA_028990955.1,6001789
GCA_028990995.1,GCA_028990995.1,5732618
GCA_028991015.1,GCA_028991015.1,6034823
GCA_028991335.1,GCA_028991335.1,5732765
GCA_028991515.1,GCA_028991515.1,6046986
GCA_028991555.1,GCA_028991555.1,5762336
GCA_028991615.1,GCA_028991615.1,6021265
GCA_029228015.1,GCA_029228015.1,5557498
GCA_029373685.1,GCA_029373685.1,5760413
GCA_029771885.1,GCA_029771885.1,6095875
GCA_029771945.1,GCA_029771945.1,5140414
GCA_029771905.1,GCA_029771905.1,5696303
GCA_029771965.1,GCA_029771965.1,5696880
GCA_029771925.1,GCA_029771925.1,6217699
GCA_029772005.1,GCA_029772005.1,6262508
GCA_029772045.1,GCA_029772045.1,5661526
GCA_029772025.1,GCA_029772025.1,6094267
GCA_029772065.1,GCA_029772065.1,6193676
GCA_029772105.1,GCA_029772105.1,5760640
GCA_029772165.1,GCA_029772165.1,6535277
GCA_029772445.1,GCA_029772445.1,6140080
GCA_029772425.1,GCA_029772425.1,5907351
GCA_029772465.1,GCA_029772465.1,6248694
GCA_030221725.1,GCA_030221725.1,5720254
GCA_030872145.1,GCA_030872145.1,5950899
GCA_030872135.1,GCA_030872135.1,5563768
GCA_030872175.1,GCA_030872175.1,5399395
GCA_030890565.1,GCA_030890565.1,5538414
GCA_031028925.1,GCA_031028925.1,5289403
GCA_031030785.1,GCA_031030785.1,5552198
GCA_031097315.1,GCA_031097315.1,5558111
GCA_031097295.1,GCA_031097295.1,5556305
GCA_031097335.1,GCA_031097335.1,5440561
GCA_031097415.1,GCA_031097415.1,5263783
GCA_031097475.1,GCA_031097475.1,5658144
GCA_031097535.1,GCA_031097535.1,5430098
GCA_031098075.1,GCA_031098075.1,5327293
GCA_031098135.1,GCA_031098135.1,5247596
GCA_031098155.1,GCA_031098155.1,5421136
GCA_031100815.1,GCA_031100815.1,5247457
GCA_031100995.1,GCA_031100995.1,5247607
GCA_031101695.1,GCA_031101695.1,5389186
GCA_031101715.1,GCA_031101715.1,5183165
GCA_031101735.1,GCA_031101735.1,5715956
GCA_031101755.1,GCA_031101755.1,5358253
GCA_031101975.1,GCA_031101975.1,5457223
GCA_031103565.1,GCA_031103565.1,5465869
GCA_031105645.1,GCA_031105645.1,5519962
GCA_031105685.1,GCA_031105685.1,5383571
GCA_031106375.1,GCA_031106375.1,5387039
GCA_031106425.1,GCA_031106425.1,5232600
GCA_031106635.1,GCA_031106635.1,5426286
GCA_031107775.1,GCA_031107775.1,5433571
GCA_031107955.1,GCA_031107955.1,5741013
GCA_031108075.1,GCA_031108075.1,5589943
GCA_031108135.1,GCA_031108135.1,5857143
GCA_031108285.1,GCA_031108285.1,5944754
GCA_031108435.1,GCA_031108435.1,5709401
GCA_031109125.1,GCA_031109125.1,5194415
GCA_031109155.1,GCA_031109155.1,5690715
GCA_031109215.1,GCA_031109215.1,5376571
GCA_031109235.1,GCA_031109235.1,5103510
GCA_031110365.1,GCA_031110365.1,5528390
GCA_031114635.1,GCA_031114635.1,5307548
GCA_031115395.1,GCA_031115395.1,5665596
GCA_031115635.1,GCA_031115635.1,5384173
GCA_031115905.1,GCA_031115905.1,5335137
GCA_031116945.1,GCA_031116945.1,5152213
GCA_031116925.1,GCA_031116925.1,5245845
GCA_031117125.1,GCA_031117125.1,5233322
GCA_031129075.1,GCA_031129075.1,5467722
GCA_031129115.1,GCA_031129115.1,5304349
GCA_031130425.1,GCA_031130425.1,5626107
GCA_031131045.1,GCA_031131045.1,5113897
GCA_031131065.1,GCA_031131065.1,5192411
GCA_031138675.1,GCA_031138675.1,5389672
GCA_031141465.1,GCA_031141465.1,5652779
GCA_031141505.1,GCA_031141505.1,5684434
GCA_031142405.1,GCA_031142405.1,5622586
GCA_031142385.1,GCA_031142385.1,5573753
GCA_031146245.1,GCA_031146245.1,5337838
GCA_031146465.1,GCA_031146465.1,5671684
GCA_031146385.1,GCA_031146385.1,5499039
GCA_031146585.1,GCA_031146585.1,5299872
GCA_031146605.1,GCA_031146605.1,5582763
GCA_031146655.1,GCA_031146655.1,5538933
GCA_031146725.1,GCA_031146725.1,5428713
GCA_031146805.1,GCA_031146805.1,5550440
GCA_031146855.1,GCA_031146855.1,5265524
GCA_031147015.1,GCA_031147015.1,5265615
GCA_031147095.1,GCA_031147095.1,5769532
GCA_031147075.1,GCA_031147075.1,5820426
GCA_031147285.1,GCA_031147285.1,5885839
GCA_031147305.1,GCA_031147305.1,5676938
GCA_031147455.1,GCA_031147455.1,5675601
GCA_031147475.1,GCA_031147475.1,5474335
GCA_031147505.1,GCA_031147505.1,5722674
GCA_031147555.1,GCA_031147555.1,5687175
GCA_031148695.1,GCA_031148695.1,5608151
GCA_031148655.1,GCA_031148655.1,5561773
GCA_031148985.1,GCA_031148985.1,5517874
GCA_031149005.1,GCA_031149005.1,5722633
GCA_031149305.1,GCA_031149305.1,5309274
GCA_031152815.1,GCA_031152815.1,5128946
GCA_031152875.1,GCA_031152875.1,5451685
GCA_031152935.1,GCA_031152935.1,5130940
GCA_031152955.1,GCA_031152955.1,5285476
GCA_031152995.1,GCA_031152995.1,5210729
GCA_031153035.1,GCA_031153035.1,5167622
GCA_031153015.1,GCA_031153015.1,5036865
GCA_031152975.1,GCA_031152975.1,5508395
GCA_031153055.1,GCA_031153055.1,5426290
GCA_031153115.1,GCA_031153115.1,5282522
GCA_031153155.1,GCA_031153155.1,5751078
GCA_031153195.1,GCA_031153195.1,5225224
GCA_031153135.1,GCA_031153135.1,5265442
GCA_031153175.1,GCA_031153175.1,5138179
GCA_031153215.1,GCA_031153215.1,5285330
GCA_031153235.1,GCA_031153235.1,5245737
GCA_031153275.1,GCA_031153275.1,5247407
GCA_031153295.1,GCA_031153295.1,5190816
GCA_031153315.1,GCA_031153315.1,5043560
GCA_031153335.1,GCA_031153335.1,5161890
GCA_031153355.1,GCA_031153355.1,5229115
GCA_031153415.1,GCA_031153415.1,5075590
GCA_031153395.1,GCA_031153395.1,5509131
GCA_031153375.1,GCA_031153375.1,5275829
GCA_031153435.1,GCA_031153435.1,5421432
GCA_031153535.1,GCA_031153535.1,5274263
GCA_031153475.1,GCA_031153475.1,5410562
GCA_031153515.1,GCA_031153515.1,5365417
GCA_031153635.1,GCA_031153635.1,5363593
GCA_031153945.1,GCA_031153945.1,5144168
GCA_031153615.1,GCA_031153615.1,5183542
GCA_031153695.1,GCA_031153695.1,5568297
GCA_031153735.1,GCA_031153735.1,5070857
GCA_031153775.1,GCA_031153775.1,5195418
GCA_031242725.1,GCA_031242725.1,5619667
GCA_031308725.1,GCA_031308725.1,5327186
GCA_031340795.1,GCA_031340795.1,5761792
GCA_031438205.1,GCA_031438205.1,5169362
GCA_031438305.1,GCA_031438305.1,5690311
GCA_031588895.1,GCA_031588895.1,5620038
GCA_031588935.1,GCA_031588935.1,5384891
GCA_031592675.1,GCA_031592675.1,5814100
GCA_031661335.1,GCA_031661335.1,5232422
GCA_031668255.1,GCA_031668255.1,7023270
GCA_031906545.1,GCA_031906545.1,5807727
GCA_031936225.1,GCA_031936225.1,5868554
GCA_031960765.1,GCA_031960765.1,5515208
GCA_031987585.1,GCA_031987585.1,5961177
GCA_032008925.1,GCA_032008925.1,5449776
GCA_032011205.1,GCA_032011205.1,5699878
GCA_032077985.1,GCA_032077985.1,5225623
GCA_032094935.1,GCA_032094935.1,6118670
GCA_032285125.1,GCA_032285125.1,5276147
GCA_032342055.1,GCA_032342055.1,5665027
GCA_032347015.1,GCA_032347015.1,5655884
GCA_032616435.1,GCA_032616435.1,5255617
GCA_032616515.1,GCA_032616515.1,5308913
GCA_032616715.1,GCA_032616715.1,5162315
GCA_032763465.1,GCA_032763465.1,5498330
GCA_032796885.1,GCA_032796885.1,5602966
GCA_032980985.1,GCA_032980985.1,5400942
GCA_032997565.1,GCA_032997565.1,7108703
GCA_033029325.1,GCA_033029325.1,5390549
GCA_033448725.1,GCA_033448725.1,5422921
GCA_033451785.1,GCA_033451785.1,5244851
GCA_033631045.1,GCA_033631045.1,5670728
GCA_033631215.1,GCA_033631215.1,5668333
GCA_033652825.1,GCA_033652825.1,5631628
GCA_033849575.1,GCA_033849575.1,5438506
GCA_033880325.1,GCA_033880325.1,6243310
GCA_034032935.1,GCA_034032935.1,5777809
GCA_034295535.1,GCA_034295535.1,5133691
GCA_034418995.1,GCA_034418995.1,5540662
GCA_034571735.1,GCA_034571735.1,5395422
GCA_034571775.1,GCA_034571775.1,5338219
GCA_034571795.1,GCA_034571795.1,5778563
GCA_034704955.1,GCA_034704955.1,5400746
GCA_035082805.1,GCA_035082805.1,5495201
GCA_035428865.1,GCA_035428865.1,5950872
GCA_035443535.1,GCA_035443535.1,5757102
GCA_035883605.1,GCA_035883605.1,5388119
GCA_035922165.1,GCA_035922165.1,5510625
GCA_035922245.1,GCA_035922245.1,5460863
GCA_036180485.1,GCA_036180485.1,5551487
GCA_036424195.1,GCA_036424195.1,5344512
GCA_036450195.1,GCA_036450195.1,5290343
GCA_036468775.1,GCA_036468775.1,5626914
GCA_039648755.1,GCA_039648755.1,5594691
GCA_039731045.1,GCA_039731045.1,5547269
GCA_039731145.1,GCA_039731145.1,5406311
GCA_039890755.1,GCA_039890755.1,5696828
GCA_039890875.1,GCA_039890875.1,5755166
GCA_039960435.1,GCA_039960435.1,5436588
GCA_040070415.1,GCA_040070415.1,5595859
GCA_040089985.1,GCA_040089985.1,5460967
GCA_040270805.1,GCA_040270805.1,5273456
GCA_040287045.1,GCA_040287045.1,5784736
GCA_040304545.1,GCA_040304545.1,5505880
GCA_040304625.1,GCA_040304625.1,5608077
GCA_040330475.1,GCA_040330475.1,5446112
GCA_040337775.1,GCA_040337775.1,5394840
GCA_040339035.1,GCA_040339035.1,5323103
GCA_040389705.1,GCA_040389705.1,5538034
GCA_040521985.1,GCA_040521985.1,5606316
GCA_040571175.1,GCA_040571175.1,5297951
GCA_040737285.1,GCA_040737285.1,5190484
GCA_040737685.1,GCA_040737685.1,5302692
GCA_040737705.1,GCA_040737705.1,5610792
GCA_040737725.1,GCA_040737725.1,5464146
GCA_040737665.1,GCA_040737665.1,5686873
GCA_040738605.1,GCA_040738605.1,5437279
GCA_040738585.1,GCA_040738585.1,5538149
GCA_040738645.1,GCA_040738645.1,5245239
GCA_040738615.1,GCA_040738615.1,5435460
GCA_040741565.1,GCA_040741565.1,5178928
GCA_040744345.1,GCA_040744345.1,5195305
GCA_040744315.1,GCA_040744315.1,5604567
GCA_040744385.1,GCA_040744385.1,5457890
GCA_040744365.1,GCA_040744365.1,5852399
GCA_040744405.1,GCA_040744405.1,5417326
GCA_040744425.1,GCA_040744425.1,5468149
GCA_040959905.1,GCA_040959905.1,5336382
GCA_040960335.1,GCA_040960335.1,5324970
GCA_041018445.1,GCA_041018445.1,5935456
GCA_041019385.1,GCA_041019385.1,5671022
GCA_041056585.1,GCA_041056585.1,5300632
GCA_041083325.1,GCA_041083325.1,5534550
GCA_041265745.1,GCA_041265745.1,5415753
GCA_041267945.1,GCA_041267945.1,5531917
GCA_041268005.1,GCA_041268005.1,5455924
GCA_041268185.1,GCA_041268185.1,5321617
GCA_041269605.1,GCA_041269605.1,5181846
GCA_041314325.1,GCA_041314325.1,5925601
GCA_041317895.1,GCA_041317895.1,5132109
GCA_041436615.1,GCA_041436615.1,5619976
GCA_041437575.1,GCA_041437575.1,5791702
GCA_041444805.1,GCA_041444805.1,5378764
GCA_041444825.1,GCA_041444825.1,5420167
GCA_041444925.1,GCA_041444925.1,5904478
GCA_041444945.1,GCA_041444945.1,5438185
GCA_041445045.1,GCA_041445045.1,5164161
GCA_041445125.1,GCA_041445125.1,5399086
GCA_041445085.1,GCA_041445085.1,5189945
GCA_041445325.1,GCA_041445325.1,5548160
GCA_041445415.1,GCA_041445415.1,5289080
GCA_041554655.1,GCA_041554655.1,5468006
GCA_041630695.1,GCA_041630695.1,5820549
GCA_042168005.1,GCA_042168005.1,5231780
GCA_042244995.1,GCA_042244995.1,5254570
GCA_042278105.1,GCA_042278105.1,5134228
GCA_042312135.1,GCA_042312135.1,5115194
GCA_042312295.1,GCA_042312295.1,5745110
GCA_042312315.1,GCA_042312315.1,5901913
GCA_042312375.1,GCA_042312375.1,5419105
GCA_042312355.1,GCA_042312355.1,5660821
GCA_042312395.1,GCA_042312395.1,5570314
GCA_042312435.1,GCA_042312435.1,5606635
GCA_042312415.1,GCA_042312415.1,5590244
GCA_042312475.1,GCA_042312475.1,5254549
GCA_042312495.1,GCA_042312495.1,5598430
GCA_042312515.1,GCA_042312515.1,5377462
GCA_042312535.1,GCA_042312535.1,5729496
GCA_042312635.1,GCA_042312635.1,5302433
GCA_042332415.1,GCA_042332415.1,5219770
GCA_042688825.1,GCA_042688825.1,5403919
GCA_042697475.1,GCA_042697475.1,5314090
GCA_042720055.1,GCA_042720055.1,5725896
GCA_044468725.1,GCA_044468725.1,6216250
GCA_044469945.1,GCA_044469945.1,6136537
GCA_045547515.1,GCA_045547515.1,6037281
GCA_045547525.1,GCA_045547525.1,6068917
GCA_046530475.1,GCA_046530475.1,5107321
GCA_048057275.1,GCA_048057275.1,5438048
GCA_048225635.1,GCA_048225635.1,5797113
GCA_048693175.1,GCA_048693175.1,5267103
GCA_048693395.1,GCA_048693395.1,5505537
GCA_048872065.1,GCA_048872065.1,5220239
GCA_048992995.1,GCA_048992995.1,5118274
GCA_048993915.1,GCA_048993915.1,5171800
GCA_000176055.1,GCA_000176055.1,5144683
GCA_000176135.1,GCA_000176135.1,5680628
GCA_000176235.1,GCA_000176235.1,4698244
GCA_000007565.2,GCA_000007565.2,6181873
GCA_000165125.2,GCA_000165125.2,4410536
GCA_000189275.2,GCA_000189275.2,4904906
GCA_000203975.3,GCA_000203975.3,4587644
GCA_000222565.2,GCA_000222565.2,4410660
GCA_000222585.2,GCA_000222585.2,4854288
GCA_000222605.2,GCA_000222605.2,4641086
GCA_000222645.2,GCA_000222645.2,4653015
GCA_000222665.2,GCA_000222665.2,5467464
GCA_000222685.2,GCA_000222685.2,6113582
GCA_000238815.2,GCA_000238815.2,2458945
GCA_000227505.4,GCA_000227505.4,2736988
GCA_000259295.1,GCA_000259295.1,5328293
GCA_000259935.1,GCA_000259935.1,5827413
GCA_000247005.2,GCA_000247005.2,5229607
GCA_000256095.3,GCA_000256095.3,5154800
GCA_000256115.3,GCA_000256115.3,5292989
GCA_000256135.2,GCA_000256135.2,5276659
GCA_000256165.3,GCA_000256165.3,5447498
GCA_000256185.2,GCA_000256185.2,5056222
GCA_000256205.2,GCA_000256205.2,5001944
GCA_000256605.2,GCA_000256605.2,5191142
GCA_000256285.2,GCA_000256285.2,4900035
GCA_000256305.2,GCA_000256305.2,5033552
GCA_000256325.2,GCA_000256325.2,4910949
GCA_000256345.2,GCA_000256345.2,4917290
GCA_000256365.2,GCA_000256365.2,4872233
GCA_000256385.2,GCA_000256385.2,5051453
