dataset,taxon_id,assembly_accession,isolation_source,geo_loc_name,env_broad_scale,env_local_scale,env_medium,geographic location (latitude),geographic location (longitude),lat_lon,geographic location (region and locality)
9,104087,GCF_000802155.2,soil,Kuwait,desert,,,NA,NA,,NA
9,104087,GCF_001874645.1,glacial stream,India: West Sikkim,glacial stream,,,NA,NA,27.34 N 88.05999999 E,NA
9,104087,GCF_001952935.1,arsenic-contaminated soil,"South Korea: Gwangju, Kyunggi-Do",arsenic-contaminated soil,arsenic-contaminated soil,soil,NA,NA,37.41 N 127.25722 E,NA
9,104087,GCF_002355315.1,soil,South Korea,reclaimed land,Farming soil,Soil,NA,NA,36.40 N 126.26 E,NA
9,104087,GCF_002967995.1,soil,China,,,,NA,NA,,NA
9,104087,GCF_003732245.1,Missouri Soil,USA,,,,NA,NA,,NA
9,104087,GCF_003732275.1,Wyoming Soil,USA,,,,NA,NA,,NA
9,104087,GCF_003732325.1,Wyoming Soil,USA,,,,NA,NA,,NA
9,104087,GCF_003732665.1,Wyoming Soil,USA,,,,NA,NA,,NA
9,104087,GCF_003732705.1,Wyoming Soil,USA,,,,NA,NA,,NA
9,104087,GCF_010588365.1,ginseng seedlings,South Korea: Eumseong,,,,NA,NA,,NA
9,104087,GCF_017114915.1,soil,China:Zhejiang,,,,NA,NA,,NA
9,104087,GCF_031457435.1,missing,USA: Nebraska,missing,missing,missing,NA,NA,41.1613 N 96.4243 W,NA
9,104087,GCF_035751725.1,,China:Qingdao,Root associated enviroment,plant root,plant root,NA,NA,36.09 N 120.38 E,NA
9,104087,GCF_040201675.1,,Italy:Pavia,agricultural soil (ENVO:00002259),maize field (ENVO:01000348),rhizosphere (ENVO:00005801),NA,NA,45.137293 N 8.776014 E,NA
9,104087,GCF_900105495.1,,missing,missing,missing,missing,NA,NA,missing,NA
10,1040986,GCA_000427725.1,NA,South Africa,NA,NA,NA,NA,NA,33.68 S 18.69 E,NA
10,1040986,GCF_000427725.1,NA,South Africa,NA,NA,NA,NA,NA,33.68 S 18.69 E,NA
11,1045558,GCA_016082375.1,,China: a coastal area of Qingdao (Yellow Sea),intertidal sand,coastal area,intertidal sand,NA,NA,35.8 N 120.0 E,NA
11,1045558,GCA_900113275.1,missing,missing,missing,missing,missing,NA,NA,missing,NA
11,1045558,GCF_016082375.1,,China: a coastal area of Qingdao (Yellow Sea),intertidal sand,coastal area,intertidal sand,NA,NA,35.8 N 120.0 E,NA
11,1045558,GCF_900113275.1,missing,missing,missing,missing,missing,NA,NA,missing,NA
12,104609,GCA_002933855.1,NA,Japan,missing,missing,missing,NA,NA,missing,NA
12,104609,GCA_003970425.1,NA,Japan: Kagoshima prefecture,,,,NA,NA,,NA
12,104609,GCA_019977755.1,NA,missing,missing,missing,missing,NA,NA,missing,NA
12,104609,GCA_019977775.1,NA,missing,missing,missing,missing,NA,NA,missing,NA
12,104609,GCA_019977795.1,NA,missing,missing,missing,missing,NA,NA,missing,NA
12,104609,GCA_019977815.1,NA,missing,missing,missing,missing,NA,NA,missing,NA
12,104609,GCA_019977835.1,NA,missing,missing,missing,missing,NA,NA,missing,NA
12,104609,GCA_030160215.1,NA,not applicable,not applicable,not applicable,not applicable,NA,NA,not applicable,NA
12,104609,GCA_030689305.1,NA,"USA:Canoe Beach, Nahant, MA",ENVO:01000048,ENVO:01000687,ENVO:00002150,NA,NA,42.420 N 70.907 W,NA
12,104609,GCF_002933855.1,NA,Japan,missing,missing,missing,NA,NA,missing,NA
12,104609,GCF_003970425.1,NA,Japan: Kagoshima prefecture,,,,NA,NA,,NA
12,104609,GCF_019977755.1,NA,missing,missing,missing,missing,NA,NA,missing,NA
12,104609,GCF_019977775.1,NA,missing,missing,missing,missing,NA,NA,missing,NA
12,104609,GCF_019977795.1,NA,missing,missing,missing,missing,NA,NA,missing,NA
12,104609,GCF_019977815.1,NA,missing,missing,missing,missing,NA,NA,missing,NA
12,104609,GCF_019977835.1,NA,missing,missing,missing,missing,NA,NA,missing,NA
12,104609,GCF_030160215.1,NA,not applicable,not applicable,not applicable,not applicable,NA,NA,not applicable,NA
12,104609,GCF_030689305.1,NA,"USA:Canoe Beach, Nahant, MA",ENVO:01000048,ENVO:01000687,ENVO:00002150,NA,NA,42.420 N 70.907 W,NA
13,1049199,GCA_003663885.1,missing,missing,missing,missing,missing,NA,NA,missing,NA
13,1049199,GCF_003663885.1,missing,missing,missing,missing,missing,NA,NA,missing,NA
14,1054497,GCA_014652355.1,,not applicable,not applicable,not applicable,not applicable,NA,NA,not applicable,NA
14,1054497,GCA_042660845.1,missing,missing,,,,NA,NA,,NA
14,1054497,GCA_042681345.1,missing,missing,,,,NA,NA,,NA
14,1054497,GCF_014652355.1,,not applicable,not applicable,not applicable,not applicable,NA,NA,not applicable,NA
14,1054497,GCF_042660845.1,missing,missing,,,,NA,NA,,NA
15,1054996,GCA_041549675.1,Coastal bare tidal mudflat sediment,China: ZhouShan,Tidal Flat,Intertidal zone,Tidal Flat Sediment,NA,NA,29.948 N 122.407 E,NA
15,1054996,GCA_041551235.1,Coastal bare tidal mudflat sediment,China: ZhouShan,Tidal Flat,Intertidal zone,Tidal Flat Sediment,NA,NA,29.948 N 122.407 E,NA
15,1054996,GCA_041555575.1,Coastal bare tidal mudflat sediment,China: ZhouShan,Tidal Flat,Intertidal zone,Tidal Flat Sediment,NA,NA,29.948 N 122.407 E,NA
15,1054996,GCA_900142625.1,missing,missing,missing,missing,missing,NA,NA,missing,NA
15,1054996,GCF_900142625.1,missing,missing,missing,missing,missing,NA,NA,missing,NA
16,1055104,GCA_000754225.1,Crenomytilus grayanus,Russia: The Sea of Japan,,,,,,,NA
16,1055104,GCA_018860945.1,alginate 40-100 m particle (artificial) mid colonization,"USA:Massachusetts, Nahant, Canoe Beach",coastal sea water [ENVO:00002150],intertidal zone [ENVO:00000316],sea water [ENVO:00002149],,,42.25 N 70.54 W,NA
16,1055104,GCA_020217465.1,the marine sediment,Atlantic Ocean: Scotia Sea,,,,,,,NA
16,1055104,GCA_024397835.1,surface seawater,not collected,,,,,,,NA
16,1055104,GCA_029846315.1,sandy sediment,Russia: The Sea of Japan,,,,,,,NA
16,1055104,GCA_030010415.1,internal tissue,"USA: The Gulf of Alaska, Kodiak Island",,,,,,,NA
16,1055104,GCA_030547885.1,,"USA:Canoe Beach, Nahant, MA",ENVO:01000048,ENVO:01000687,ENVO:00002150,,,42.420 N 70.907 W,NA
16,1055104,GCA_030549035.1,,"USA:Canoe Beach, Nahant, MA",ENVO:01000048,ENVO:01000687,ENVO:00002150,,,42.420 N 70.907 W,NA
16,1055104,GCA_032923285.1,Laboratory,"USA: California, Channel Islands",,,,,,,NA
16,1055104,GCA_039981015.1,spore release from mature blade,"USA:California, Channel Islands",not collected,not collected,not collected,,,not collected,NA
16,1055104,GCA_041585295.1,Coastal bare tidal sandflat sediment,China: ZhouShan,Tidal Flat,Intertidal zone,Tidal Flat Sediment,,,29.928 N 122.422 E,NA
16,1055104,GCA_042653725.1,missing,missing,,,,,,,NA
16,1055104,GCA_042867805.1,missing,missing,,,,,,,NA
16,1055104,GCA_938073765.1,seawater,China,marine biome [ENVO:00000447],microbial feature [ENVO:00002150],coastal sea water [ENVO:00002150],37.562,122.121,,NA
16,1055104,GCA_947493925.1,,China,marine biome [ENVO:00000447],,marine macroalgae,37.562,122.121,,NA
16,1055104,GCA_963281205.1,,Saudi Arabia,,,,,,,NA
16,1055104,GCA_963281215.1,,Saudi Arabia,,,,,,,NA
16,1055104,GCA_964204985.1,,Saudi Arabia,,,,,,,NA
16,1055104,GCA_964205015.1,,Saudi Arabia,,,,,,,NA
16,1055104,GCF_000754225.1,Crenomytilus grayanus,Russia: The Sea of Japan,,,,,,,NA
16,1055104,GCF_018860945.1,alginate 40-100 m particle (artificial) mid colonization,"USA:Massachusetts, Nahant, Canoe Beach",coastal sea water [ENVO:00002150],intertidal zone [ENVO:00000316],sea water [ENVO:00002149],,,42.25 N 70.54 W,NA
16,1055104,GCF_020217465.1,the marine sediment,Atlantic Ocean: Scotia Sea,,,,,,,NA
16,1055104,GCF_029846315.1,sandy sediment,Russia: The Sea of Japan,,,,,,,NA
16,1055104,GCF_030010415.1,internal tissue,"USA: The Gulf of Alaska, Kodiak Island",,,,,,,NA
16,1055104,GCF_030547885.1,,"USA:Canoe Beach, Nahant, MA",ENVO:01000048,ENVO:01000687,ENVO:00002150,,,42.420 N 70.907 W,NA
16,1055104,GCF_030549035.1,,"USA:Canoe Beach, Nahant, MA",ENVO:01000048,ENVO:01000687,ENVO:00002150,,,42.420 N 70.907 W,NA
16,1055104,GCF_032923285.1,Laboratory,"USA: California, Channel Islands",,,,,,,NA
16,1055104,GCF_039981015.1,spore release from mature blade,"USA:California, Channel Islands",not collected,not collected,not collected,,,not collected,NA
16,1055104,GCF_042653725.1,missing,missing,,,,,,,NA
16,1055104,GCF_042867805.1,missing,missing,,,,,,,NA
16,1055104,GCF_947493925.1,,China,marine biome [ENVO:00000447],,marine macroalgae,37.562,122.121,,NA
16,1055104,GCF_964204985.1,,Saudi Arabia,,,,,,,NA
16,1055104,GCF_964205015.1,,Saudi Arabia,,,,,,,NA
18,1062,GCA_003445535.1,marine,not applicable,,,,NA,NA,,NA
18,1062,GCA_003477325.1,marine,not applicable,,,,NA,NA,,NA
18,1062,GCA_003519265.1,marine,not applicable,,,,NA,NA,,NA
18,1062,GCA_003529785.1,marine,not applicable,,,,NA,NA,,NA
18,1062,GCA_003536295.1,marine,not applicable,,,,NA,NA,,NA
18,1062,GCA_003538565.1,sediment,not applicable,,,,NA,NA,,NA
18,1062,GCA_013204485.1,High-Arctic meromictic Lake A,"Canada:Ellesmere Island, Lake A",aquatic ecosystems [ENVO:00002030],saline lake [ENVO:00000019],not applicable,NA,NA,82.59 N 75.26 W,NA
18,1062,GCA_013821825.1,drinking water system-WM,"USA: Illinois, Champaign",drinking water system-WM,oligotrophic fast flowing,water,NA,NA,40.12 N 88.22 W,NA
18,1062,GCA_013824045.1,drinking water system-before chlorination,"USA: Illinois, Champaign",drinking water system-before chlorination,oligotrophic fast flowing,water,NA,NA,40.13 N 88.36 W,NA
18,1062,GCA_013824055.1,drinking water system-before chlorination,"USA: Illinois, Champaign",drinking water system-before chlorination,oligotrophic fast flowing,water,NA,NA,40.13 N 88.36 W,NA
18,1062,GCA_016704435.1,activated sludge from AalW_18-Q3-R10-53,Denmark: Aalborg W,aquatic biome [ENVO:00002030],Waste Water [ENVO:00002001],Activated Sludge [ENVO:00002046],NA,NA,57.049513 N 9.864788 E,NA
18,1062,GCA_016711185.1,activated sludge from Hirt_18-Q3-R61-65,Denmark: Hirtshals,aquatic biome [ENVO:00002030],Waste Water [ENVO:00002001],Activated Sludge [ENVO:00002046],NA,NA,57.577275 N 9.992971 E,NA
18,1062,GCA_020250125.1,Microcystis colony from freshwater lake,"Canada:Quebec,Champlain Lake",Freshwater,not collected,Microcystis colony,NA,NA,45.045833 N 73.132778 W,NA
18,1062,GCA_020250135.1,Microcystis colony from freshwater lake,"Canada:Quebec,Champlain Lake",Freshwater,not collected,Microcystis colony,NA,NA,45.045833 N 73.132778 W,NA
18,1062,GCA_020250145.1,Microcystis colony from freshwater lake,"Canada:Quebec,Champlain Lake",Freshwater,not collected,Microcystis colony,NA,NA,45.045833 N 73.132778 W,NA
18,1062,GCA_020250175.1,Microcystis colony from freshwater lake,"Canada:Quebec,Champlain Lake",Freshwater,not collected,Microcystis colony,NA,NA,45.045833 N 73.132778 W,NA
18,1062,GCA_020250265.1,Microcystis colony from freshwater lake,"Canada:Quebec,Champlain Lake",Freshwater,not collected,Microcystis colony,NA,NA,45.045833 N 73.132778 W,NA
18,1062,GCA_020250305.1,Microcystis colony from freshwater lake,"Canada:Quebec,Champlain Lake",Freshwater,not collected,Microcystis colony,NA,NA,45.045833 N 73.132778 W,NA
18,1062,GCA_020250345.1,Microcystis colony from freshwater lake,"Canada:Quebec,Champlain Lake",Freshwater,not collected,Microcystis colony,NA,NA,45.045833 N 73.132778 W,NA
18,1062,GCA_020250365.1,Microcystis colony from freshwater lake,"Canada:Quebec,Champlain Lake",Freshwater,not collected,Microcystis colony,NA,NA,45.045833 N 73.132778 W,NA
18,1062,GCA_020250385.1,Microcystis colony from freshwater lake,"Canada:Quebec,Champlain Lake",Freshwater,not collected,Microcystis colony,NA,NA,45.045833 N 73.132778 W,NA
18,1062,GCA_020250405.1,Microcystis colony from freshwater lake,"Canada:Quebec,Champlain Lake",Freshwater,not collected,Microcystis colony,NA,NA,45.045833 N 73.132778 W,NA
18,1062,GCA_020250445.1,Microcystis colony from freshwater lake,"Canada:Quebec,Champlain Lake",Freshwater,not collected,Microcystis colony,NA,NA,45.045833 N 73.132778 W,NA
18,1062,GCA_020250465.1,Microcystis colony from freshwater lake,"Canada:Quebec,Champlain Lake",Freshwater,not collected,Microcystis colony,NA,NA,45.045833 N 73.132778 W,NA
18,1062,GCA_020250485.1,Microcystis colony from freshwater lake,"Canada:Quebec,Champlain Lake",Freshwater,not collected,Microcystis colony,NA,NA,45.045833 N 73.132778 W,NA
18,1062,GCA_020250505.1,Microcystis colony from freshwater lake,"Canada:Quebec,Champlain Lake",Freshwater,not collected,Microcystis colony,NA,NA,45.045833 N 73.132778 W,NA
18,1062,GCA_020250515.1,Microcystis colony from freshwater lake,"Canada:Quebec,Champlain Lake",Freshwater,not collected,Microcystis colony,NA,NA,45.045833 N 73.132778 W,NA
18,1062,GCA_020250545.1,Microcystis colony from freshwater lake,"Canada:Quebec,Champlain Lake",Freshwater,not collected,Microcystis colony,NA,NA,45.045833 N 73.132778 W,NA
18,1062,GCA_020250555.1,Microcystis colony from freshwater lake,"Canada:Quebec,Champlain Lake",Freshwater,not collected,Microcystis colony,NA,NA,45.045833 N 73.132778 W,NA
18,1062,GCA_020250585.1,Microcystis colony from freshwater lake,"Canada:Quebec,Champlain Lake",Freshwater,not collected,Microcystis colony,NA,NA,45.045833 N 73.132778 W,NA
18,1062,GCA_020250625.1,Microcystis colony from freshwater lake,"Canada:Quebec,Champlain Lake",Freshwater,not collected,Microcystis colony,NA,NA,45.045833 N 73.132778 W,NA
18,1062,GCA_020250635.1,Microcystis colony from freshwater lake,"Canada:Quebec,Champlain Lake",Freshwater,not collected,Microcystis colony,NA,NA,45.045833 N 73.132778 W,NA
18,1062,GCA_020250655.1,Microcystis colony from freshwater lake,"Canada:Quebec,Champlain Lake",Freshwater,not collected,Microcystis colony,NA,NA,45.045833 N 73.132778 W,NA
18,1062,GCA_020250785.1,Microcystis colony from freshwater lake,"Brazil:Belo Horizonte,Pampulha Lake",Freshwater,not collected,Microcystis colony,NA,NA,19.919167 S 43.946389 W,NA
18,1062,GCA_020250795.1,Microcystis colony from freshwater lake,"Canada:Quebec,Champlain Lake",Freshwater,not collected,Microcystis colony,NA,NA,45.045833 N 73.132778 W,NA
18,1062,GCA_020250825.1,Microcystis colony from freshwater lake,"Brazil:Belo Horizonte,Pampulha Lake",Freshwater,not collected,Microcystis colony,NA,NA,19.919167 S 43.946389 W,NA
18,1062,GCA_020250835.1,Microcystis colony from freshwater lake,"Brazil:Belo Horizonte,Pampulha Lake",Freshwater,not collected,Microcystis colony,NA,NA,19.919167 S 43.946389 W,NA
18,1062,GCA_020250845.1,Microcystis colony from freshwater lake,"Canada:Quebec,Champlain Lake",Freshwater,not collected,Microcystis colony,NA,NA,45.045833 N 73.132778 W,NA
18,1062,GCA_020250925.1,Microcystis colony from freshwater lake,"Brazil:Belo Horizonte,Pampulha Lake",Freshwater,not collected,Microcystis colony,NA,NA,19.919167 S 43.946389 W,NA
18,1062,GCA_020250945.1,Microcystis colony from freshwater lake,"Brazil:Belo Horizonte,Pampulha Lake",Freshwater,not collected,Microcystis colony,NA,NA,19.919167 S 43.946389 W,NA
18,1062,GCA_020250965.1,Microcystis colony from freshwater lake,"Brazil:Belo Horizonte,Pampulha Lake",Freshwater,not collected,Microcystis colony,NA,NA,19.919167 S 43.946389 W,NA
18,1062,GCA_020250985.1,Microcystis colony from freshwater lake,"Brazil:Belo Horizonte,Pampulha Lake",Freshwater,not collected,Microcystis colony,NA,NA,19.919167 S 43.946389 W,NA
18,1062,GCA_020251005.1,Microcystis colony from freshwater lake,"Brazil:Belo Horizonte,Pampulha Lake",Freshwater,not collected,Microcystis colony,NA,NA,19.919167 S 43.946389 W,NA
18,1062,GCA_020251025.1,Microcystis colony from freshwater lake,"Brazil:Belo Horizonte,Pampulha Lake",Freshwater,not collected,Microcystis colony,NA,NA,19.919167 S 43.946389 W,NA
18,1062,GCA_020251035.1,Microcystis colony from freshwater lake,"Brazil:Belo Horizonte,Pampulha Lake",Freshwater,not collected,Microcystis colony,NA,NA,19.919167 S 43.946389 W,NA
18,1062,GCA_020251065.1,Microcystis colony from freshwater lake,"Brazil:Belo Horizonte,Pampulha Lake",Freshwater,not collected,Microcystis colony,NA,NA,19.919167 S 43.946389 W,NA
18,1062,GCA_020251075.1,Microcystis colony from freshwater lake,"Brazil:Belo Horizonte,Pampulha Lake",Freshwater,not collected,Microcystis colony,NA,NA,19.919167 S 43.946389 W,NA
18,1062,GCA_020251085.1,Microcystis colony from freshwater lake,"Brazil:Belo Horizonte,Pampulha Lake",Freshwater,not collected,Microcystis colony,NA,NA,19.919167 S 43.946389 W,NA
18,1062,GCA_020251135.1,Microcystis colony from freshwater lake,"Brazil:Belo Horizonte,Pampulha Lake",Freshwater,not collected,Microcystis colony,NA,NA,19.919167 S 43.946389 W,NA
18,1062,GCA_020251165.1,Microcystis colony from freshwater lake,"Brazil:Belo Horizonte,Pampulha Lake",Freshwater,not collected,Microcystis colony,NA,NA,19.919167 S 43.946389 W,NA
18,1062,GCA_020285365.1,Microcystis colony from freshwater,"Canada: Quebec, Champlain Lake",Freshwater,not collected,Microcystis colony,NA,NA,45.045833 N 73.132778 W,NA
18,1062,GCA_020637515.1,activated sludge from Hong Kong Shatin wastewater treatment plant,China: Hong Kong Special Administrative Region,wastewater,waste treatment plant [ENVO:00002272],sewage plant [ENVO:00003043],NA,NA,22.38 N 114.20 E,NA
18,1062,GCA_020637555.1,activated sludge from Hong Kong Shatin wastewater treatment plant,China: Hong Kong Special Administrative Region,wastewater,waste treatment plant [ENVO:00002272],sewage plant [ENVO:00003043],NA,NA,22.38 N 114.20 E,NA
18,1062,GCA_020637595.1,activated sludge from Hong Kong Shatin wastewater treatment plant,China: Hong Kong Special Administrative Region,wastewater,waste treatment plant [ENVO:00002272],sewage plant [ENVO:00003043],NA,NA,22.38 N 114.20 E,NA
18,1062,GCA_021300335.1,Phytoplankton seston > 100 micron diameter,"USA: Ohio, western Lake Erie, NOAA Station WE2",ENVO:00000891,ENVO:01000548|ENVO:01001019,ENVO:01000063,NA,NA,41.764733 N 83.335117 W,NA
18,1062,GCA_021300415.1,lake water,"USA: Ohio, western Lake Erie, NOAA Station WE2",ENVO:00000891,ENVO:01000548|ENVO:01001019,ENVO:00002011,NA,NA,41.764733 N 83.335117 W,NA
18,1062,GCA_022340385.1,untreated salt marsh sediment,"USA: Rowley, Massachusetts",salt marsh,vegetated intertidal zone,sediment,NA,NA,42.743056 N 70.849722 W,NA
18,1062,GCA_022824145.1,sponge tissue,"USA: Florida, Summerland Key",seagrass bed,tropical shallow sea,sandy bottom,NA,NA,24.6609 N 81.4563 W,NA
18,1062,GCA_026708635.1,,Australia: Davies Reef,,,,NA,NA,18.832467 S 147.633250 E,NA
18,1062,GCA_026709005.1,,Australia: Davies Reef,,,,NA,NA,18.832467 S 147.633250 E,NA
18,1062,GCA_026709485.1,,Australia: Davies Reef,,,,NA,NA,18.832467 S 147.633250 E,NA
18,1062,GCA_027482795.1,pond D1 freshwater mesocosm in the Large Experimental Array of Ponds platform,Canada: Gault Nature Reserve,Freshwater biome,Mesocosm pond,Freshwater,NA,NA,45.55 N 73.15 W,NA
18,1062,GCA_027484145.1,pond D1 freshwater mesocosm in the Large Experimental Array of Ponds platform,Canada: Gault Nature Reserve,Freshwater biome,Mesocosm pond,Freshwater,NA,NA,45.55 N 73.15 W,NA
18,1062,GCA_027484865.1,pond C4 freshwater mesocosm in the Large Experimental Array of Ponds platform,Canada: Gault Nature Reserve,Freshwater biome,Mesocosm pond,Freshwater,NA,NA,45.55 N 73.15 W,NA
