mass_feature,RT,mz,MS2,add_annotation,sample_fraction,replicate_name,adjusted_area,sample_set,treatment
HILICPos_3,11.426,84.04491,53.00298:12850 56.05032:899608 69.14571:6276 73.99947:6910 84.04509:3028253,NA,Particulate,211202_Smp_OBi1_3,166002566.2570637,OBi1_set2,Glucose + NH4
HILICPos_3,11.426,84.04491,53.00298:12850 56.05032:899608 69.14571:6276 73.99947:6910 84.04509:3028253,NA,Particulate,211202_Smp_OBi1_4,232459992.2717519,OBi1_set2,Homarine
HILICPos_3,11.426,84.04491,53.00298:12850 56.05032:899608 69.14571:6276 73.99947:6910 84.04509:3028253,NA,Particulate,211202_Smp_OBi1_5,163075738.73757106,OBi1_set2,Homarine
HILICPos_3,11.426,84.04491,53.00298:12850 56.05032:899608 69.14571:6276 73.99947:6910 84.04509:3028253,NA,Particulate,211202_Smp_OBi1_6,153041635.7886766,OBi1_set2,Homarine
HILICPos_3,11.426,84.04491,53.00298:12850 56.05032:899608 69.14571:6276 73.99947:6910 84.04509:3028253,NA,Particulate,211202_Smp_OBi1_7,564926490.5705758,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_3,11.426,84.04491,53.00298:12850 56.05032:899608 69.14571:6276 73.99947:6910 84.04509:3028253,NA,Particulate,211202_Smp_OBi1_8,606635154.7422158,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_3,11.426,84.04491,53.00298:12850 56.05032:899608 69.14571:6276 73.99947:6910 84.04509:3028253,NA,Particulate,211202_Smp_OBi1_9,541087357.5393524,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_4,10.736,84.04491,56.05029:183305 58.63087:8329 65.51984:6814 72.87761:7220 75.60574:7459 80.12595:8079 80.81712:7629 84.04506:657977,[M+H]+,Particulate,211202_Smp_OBi1_1,72167550.96821699,OBi1_set2,Glucose + NH4
HILICPos_4,10.736,84.04491,56.05029:183305 58.63087:8329 65.51984:6814 72.87761:7220 75.60574:7459 80.12595:8079 80.81712:7629 84.04506:657977,[M+H]+,Particulate,211202_Smp_OBi1_2,67184481.31841019,OBi1_set2,Glucose + NH4
HILICPos_4,10.736,84.04491,56.05029:183305 58.63087:8329 65.51984:6814 72.87761:7220 75.60574:7459 80.12595:8079 80.81712:7629 84.04506:657977,[M+H]+,Particulate,211202_Smp_OBi1_3,65701324.64009946,OBi1_set2,Glucose + NH4
HILICPos_4,10.736,84.04491,56.05029:183305 58.63087:8329 65.51984:6814 72.87761:7220 75.60574:7459 80.12595:8079 80.81712:7629 84.04506:657977,[M+H]+,Particulate,211202_Smp_OBi1_4,86493505.62816744,OBi1_set2,Homarine
HILICPos_4,10.736,84.04491,56.05029:183305 58.63087:8329 65.51984:6814 72.87761:7220 75.60574:7459 80.12595:8079 80.81712:7629 84.04506:657977,[M+H]+,Particulate,211202_Smp_OBi1_5,43472044.6749368,OBi1_set2,Homarine
HILICPos_4,10.736,84.04491,56.05029:183305 58.63087:8329 65.51984:6814 72.87761:7220 75.60574:7459 80.12595:8079 80.81712:7629 84.04506:657977,[M+H]+,Particulate,211202_Smp_OBi1_6,39019410.72823931,OBi1_set2,Homarine
HILICPos_4,10.736,84.04491,56.05029:183305 58.63087:8329 65.51984:6814 72.87761:7220 75.60574:7459 80.12595:8079 80.81712:7629 84.04506:657977,[M+H]+,Particulate,211202_Smp_OBi1_7,203777593.16783792,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_4,10.736,84.04491,56.05029:183305 58.63087:8329 65.51984:6814 72.87761:7220 75.60574:7459 80.12595:8079 80.81712:7629 84.04506:657977,[M+H]+,Particulate,211202_Smp_OBi1_8,222292357.712636,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_4,10.736,84.04491,56.05029:183305 58.63087:8329 65.51984:6814 72.87761:7220 75.60574:7459 80.12595:8079 80.81712:7629 84.04506:657977,[M+H]+,Particulate,211202_Smp_OBi1_9,198640725.07346505,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_5,10.524,85.02907,NA,NA,Particulate,211202_Smp_OBi1_1,6837233.454343719,OBi1_set2,Glucose + NH4
HILICPos_5,10.524,85.02907,NA,NA,Particulate,211202_Smp_OBi1_2,7749852.496517648,OBi1_set2,Glucose + NH4
HILICPos_5,10.524,85.02907,NA,NA,Particulate,211202_Smp_OBi1_3,6416408.003269479,OBi1_set2,Glucose + NH4
HILICPos_5,10.524,85.02907,NA,NA,Particulate,211202_Smp_OBi1_4,2100156.8971006023,OBi1_set2,Homarine
HILICPos_5,10.524,85.02907,NA,NA,Particulate,211202_Smp_OBi1_5,2050454.0027896191,OBi1_set2,Homarine
HILICPos_5,10.524,85.02907,NA,NA,Particulate,211202_Smp_OBi1_6,1926091.876317068,OBi1_set2,Homarine
HILICPos_5,10.524,85.02907,NA,NA,Particulate,211202_Smp_OBi1_7,23500400.45913027,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_5,10.524,85.02907,NA,NA,Particulate,211202_Smp_OBi1_8,25849733.146355405,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_5,10.524,85.02907,NA,NA,Particulate,211202_Smp_OBi1_9,15714035.555126855,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_6,11.493,86.04909,NA,NA,Particulate,211202_Smp_OBi1_1,8425139.537386449,OBi1_set2,Glucose + NH4
HILICPos_6,11.493,86.04909,NA,NA,Particulate,211202_Smp_OBi1_2,7564818.05343488,OBi1_set2,Glucose + NH4
HILICPos_6,11.493,86.04909,NA,NA,Particulate,211202_Smp_OBi1_3,8579645.271713197,OBi1_set2,Glucose + NH4
HILICPos_6,11.493,86.04909,NA,NA,Particulate,211202_Smp_OBi1_4,17617302.571081277,OBi1_set2,Homarine
HILICPos_6,11.493,86.04909,NA,NA,Particulate,211202_Smp_OBi1_5,14247127.664832668,OBi1_set2,Homarine
HILICPos_6,11.493,86.04909,NA,NA,Particulate,211202_Smp_OBi1_6,10326393.35614986,OBi1_set2,Homarine
HILICPos_6,11.493,86.04909,NA,NA,Particulate,211202_Smp_OBi1_7,27083359.506106075,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_6,11.493,86.04909,NA,NA,Particulate,211202_Smp_OBi1_8,28964658.393456772,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_6,11.493,86.04909,NA,NA,Particulate,211202_Smp_OBi1_9,30519396.79456321,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_7,11.491,86.06056,NA,NA,Particulate,211202_Smp_OBi1_1,8486235.219728913,OBi1_set2,Glucose + NH4
HILICPos_7,11.491,86.06056,NA,NA,Particulate,211202_Smp_OBi1_2,7714215.491663194,OBi1_set2,Glucose + NH4
HILICPos_7,11.491,86.06056,NA,NA,Particulate,211202_Smp_OBi1_3,8669814.485371036,OBi1_set2,Glucose + NH4
HILICPos_7,11.491,86.06056,NA,NA,Particulate,211202_Smp_OBi1_4,17950665.370488256,OBi1_set2,Homarine
HILICPos_7,11.491,86.06056,NA,NA,Particulate,211202_Smp_OBi1_5,14547370.51694277,OBi1_set2,Homarine
HILICPos_7,11.491,86.06056,NA,NA,Particulate,211202_Smp_OBi1_6,10522452.358125595,OBi1_set2,Homarine
HILICPos_7,11.491,86.06056,NA,NA,Particulate,211202_Smp_OBi1_7,27381285.74292248,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_7,11.491,86.06056,NA,NA,Particulate,211202_Smp_OBi1_8,29287221.17818535,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_7,11.491,86.06056,NA,NA,Particulate,211202_Smp_OBi1_9,30862832.582629938,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_8,7.066,86.09693,NA,NA,Particulate,211202_Smp_OBi1_1,3462215.138485561,OBi1_set2,Glucose + NH4
HILICPos_8,7.066,86.09693,NA,NA,Particulate,211202_Smp_OBi1_2,2981030.021386948,OBi1_set2,Glucose + NH4
HILICPos_8,7.066,86.09693,NA,NA,Particulate,211202_Smp_OBi1_3,3164226.3719380065,OBi1_set2,Glucose + NH4
HILICPos_8,7.066,86.09693,NA,NA,Particulate,211202_Smp_OBi1_4,8755158.505979948,OBi1_set2,Homarine
HILICPos_8,7.066,86.09693,NA,NA,Particulate,211202_Smp_OBi1_5,8050552.654216072,OBi1_set2,Homarine
HILICPos_8,7.066,86.09693,NA,NA,Particulate,211202_Smp_OBi1_6,6723823.847321125,OBi1_set2,Homarine
HILICPos_8,7.066,86.09693,NA,NA,Particulate,211202_Smp_OBi1_7,10959070.043772671,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_8,7.066,86.09693,NA,NA,Particulate,211202_Smp_OBi1_8,10898381.94496742,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_8,7.066,86.09693,NA,NA,Particulate,211202_Smp_OBi1_9,9592017.956718327,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_9,10.714,88.03983,NA,NA,Particulate,211202_Smp_OBi1_1,2678874.8518742956,OBi1_set2,Glucose + NH4
HILICPos_9,10.714,88.03983,NA,NA,Particulate,211202_Smp_OBi1_2,2373626.950284365,OBi1_set2,Glucose + NH4
HILICPos_9,10.714,88.03983,NA,NA,Particulate,211202_Smp_OBi1_3,2331844.6203506244,OBi1_set2,Glucose + NH4
HILICPos_9,10.714,88.03983,NA,NA,Particulate,211202_Smp_OBi1_4,2058991.521308845,OBi1_set2,Homarine
HILICPos_9,10.714,88.03983,NA,NA,Particulate,211202_Smp_OBi1_5,2226137.135701452,OBi1_set2,Homarine
HILICPos_9,10.714,88.03983,NA,NA,Particulate,211202_Smp_OBi1_6,1852478.581498803,OBi1_set2,Homarine
HILICPos_9,10.714,88.03983,NA,NA,Particulate,211202_Smp_OBi1_7,2793543.7541222163,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_9,10.714,88.03983,NA,NA,Particulate,211202_Smp_OBi1_8,2887917.604367164,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_9,10.714,88.03983,NA,NA,Particulate,211202_Smp_OBi1_9,2699540.710705909,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_10,11.71,88.03997,NA,NA,Particulate,211202_Smp_OBi1_1,8755503.7605706,OBi1_set2,Glucose + NH4
HILICPos_10,11.71,88.03997,NA,NA,Particulate,211202_Smp_OBi1_2,8729113.21381669,OBi1_set2,Glucose + NH4
HILICPos_10,11.71,88.03997,NA,NA,Particulate,211202_Smp_OBi1_3,9326339.625138087,OBi1_set2,Glucose + NH4
HILICPos_10,11.71,88.03997,NA,NA,Particulate,211202_Smp_OBi1_4,4245862.920166423,OBi1_set2,Homarine
HILICPos_10,11.71,88.03997,NA,NA,Particulate,211202_Smp_OBi1_5,3410661.8050430706,OBi1_set2,Homarine
HILICPos_10,11.71,88.03997,NA,NA,Particulate,211202_Smp_OBi1_6,3358357.200534707,OBi1_set2,Homarine
HILICPos_10,11.71,88.03997,NA,NA,Particulate,211202_Smp_OBi1_7,5775168.330935939,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_10,11.71,88.03997,NA,NA,Particulate,211202_Smp_OBi1_8,4965452.603773565,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_10,11.71,88.03997,NA,NA,Particulate,211202_Smp_OBi1_9,4448290.3339461535,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_11,10.672,90.05542,50.12657:7069 51.92418:6541 55.76039:6464 65.2961:6675 66.18614:7030 66.20759:8030 67.63246:7377 72.08141:28666 79.47478:7456 90.0556:20508 90.0919:17038,NA,Particulate,211202_Smp_OBi1_1,147188402.27517715,OBi1_set2,Glucose + NH4
HILICPos_11,10.672,90.05542,50.12657:7069 51.92418:6541 55.76039:6464 65.2961:6675 66.18614:7030 66.20759:8030 67.63246:7377 72.08141:28666 79.47478:7456 90.0556:20508 90.0919:17038,NA,Particulate,211202_Smp_OBi1_2,129533113.43977948,OBi1_set2,Glucose + NH4
HILICPos_11,10.672,90.05542,50.12657:7069 51.92418:6541 55.76039:6464 65.2961:6675 66.18614:7030 66.20759:8030 67.63246:7377 72.08141:28666 79.47478:7456 90.0556:20508 90.0919:17038,NA,Particulate,211202_Smp_OBi1_3,152480170.47632974,OBi1_set2,Glucose + NH4
HILICPos_11,10.672,90.05542,50.12657:7069 51.92418:6541 55.76039:6464 65.2961:6675 66.18614:7030 66.20759:8030 67.63246:7377 72.08141:28666 79.47478:7456 90.0556:20508 90.0919:17038,NA,Particulate,211202_Smp_OBi1_4,21219829.35460781,OBi1_set2,Homarine
HILICPos_11,10.672,90.05542,50.12657:7069 51.92418:6541 55.76039:6464 65.2961:6675 66.18614:7030 66.20759:8030 67.63246:7377 72.08141:28666 79.47478:7456 90.0556:20508 90.0919:17038,NA,Particulate,211202_Smp_OBi1_5,21518561.731564913,OBi1_set2,Homarine
HILICPos_11,10.672,90.05542,50.12657:7069 51.92418:6541 55.76039:6464 65.2961:6675 66.18614:7030 66.20759:8030 67.63246:7377 72.08141:28666 79.47478:7456 90.0556:20508 90.0919:17038,NA,Particulate,211202_Smp_OBi1_6,22196668.75852156,OBi1_set2,Homarine
HILICPos_11,10.672,90.05542,50.12657:7069 51.92418:6541 55.76039:6464 65.2961:6675 66.18614:7030 66.20759:8030 67.63246:7377 72.08141:28666 79.47478:7456 90.0556:20508 90.0919:17038,NA,Particulate,211202_Smp_OBi1_7,114148845.16219656,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_11,10.672,90.05542,50.12657:7069 51.92418:6541 55.76039:6464 65.2961:6675 66.18614:7030 66.20759:8030 67.63246:7377 72.08141:28666 79.47478:7456 90.0556:20508 90.0919:17038,NA,Particulate,211202_Smp_OBi1_8,119464431.86181384,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_11,10.672,90.05542,50.12657:7069 51.92418:6541 55.76039:6464 65.2961:6675 66.18614:7030 66.20759:8030 67.63246:7377 72.08141:28666 79.47478:7456 90.0556:20508 90.0919:17038,NA,Particulate,211202_Smp_OBi1_9,100656648.6172034,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_12,11.365,90.05545,NA,NA,Particulate,211202_Smp_OBi1_1,8966419.262458924,OBi1_set2,Glucose + NH4
HILICPos_12,11.365,90.05545,NA,NA,Particulate,211202_Smp_OBi1_2,8971312.826126946,OBi1_set2,Glucose + NH4
HILICPos_12,11.365,90.05545,NA,NA,Particulate,211202_Smp_OBi1_3,9928655.434289588,OBi1_set2,Glucose + NH4
HILICPos_12,11.365,90.05545,NA,NA,Particulate,211202_Smp_OBi1_4,11383838.469238374,OBi1_set2,Homarine
HILICPos_12,11.365,90.05545,NA,NA,Particulate,211202_Smp_OBi1_5,10445158.499852205,OBi1_set2,Homarine
HILICPos_12,11.365,90.05545,NA,NA,Particulate,211202_Smp_OBi1_6,7347850.404187456,OBi1_set2,Homarine
HILICPos_12,11.365,90.05545,NA,NA,Particulate,211202_Smp_OBi1_7,7493997.775009635,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_12,11.365,90.05545,NA,NA,Particulate,211202_Smp_OBi1_8,7826081.61883925,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_12,11.365,90.05545,NA,NA,Particulate,211202_Smp_OBi1_9,5461656.236141938,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_13,5.669,93.05784,NA,NA,Particulate,211202_Smp_OBi1_1,1154173.8414624168,OBi1_set2,Glucose + NH4
HILICPos_13,5.669,93.05784,NA,NA,Particulate,211202_Smp_OBi1_2,1187730.1316759924,OBi1_set2,Glucose + NH4
HILICPos_13,5.669,93.05784,NA,NA,Particulate,211202_Smp_OBi1_3,1091380.1598420532,OBi1_set2,Glucose + NH4
HILICPos_13,5.669,93.05784,NA,NA,Particulate,211202_Smp_OBi1_4,127040124.37760928,OBi1_set2,Homarine
HILICPos_13,5.669,93.05784,NA,NA,Particulate,211202_Smp_OBi1_5,108761087.22932144,OBi1_set2,Homarine
HILICPos_13,5.669,93.05784,NA,NA,Particulate,211202_Smp_OBi1_6,104469358.08467051,OBi1_set2,Homarine
HILICPos_13,5.669,93.05784,NA,NA,Particulate,211202_Smp_OBi1_7,83038915.00353418,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_13,5.669,93.05784,NA,NA,Particulate,211202_Smp_OBi1_8,85008321.43271445,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_13,5.669,93.05784,NA,NA,Particulate,211202_Smp_OBi1_9,83241047.9396938,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_14,5.593,94.06557,53.03939:17243 53.70857:7535 58.40123:7925 61.1574:7997 61.7367:8652 65.03938:26456 66.10853:7645 67.05497:67879 68.02984:9274 71.02995:9232 72.54964:8038 73.50882:9045 78.03453:26564 79.04224:52057 88.55466:8761 93.0579:50487 94.0657:13966037,NA,Particulate,211202_Smp_OBi1_1,3176464.7678284384,OBi1_set2,Glucose + NH4
HILICPos_14,5.593,94.06557,53.03939:17243 53.70857:7535 58.40123:7925 61.1574:7997 61.7367:8652 65.03938:26456 66.10853:7645 67.05497:67879 68.02984:9274 71.02995:9232 72.54964:8038 73.50882:9045 78.03453:26564 79.04224:52057 88.55466:8761 93.0579:50487 94.0657:13966037,NA,Particulate,211202_Smp_OBi1_2,3208107.085845172,OBi1_set2,Glucose + NH4
HILICPos_14,5.593,94.06557,53.03939:17243 53.70857:7535 58.40123:7925 61.1574:7997 61.7367:8652 65.03938:26456 66.10853:7645 67.05497:67879 68.02984:9274 71.02995:9232 72.54964:8038 73.50882:9045 78.03453:26564 79.04224:52057 88.55466:8761 93.0579:50487 94.0657:13966037,NA,Particulate,211202_Smp_OBi1_3,3075876.293847975,OBi1_set2,Glucose + NH4
HILICPos_14,5.593,94.06557,53.03939:17243 53.70857:7535 58.40123:7925 61.1574:7997 61.7367:8652 65.03938:26456 66.10853:7645 67.05497:67879 68.02984:9274 71.02995:9232 72.54964:8038 73.50882:9045 78.03453:26564 79.04224:52057 88.55466:8761 93.0579:50487 94.0657:13966037,NA,Particulate,211202_Smp_OBi1_4,2115270595.78902,OBi1_set2,Homarine
HILICPos_14,5.593,94.06557,53.03939:17243 53.70857:7535 58.40123:7925 61.1574:7997 61.7367:8652 65.03938:26456 66.10853:7645 67.05497:67879 68.02984:9274 71.02995:9232 72.54964:8038 73.50882:9045 78.03453:26564 79.04224:52057 88.55466:8761 93.0579:50487 94.0657:13966037,NA,Particulate,211202_Smp_OBi1_5,1918439104.4719737,OBi1_set2,Homarine
HILICPos_14,5.593,94.06557,53.03939:17243 53.70857:7535 58.40123:7925 61.1574:7997 61.7367:8652 65.03938:26456 66.10853:7645 67.05497:67879 68.02984:9274 71.02995:9232 72.54964:8038 73.50882:9045 78.03453:26564 79.04224:52057 88.55466:8761 93.0579:50487 94.0657:13966037,NA,Particulate,211202_Smp_OBi1_6,1939129854.4965632,OBi1_set2,Homarine
HILICPos_14,5.593,94.06557,53.03939:17243 53.70857:7535 58.40123:7925 61.1574:7997 61.7367:8652 65.03938:26456 66.10853:7645 67.05497:67879 68.02984:9274 71.02995:9232 72.54964:8038 73.50882:9045 78.03453:26564 79.04224:52057 88.55466:8761 93.0579:50487 94.0657:13966037,NA,Particulate,211202_Smp_OBi1_7,1596844719.7341,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_14,5.593,94.06557,53.03939:17243 53.70857:7535 58.40123:7925 61.1574:7997 61.7367:8652 65.03938:26456 66.10853:7645 67.05497:67879 68.02984:9274 71.02995:9232 72.54964:8038 73.50882:9045 78.03453:26564 79.04224:52057 88.55466:8761 93.0579:50487 94.0657:13966037,NA,Particulate,211202_Smp_OBi1_8,1531513137.948789,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_14,5.593,94.06557,53.03939:17243 53.70857:7535 58.40123:7925 61.1574:7997 61.7367:8652 65.03938:26456 66.10853:7645 67.05497:67879 68.02984:9274 71.02995:9232 72.54964:8038 73.50882:9045 78.03453:26564 79.04224:52057 88.55466:8761 93.0579:50487 94.0657:13966037,NA,Particulate,211202_Smp_OBi1_9,1607506001.9326582,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_16,5.608,96.04496,NA,[M+H]+,Particulate,211202_Smp_OBi1_1,3203007.479999563,OBi1_set2,Glucose + NH4
HILICPos_16,5.608,96.04496,NA,[M+H]+,Particulate,211202_Smp_OBi1_2,2942537.87956488,OBi1_set2,Glucose + NH4
HILICPos_16,5.608,96.04496,NA,[M+H]+,Particulate,211202_Smp_OBi1_3,3178779.431302491,OBi1_set2,Glucose + NH4
HILICPos_16,5.608,96.04496,NA,[M+H]+,Particulate,211202_Smp_OBi1_4,171566312.5569869,OBi1_set2,Homarine
HILICPos_16,5.608,96.04496,NA,[M+H]+,Particulate,211202_Smp_OBi1_5,154654199.47291493,OBi1_set2,Homarine
HILICPos_16,5.608,96.04496,NA,[M+H]+,Particulate,211202_Smp_OBi1_6,138936896.49987754,OBi1_set2,Homarine
HILICPos_16,5.608,96.04496,NA,[M+H]+,Particulate,211202_Smp_OBi1_7,119222697.89396323,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_16,5.608,96.04496,NA,[M+H]+,Particulate,211202_Smp_OBi1_8,121583202.67794496,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_16,5.608,96.04496,NA,[M+H]+,Particulate,211202_Smp_OBi1_9,109544840.188497,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_17,10.698,97.02894,NA,NA,Particulate,211202_Smp_OBi1_1,2363604.747611836,OBi1_set2,Glucose + NH4
HILICPos_17,10.698,97.02894,NA,NA,Particulate,211202_Smp_OBi1_2,3383121.6308079474,OBi1_set2,Glucose + NH4
HILICPos_17,10.698,97.02894,NA,NA,Particulate,211202_Smp_OBi1_3,2322438.9178552,OBi1_set2,Glucose + NH4
HILICPos_17,10.698,97.02894,NA,NA,Particulate,211202_Smp_OBi1_4,21297138.62101715,OBi1_set2,Homarine
HILICPos_17,10.698,97.02894,NA,NA,Particulate,211202_Smp_OBi1_5,19242198.642257396,OBi1_set2,Homarine
HILICPos_17,10.698,97.02894,NA,NA,Particulate,211202_Smp_OBi1_6,18345522.67521603,OBi1_set2,Homarine
HILICPos_17,10.698,97.02894,NA,NA,Particulate,211202_Smp_OBi1_7,10879876.451367771,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_17,10.698,97.02894,NA,NA,Particulate,211202_Smp_OBi1_8,11095676.988970209,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_17,10.698,97.02894,NA,NA,Particulate,211202_Smp_OBi1_9,5211817.391852612,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_18,9.473,97.07641,55.96473:8180 56.0503:1317592 56.2229:8179 58.38853:7743 68.05022:7570320 69.69441:9004 75.92877:8583 79.41007:8130 80.05015:9360,NA,Particulate,211202_Smp_OBi1_1,213807418.044886,OBi1_set2,Glucose + NH4
HILICPos_18,9.473,97.07641,55.96473:8180 56.0503:1317592 56.2229:8179 58.38853:7743 68.05022:7570320 69.69441:9004 75.92877:8583 79.41007:8130 80.05015:9360,NA,Particulate,211202_Smp_OBi1_2,185182307.68217424,OBi1_set2,Glucose + NH4
HILICPos_18,9.473,97.07641,55.96473:8180 56.0503:1317592 56.2229:8179 58.38853:7743 68.05022:7570320 69.69441:9004 75.92877:8583 79.41007:8130 80.05015:9360,NA,Particulate,211202_Smp_OBi1_3,206546836.82884657,OBi1_set2,Glucose + NH4
HILICPos_18,9.473,97.07641,55.96473:8180 56.0503:1317592 56.2229:8179 58.38853:7743 68.05022:7570320 69.69441:9004 75.92877:8583 79.41007:8130 80.05015:9360,NA,Particulate,211202_Smp_OBi1_4,131898725.9522595,OBi1_set2,Homarine
