ID,RT,mz,MS2,add_annotation,pseudo_ID,adduct_group_ID,nm_theroetical,211207_Blk_BlankTube_1,211207_Blk_BlankTube_2,211207_Blk_BlankTube_3,211207_Poo_TruePooBacteria_DDApos20,211207_Poo_TruePooBacteria_DDApos35,211207_Poo_TruePooBacteria_DDApos50,211207_Poo_TruePooBacteria_Full1,211207_Poo_TruePooBacteria_Full2,211207_Poo_TruePooBacteria_Full3,211207_Poo_TruePooBacteria_Half1,211207_Poo_TruePooBacteria_Half2,211207_Poo_TruePooBacteria_Half3,211207_Smp_OBi1_1,211207_Smp_OBi1_2,211207_Smp_OBi1_3,211207_Smp_OBi1_4,211207_Smp_OBi1_5,211207_Smp_OBi1_6,211207_Smp_OBi1_7,211207_Smp_OBi1_8,211207_Smp_OBi1_9
RPPos_19,1.873,205.09732,50.83875:6546 55.80259:7471 66.23872:7128 81.05299:7454 118.0654:109234 119.12904:7444 123.94546:8284 130.06534:8479 132.08075:30911 142.06512:12690 143.07274:17160 144.08075:81637 144.81705:7500 146.06001:452104 153.75076:7487 159.09164:40460 170.05981:30095 188.07068:82634 198.92839:6972,[M+H],RPPos_19,11,204.090043545,65082,25660,57317,4113222,4247336,4285382,3835432,4441084,3830704,2298654,2332149,1880757,7141835,5424091,6153740,11201099,9297723,8684650,5827016,6046392,5450975
RPPos_20,2.447,208.06361,NA,NA,NA,NA,NA,1686,0,0,3407,0,6235,28381,31732,11238,7094,2283,0,102073,115245,117166,100252,54799,62144,70251,126801,95922
RPPos_21,1.708,208.11824,NA,in adduct group of RPPos_16,RPPos_16,5,190.084263545,4124,4734,1956,54836,42183,16116,76672,66535,52732,41127,51550,24497,22486,122550,208949,261410,30821,127735,56958,98641,66399
RPPos_22,1.704,213.07367,NA,in adduct group of RPPos_16,RPPos_16,5,190.084263545,85833,114547,100020,186647,195954,167273,179361,184966,195301,129731,159422,157279,131365,304493,353386,466069,265398,277980,145881,195092,212660
RPPos_23,3.938,219.11319,NA,NA,NA,NA,NA,1272,0,0,31129,19434,22761,35067,36441,19323,14212,15937,3556,57463,63293,75665,76139,40475,50373,67827,83387,59274
RPPos_24,1.874,227.07912,NA,in adduct group of RPPos_19,RPPos_19,11,204.090043545,2048,0,0,99831,103229,102832,97400,103816,82041,52375,47965,39706,171315,137565,147600,297645,204965,220774,135593,160301,147603
RPPos_25,1.567,231.17082,NA,NA,NA,NA,NA,2715,0,0,12012,13638,3201,12767,23479,10846,6187,6754,4919,9812,6474,16526,19123,6424,3313,9034,12404,8076
RPPos_26,3.83,233.18597,NA,NA,NA,NA,NA,37025,20023,31743,131301,120327,128691,98204,84068,92367,67247,54423,64968,123275,161796,183736,94185,236411,97468,84834,84690,83516
RPPos_27,1.706,236.14919,NA,NA,NA,NA,NA,0,0,0,18801,27839,6080,10031,27411,24197,14158,4903,11124,2650,57662,96298,123548,5066,67958,12537,48183,43714
RPPos_28,5.631,243.08774,NA,[M+H],RPPos_28,13,242.080463545,0,0,0,304805,293485,286224,199301,271360,226491,124259,130168,106550,544028,525273,539764,315851,94235,83229,243933,163417,170763
RPPos_29,5.057,245.13879,NA,[M+H],RPPos_29,14,244.131513545,14559,7844,9182,76837,83929,76376,69411,71723,65326,41968,41482,37869,127636,81678,73729,55496,65291,43931,57316,77679,40977
RPPos_30,1.864,249.06165,NA,in adduct group of RPPos_19,RPPos_19,11,204.090043545,1735,6804,2019,7677,8255,8961,13017,18642,11679,4830,4846,6677,44253,17406,26691,60133,54794,58059,35737,33982,27117
RPPos_31,4.204,252.08041,NA,NA,NA,NA,NA,4364,4339,2524,34618,36855,39735,24438,37083,31195,15336,24925,16095,44457,37646,32252,54199,52850,50311,32746,40960,38856
RPPos_33,5.023,257.10352,NA,NA,NA,NA,NA,0,1017,0,80793,76043,71984,55225,77326,59635,33766,26171,27466,130369,118291,104807,53597,17443,12286,60477,25447,40605
RPPos_34,7.872,257.22269,NA,NA,NA,NA,NA,7752,6979,7756,18546,19414,25393,22015,21760,20098,18088,11762,17651,28777,19637,37948,14524,18541,28937,13758,36517,42661
RPPos_35,1.58,263.07019,NA,NA,NA,NA,NA,2383,3366,2487,8296,2316,3134,8203,8375,3149,1865,4957,5155,46463,37451,49839,53116,11318,23864,30092,24167,7479
RPPos_36,5.633,265.06976,NA,in adduct group of RPPos_28,RPPos_28,13,242.080463545,0,0,0,19728,19714,13797,9230,17110,15726,5469,2828,3664,37109,38907,33724,20473,2319,1164,15549,8832,12431
RPPos_37,10.475,265.18024,NA,NA,NA,NA,NA,3193,1660,2056,19325,16936,13719,15416,15178,13975,12622,11709,9849,45560,42911,37955,9559,6856,5258,68465,24224,37808
RPPos_39,4.554,276.12671,NA,NA,NA,NA,NA,1057,2452,3335,46320,48615,39339,36207,43096,35751,21830,23330,9254,14615,38674,10339,48418,10144,5569,2692,3650,3322
RPPos_40,4.382,277.12863,NA,[M+H],RPPos_40,15,276.121353545,0,0,869,49449,47839,32216,37489,42357,33719,24639,25355,14255,10559,100638,164031,244660,13575,125896,23440,52161,49553
RPPos_42,5.058,285.13141,NA,in adduct group of RPPos_29,RPPos_29,14,244.131513545,5073,1294,1006,28949,34886,30210,25966,36575,28659,14328,15952,10733,50903,35169,26743,23764,28251,17815,23589,29298,18773
RPPos_43,1.631,285.68454,NA,NA,NA,NA,NA,0,0,0,35231,40496,35382,37153,42959,34866,24679,26288,9828,40601,50672,58766,132145,47840,46847,29051,45445,35759
RPPos_44,1.554,286.17627,NA,NA,NA,NA,NA,0,0,0,27505,27856,13459,27528,29491,28470,13003,5551,2956,103945,61779,87709,9585,5613,4915,79304,74400,85937
RPPos_45,5.581,287.11386,NA,NA,NA,NA,NA,0,0,0,10987,11849,13441,11937,14382,11657,7173,4309,1623,18957,56312,43728,23540,2019,0,12513,8846,5005
RPPos_46,4.381,294.15521,NA,in adduct group of RPPos_40,RPPos_40,15,276.121353545,0,0,970,109211,99913,106249,111713,115957,83708,72697,59800,46898,30852,232250,441986,595870,40667,296729,69411,143791,130032
RPPos_47,1.73,295.12924,NA,NA,NA,NA,NA,0,0,1565,212110,138273,206206,123668,174382,182399,73941,71247,61973,935494,591374,476465,65508,95506,63404,442184,305047,156534
RPPos_48,7.015,297.15076,NA,NA,NA,NA,NA,3065,1064,1416,11629,12748,11496,6068,9637,1504,782,7842,2241,22564,24202,15312,24011,22789,14999,19388,17034,17257
RPPos_49,2.066,298.09729,NA,[M+H],RPPos_49,16,297.090013545,1832,1686,0,653450,663137,680800,521120,573281,544979,326222,339715,278955,699107,446908,531589,423248,707937,357917,430634,453810,529298
RPPos_50,6.868,298.1572,NA,NA,NA,NA,NA,4473,7543,13916,204708,211232,218163,171902,208834,158449,107676,106611,83166,283088,316394,264733,380174,295833,315595,319593,271846,291330
RPPos_51,7.042,298.1572,NA,NA,NA,NA,NA,3365,5325,13068,200146,197123,203653,163381,183103,169357,93129,107241,82889,281511,304772,230041,354528,283897,289601,307631,246943,288698
RPPos_52,4.382,299.11057,NA,in adduct group of RPPos_40,RPPos_40,15,276.121353545,0,0,0,32700,60382,58660,44295,62413,43142,28934,27044,26343,14482,127113,195728,328512,25721,162361,31497,65569,65006
RPPos_53,1.763,301.12061,NA,NA,NA,NA,NA,4014,0,0,64172,50165,56128,24668,49938,49565,13583,23244,17033,82923,8514,45340,112631,77974,0,60932,1635,3204
RPPos_57,11.705,309.24301,NA,NA,NA,NA,NA,1125,823,0,62482,55517,47240,52985,64543,56764,34696,43091,29469,175262,12811,61132,231729,327876,981,836341,0,1541
RPPos_58,8.943,311.12695,NA,NA,NA,NA,NA,14960,16012,11261,23229,30808,26510,30008,38156,32981,17952,36260,24424,15126,11277,16093,18696,7213,13255,257157,8741,14973
RPPos_59,2.069,314.0921,NA,in adduct group of RPPos_49,RPPos_49,16,297.090013545,0,0,0,99390,96999,94019,73868,106624,57629,23760,34962,22296,160315,99969,104072,108713,200898,65378,87255,90944,111344
RPPos_60,8.575,317.19666,NA,NA,NA,NA,NA,18956,18912,14657,32110,30272,25345,22692,29034,23495,24119,24287,21015,105504,41155,19497,19988,35615,17293,18961,21856,22239
RPPos_61,4.39,319.64011,NA,[M+H],RPPos_61,17,318.632833545,0,0,0,166520,129586,140834,101123,132778,122447,58057,89148,64019,445099,428056,337535,354362,251700,107907,356925,273714,206993
RPPos_62,1.772,321.20303,NA,NA,NA,NA,NA,0,0,0,51144,44901,48149,38989,54579,50443,27511,34818,17506,109626,69877,80452,153947,173880,75588,25242,59222,40852
RPPos_63,2.239,322.16605,51.93708:6135 56.05036:9511 60.21133:6281 64.69847:6195 67.14926:5737 69.0705:31396 75.05628:6726 83.37513:6980 84.08139:159848 85.08931:15886 86.09702:16561 88.24068:6638 88.67204:6752 91.979:6630 98.1094:7942 100.03967:17157 101.2776:9202 102.09178:70509 107.4108:6736 119.11804:7254 119.69008:7185 123.87794:6998 127.66746:7012 136.82225:8079 164.27649:7121 169.77135:7888 174.97372:7268 213.59406:11466 222.5264:11210 222.54185:27214 222.55286:13852,[M+H],RPPos_63,7,321.158773545,0,0,0,4178128,4161416,4125640,3418869,4289317,3773228,2141484,2475226,1941787,11351204,8526478,7494527,9532686,7717648,6094722,7809172,7594104,6029866
RPPos_64,4.381,322.18661,NA,NA,NA,NA,NA,1143,0,0,109581,94742,57293,73542,71118,68318,43667,32741,37217,24819,182547,329090,443546,41917,289415,56249,105842,108238
RPPos_65,10.153,325.23795,NA,NA,NA,NA,NA,2071,2447,980,33860,39523,36600,33430,34494,32315,26654,24027,25736,48729,57122,52450,56093,51548,21473,86990,14325,31131
RPPos_66,1.991,328.64496,NA,NA,NA,NA,NA,0,0,0,0,0,4589,3839,16656,0,1298,0,3225,59950,55394,37095,90529,43652,8849,53336,24044,12082
RPPos_67,4.72,329.15344,NA,NA,NA,NA,NA,0,0,0,11578,10661,9091,11195,17488,13848,4927,5788,2538,49357,57540,75615,95487,3527,7083,27113,31146,6218
RPPos_68,5.156,333.14822,NA,NA,NA,NA,NA,0,0,0,77349,82021,84746,66432,81011,64153,47803,37956,31670,187124,251542,139648,283458,51588,41741,81520,8862,56544
RPPos_70,2.626,336.64276,NA,[M+H],RPPos_70,18,335.635483545,0,0,0,353603,410213,349096,250692,342291,308010,155273,205660,168474,702604,330373,343507,1408486,1277848,675328,742311,201328,319696
RPPos_71,4.604,340.26007,NA,NA,NA,NA,NA,1087,0,2713,33271,24094,37883,33988,33794,32138,15332,19579,14558,580162,0,1417,0,2807,0,0,0,66453
RPPos_72,7.906,341.12115,NA,NA,NA,NA,NA,2976,3167,4161,2807,12433,3830,12808,23143,15111,3176,11821,6324,28531,27218,25489,31638,23424,22536,22174,22961,16147
RPPos_73,2.236,341.13959,NA,NA,NA,NA,NA,1635,0,0,17644,25350,9602,33513,10678,13729,4665,16670,7325,88543,65331,61671,60709,53619,43114,70255,77908,54353
RPPos_74,4.129,344.1188,NA,[M+H],RPPos_74,19,343.111523545,1021,0,0,5876,7345,5858,14932,20089,14837,4700,7334,1193,66465,49060,52509,43742,36639,25750,28937,30532,33755
RPPos_75,7.889,348.2019,NA,NA,NA,NA,NA,817,1025,978,26956,23864,24667,26939,25995,23694,16781,13079,12423,33656,76443,49347,44147,39537,34609,53398,37180,56423
RPPos_76,2.226,349.12549,NA,NA,NA,NA,NA,2488,0,1496,56433,63606,43540,81982,59182,51468,42023,39295,23981,193757,162176,104470,146429,181337,109494,136871,140892,98136
RPPos_77,4.2,351.62799,NA,[M+H],RPPos_77,20,350.620713545,0,0,0,105665,98375,104943,52243,80215,71028,36046,46333,43730,72421,77473,75330,37248,11631,31681,64683,74585,59327
RPPos_78,1.815,353.12387,NA,NA,NA,NA,NA,0,0,0,338256,343580,327224,299050,387761,312007,165819,200162,131342,955995,736360,723176,736880,583046,522156,704841,578425,509097
RPPos_79,7.886,353.15726,NA,NA,NA,NA,NA,812,0,0,14287,12455,18136,13249,16637,13130,2575,5090,5592,22404,48022,27519,34420,28343,22708,30531,18926,37195
RPPos_80,1.814,355.12488,NA,NA,NA,NA,NA,0,0,0,88910,102027,81691,71793,117740,89544,39677,52333,26941,311718,247649,247205,245798,211949,138542,225703,174504,163100
RPPos_81,1.995,356.72119,NA,NA,NA,NA,NA,0,0,0,19352,14385,14040,21016,33564,29248,13606,14719,13085,51660,35511,48219,60538,41412,9606,13722,47780,12922
RPPos_82,4.215,358.63589,NA,[M+H],RPPos_82,21,357.628613545,0,0,0,44737,40100,45273,35008,47177,26437,15598,27552,12672,140233,102238,91191,65075,12368,24488,146824,90068,87698
RPPos_83,2.358,359.64368,NA,[M+H],RPPos_83,9,358.636403545,0,0,0,471644,564853,549976,323290,460874,440074,157593,275261,221343,1564935,1133511,1077793,880834,496225,269793,848416,709432,932534
RPPos_84,1.756,363.62534,NA,NA,NA,NA,NA,0,0,0,52279,65532,50101,44617,69200,41875,29250,45637,29247,106124,47839,52309,0,60540,43741,22697,101764,106478
RPPos_85,3.884,365.62573,NA,[M+H],RPPos_85,10,364.61845354499997,0,0,0,310017,316264,304666,172674,296805,237285,109355,190468,133043,518478,430670,382428,429392,513218,491444,302637,272080,290424
RPPos_86,4.207,377.14627,NA,[M+H],RPPos_86,22,376.138993545,0,0,0,195408,190236,188385,138315,180505,152265,88532,98034,71754,251204,257517,244938,390757,1073327,454360,294005,383341,295620
RPPos_87,6.21,380.19214,NA,NA,NA,NA,NA,0,0,0,18130,15874,13798,15335,18282,16362,11264,6418,4313,30858,51169,47871,46673,23782,63753,26433,25867,16428
RPPos_88,4.567,381.71118,NA,NA,NA,NA,NA,0,0,0,14952,11056,16222,14995,19052,16732,6970,14485,5610,44034,13514,22947,34584,24289,15573,19477,25861,24199
RPPos_89,4.206,382.15027,NA,NA,NA,NA,NA,21201,31583,28174,115351,114745,105083,113194,143204,116869,63158,69443,55319,142143,141947,110709,178851,169675,163578,152195,156128,161613
RPPos_90,1.85,383.10352,NA,NA,NA,NA,NA,0,0,0,65966,57212,76787,63029,60874,59259,32796,34941,17590,72142,73329,85387,85949,47666,51119,70582,38695,53710
RPPos_91,4.206,383.15353,52.70153:8194 54.73578:6979 56.88023:7025 59.50786:8750 59.95413:7072 70.55733:6771 71.0047:8222 78.52802:7528 93.41239:6989 94.30807:6629 100.75329:7512 127.31668:6537 136.09682:7341 152.50034:7334 152.93494:7430 192.17848:7044 214.37511:7600 222.52678:30201 222.53975:15971 222.54962:9771 249.09549:87729 260.05728:8333 287.35687:7699 293.20355:8183 350.66791:8238 365.14304:12400,[M+H],RPPos_91,23,382.146253545,537926,651750,564222,2540591,2412206,2454085,2119728,2615604,2112522,1262321,1212358,1075412,2576044,2443022,2020577,3135703,2961406,2847814,2652370,2785807,2677663
RPPos_92,3.887,384.5983,NA,NA,NA,NA,NA,0,0,0,25485,31127,26226,17702,27338,19654,10258,7301,11597,52658,40013,34407,39370,57395,52108,28032,23211,22918
RPPos_93,3.38,386.15768,NA,NA,NA,NA,NA,0,0,0,56653,58503,56079,37360,60735,43677,21104,28538,22799,9662,223095,223935,81761,14318,6877,47773,91757,39136
RPPos_94,2.357,386.60342,NA,NA,NA,NA,NA,0,0,0,13064,14618,13154,8922,24139,12189,6893,12150,4242,87200,53830,56815,39880,31117,1749,38578,44462,41043
RPPos_95,8.698,387.18079,NA,[M+H],RPPos_95,24,386.173513545,32513,51261,31967,247877,240516,242409,186949,213413,198131,122383,118816,99442,183340,219440,191954,313480,308310,796010,344554,319799,279194
RPPos_96,3.886,392.58521,NA,NA,NA,NA,NA,0,0,0,29763,24389,32155,17968,26451,15571,15837,11292,6711,45010,40610,44288,39465,52629,37573,26461,31233,33008
RPPos_97,5.473,394.23358,NA,NA,NA,NA,NA,0,0,0,9299,14032,9627,9537,15629,10683,5177,7315,3971,35249,29155,32755,19522,15063,11864,25836,24396,19854
RPPos_98,4.207,399.12833,NA,in adduct group of RPPos_86,RPPos_86,22,376.138993545,909,0,0,12911,16757,15298,15238,20917,13512,6177,5965,2493,28562,26597,25436,44796,121712,51236,29708,41347,31560
RPPos_99,4.702,400.17319,NA,NA,NA,NA,NA,0,0,0,10216,3512,8465,9099,18685,11166,7282,8289,2268,15410,57996,52321,28362,12216,5761,17501,15636,13468
RPPos_100,8.697,404.2074,NA,in adduct group of RPPos_95,RPPos_95,24,386.173513545,60637,75260,53099,341372,330735,317695,287915,297374,271555,189279,165892,154677,256926,331877,309711,451255,424913,1156966,520643,481490,411534
RPPos_101,4.206,405.13556,NA,in adduct group of RPPos_91,RPPos_91,23,382.146253545,53683,74178,63312,314357,300939,302065,224629,310363,246976,130641,148379,115154,296344,269804,208399,365946,342991,334558,298130,283926,304942
RPPos_102,8.697,409.16263,NA,in adduct group of RPPos_95,RPPos_95,24,386.173513545,10690,15674,9426,104129,93838,94056,70126,98639,85590,43925,52873,43803,77158,85016,67214,123783,120356,280288,126802,98425,99198
RPPos_103,5.623,414.18909,NA,NA,NA,NA,NA,772,0,0,24289,21762,21840,22485,21627,19035,8177,12310,9414,1048,114001,111892,48304,5112,889,22533,42885,15564
RPPos_104,3.621,415.25421,NA,[M+H],RPPos_104,1,414.246933545,0,0,0,12336,11157,7493,17546,27584,17785,7632,6530,2343,33561,29382,23425,31430,37974,25539,29108,25090,18517
RPPos_105,1.874,418.18024,NA,NA,NA,NA,NA,0,0,0,5528,5148,7053,8026,9167,11984,4050,4871,3085,17333,18706,24101,38983,24200,25642,17347,20521,15070
RPPos_106,8.698,425.13644,NA,in adduct group of RPPos_95,RPPos_95,24,386.173513545,830,868,0,13876,18179,15082,11398,21721,19615,5844,7516,7700,11927,14981,6556,25316,24108,63656,21652,15917,20896
RPPos_107,4.455,428.16519,NA,NA,NA,NA,NA,0,2702,1143,16701,11600,27410,30059,36533,27755,16855,18529,6166,22729,45272,17979,0,3279,6343,3593,18171,37713
RPPos_108,8.698,432.23886,NA,[M+H],RPPos_108,2,431.231583545,35653,65448,48700,337666,311031,300838,234148,258081,270377,139278,136189,145507,215107,281942,244953,354607,380100,995035,386248,363252,354575
RPPos_109,3.619,432.28125,NA,in adduct group of RPPos_104,RPPos_104,1,414.246933545,34401,52480,40408,289049,270329,252207,249830,291427,233995,143525,148051,110937,362191,350088,325772,294672,314056,250303,315762,291850,288215
RPPos_110,3.63,437.23672,NA,in adduct group of RPPos_104,RPPos_104,1,414.246933545,1033,3121,1320,39351,36674,36994,36752,44532,30608,22295,25441,16762,67191,52672,45219,66451,49585,40792,52810,55578,48828
RPPos_111,3.089,439.10184,NA,NA,NA,NA,NA,0,0,0,113579,111005,105783,102686,121097,105598,56220,64069,49905,216810,128244,184586,124407,139238,103964,169991,132934,172167
RPPos_112,8.698,448.23349,NA,in adduct group of RPPos_108,RPPos_108,2,431.231583545,940,1753,1036,16488,17560,17712,9334,15053,17608,9232,7732,3147,18128,15954,13348,28012,32238,63217,22615,19269,22056
RPPos_114,6.26,455.24567,NA,NA,NA,NA,NA,0,0,0,27536,28298,34606,23108,40102,26440,16802,18274,14341,159828,48307,43503,114269,91146,41033,30508,40777,49994
RPPos_115,3.06,457.11243,NA,NA,NA,NA,NA,0,0,0,223146,222449,220762,145467,220913,183011,90956,112181,87500,290475,230828,223665,455911,272950,196561,281603,337710,214484
RPPos_116,3.626,460.31161,NA,NA,NA,NA,NA,0,1342,0,31242,25910,29497,20697,34612,26702,2700,20447,11544,42583,38999,21797,33959,41818,30200,33299,24565,36796
RPPos_117,1.574,461.69797,NA,NA,NA,NA,NA,1339,0,0,5449,7508,10738,16521,30520,18097,6808,5668,2301,19141,42564,51122,56915,30287,12562,15110,20447,11173
RPPos_118,4.63,462.24594,NA,NA,NA,NA,NA,0,1071,0,17812,13289,12137,13202,19647,18050,1633,10115,6528,131170,40801,24231,85646,176626,7884,18543,17053,15071
RPPos_119,4.204,463.09427,NA,in adduct group of RPPos_91,RPPos_91,23,382.146253545,974,1456,0,15718,12159,10818,10805,17295,11931,3238,11745,4832,16628,14610,8312,20359,18577,20662,11792,15236,20276
RPPos_120,8.481,466.17581,NA,NA,NA,NA,NA,0,785,0,15662,22821,15029,23639,24994,21723,10108,15824,12755,54556,58679,34737,51400,27180,25448,43068,30911,19873
RPPos_121,1.663,467.57645,NA,NA,NA,NA,NA,0,0,0,3981,4648,11033,28377,13749,18114,7760,12683,1951,103658,53253,86849,105603,63712,11477,31519,62791,24281
RPPos_122,5.69,474.18256,NA,NA,NA,NA,NA,0,2143,0,37832,38322,32911,19662,29311,25856,11564,17456,8348,40424,17045,24455,21777,32246,20967,34339,48601,27739
RPPos_123,5.433,474.18268,NA,NA,NA,NA,NA,0,0,0,68893,62459,59844,39103,59016,50121,25430,31164,22192,65666,32556,39286,46858,59555,35376,56385,70822,48562
RPPos_124,1.86,476.18814,NA,[M+H],RPPos_124,3,475.18086354499997,0,0,0,255729,242226,246698,210043,255801,236719,143792,142249,113550,948423,642584,786991,23616,32708,25831,637054,620199,796162
RPPos_125,4.139,476.30743,NA,NA,NA,NA,NA,12647,5921,7361,103113,79432,137705,121343,132194,116013,90647,101621,66401,283447,244027,237054,239412,222798,132963,175392,173419,158496
RPPos_126,4.502,477.29318,NA,NA,NA,NA,NA,1041,0,1827,10739,8643,11526,15142,20570,5007,11633,8741,5343,56432,26325,32861,68426,71829,20277,23618,26069,25303
RPPos_127,4.591,478.23587,NA,NA,NA,NA,NA,0,0,0,17769,24451,27882,23065,30358,19800,6481,13969,11769,80606,50091,48460,65652,49796,23727,92596,76883,48287
RPPos_128,4.147,481.26178,NA,NA,NA,NA,NA,1719,0,0,11572,17266,11597,17244,28326,8930,9623,13453,7663,43014,38112,36482,44150,30721,17240,24953,23285,25080
RPPos_129,1.86,493.21472,NA,in adduct group of RPPos_124,RPPos_124,3,475.18086354499997,1209,0,0,36344,33858,26218,38340,47953,38707,17906,27983,13299,174355,114060,145364,0,1605,0,107749,116872,155276
RPPos_130,1.86,498.17023,NA,in adduct group of RPPos_124,RPPos_124,3,475.18086354499997,0,0,0,50399,39643,39853,37912,48016,40993,25562,25187,17578,220023,134085,176861,2107,2170,0,152004,149678,190709
RPPos_131,4.716,501.25687,NA,NA,NA,NA,NA,885,0,0,22931,10222,20976,17141,20846,18948,4071,10607,7730,22478,31694,26696,40408,29134,17897,38177,35294,30448
RPPos_132,4.858,505.26419,NA,NA,NA,NA,NA,0,0,0,34129,31807,39982,30055,39740,26662,23042,19865,15764,52084,55940,62182,95094,114710,43462,70675,59262,28284
RPPos_133,5.725,512.2677,NA,NA,NA,NA,NA,825,1032,0,6611,5814,10194,6778,10398,5587,7366,5881,3072,33774,17427,17108,36730,18407,13061,21635,25388,13511
RPPos_134,5.137,516.59039,NA,NA,NA,NA,NA,0,1009,0,63807,58761,76936,40907,66750,56978,26629,26746,25037,212610,185162,138294,196689,45010,40211,179046,148272,62192
RPPos_135,5.132,516.92413,NA,NA,NA,NA,NA,0,0,0,61457,56285,45469,30197,52705,41818,19339,17158,8664,158182,137884,115144,148044,33901,36218,137374,123086,46776
RPPos_136,5.136,517.25836,NA,NA,NA,NA,NA,0,0,0,20184,20866,10150,9680,22296,13783,5631,8135,10031,80873,55907,41502,69552,15299,5258,77192,53969,19470
RPPos_137,4.502,520.33368,NA,NA,NA,NA,NA,9925,9765,6262,87451,88034,90722,82546,95500,83360,69978,55543,50235,208424,171342,166345,154660,154662,79596,111361,103319,96029
RPPos_138,1.86,521.24579,NA,NA,NA,NA,NA,0,0,0,49664,86444,39265,56247,30551,65320,34448,20446,9811,261808,225343,196377,6261,5979,0,185521,232727,377471
RPPos_139,1.561,525.18317,NA,[M+H],RPPos_139,4,524.175893545,0,0,0,425212,457407,502539,312746,472646,417410,202159,265803,212022,736443,715734,500680,640599,765636,378454,517159,818964,459184
RPPos_140,4.967,536.77545,NA,NA,NA,NA,NA,0,0,0,22658,16494,18820,7535,17768,17805,10083,5635,8716,26651,22045,34971,49803,39671,17724,46335,37551,28212
RPPos_141,5.033,543.79651,NA,NA,NA,NA,NA,0,0,0,10916,5236,4087,3036,6674,4509,4621,3153,934,22941,23211,19946,17050,7296,1140,11685,34827,19970
RPPos_142,1.56,547.16528,NA,in adduct group of RPPos_139,RPPos_139,4,524.175893545,4315,0,0,31339,29965,22702,24108,31735,24189,13559,11952,4063,73948,64738,39662,60510,78428,28943,47141,74892,39086
RPPos_143,5.147,556.72919,NA,NA,NA,NA,NA,0,0,0,23645,30188,22844,17371,31791,24336,14809,18045,14098,61945,48018,56582,70987,54965,15130,75984,83996,35961
RPPos_144,4.702,558.79962,NA,NA,NA,NA,NA,911,0,902,16701,18812,18288,14791,15977,12852,8952,11311,7087,57721,61401,39593,73120,42013,19790,28268,28766,14233
RPPos_145,4.523,562.17267,NA,NA,NA,NA,NA,875,0,0,7759,16838,9300,14730,17283,11177,3479,9246,4308,94105,47200,44579,0,974,0,31797,14822,22246
RPPos_146,4.783,564.35999,NA,NA,NA,NA,NA,29674,3958,10698,49640,55390,52176,54166,49746,48449,36389,39905,24478,110018,100452,109027,108577,100925,37778,68312,60686,59743
RPPos_147,11.665,568.43469,NA,NA,NA,NA,NA,0,0,0,74687,66872,64455,61958,70221,63041,33291,41909,30772,77659,52622,106765,331902,260611,71140,368982,38789,19071
