Assembly,Nucleotide Accesion,homA_location,homB_location,homC_location,homD_location,homE_location,gene_arrangement,Kingdom,Phylum,Class,Order,Family,Genus,Species,Biosample ID,Bioproject Accession,Geographic Location,Isolation Source,Isolation Source Standardized,Environmental Source Standardized,Latitude,Longitude,Notes
GCA_015960085.1,AAXMMK010000012.1,90798-91529,91526-93262,95075-96064,96134-97594,97670-98068,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus,SAMN14147083,PRJNA266293,USA:NJ,missing,unknown,NA,NA,NA,NA
GCA_015960205.1,AAXMMM010000014.1,47915-48646,48643-50379,52192-53181,53251-54711,54787-55185,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus,SAMN14147090,PRJNA266293,USA:NJ,missing,unknown,NA,NA,NA,NA
GCA_015775015.1,AAXMOB010000013.1,32334-33065,33062-34798,36611-37600,37670-39130,39206-39604,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus,SAMN13809952,PRJNA245882 | PRJNA245885 | PRJNA593772,USA,oyster,non-environmental,other,NA,NA,NA
GCA_015775815.1,AAXMPL010000009.1,152888-153619,151155-152891,148353-149342,146823-148283,146351-146749,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus,SAMN13746827,PRJNA266293,USA,missing,unknown,NA,NA,NA,NA
GCA_015776215.1,AAXMPY010000013.1,96897-97628,95164-96900,92362-93351,90832-92292,90360-90758,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus,SAMN13746658,PRJNA266293,USA,missing,unknown,NA,NA,NA,NA
GCA_015776135.1,AAXMQA010000015.1,52800-53531,51067-52803,48265-49254,46735-48195,46263-46661,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus,SAMN13746659,PRJNA266293,USA,missing,unknown,NA,NA,NA,NA
GCA_015778785.1,AAXMQC010000011.1,94540-95271,92807-94543,90006-90995,88476-89936,88004-88402,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus,SAMN13671723,PRJNA266293,USA,missing,unknown,NA,NA,NA,NA
GCA_015780635.1,AAXMQF010000040.1,32428-33159,33156-34892,36705-37694,37764-39224,39300-39698,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus,SAMN13621685,PRJNA266293,USA:NJ,missing,unknown,NA,NA,NA,NA
GCA_015780435.1,AAXMQG010000037.1,32484-33215,33212-34948,36761-37750,37820-39280,39356-39754,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus,SAMN13621689,PRJNA266293,USA:NJ,missing,unknown,NA,NA,NA,NA
GCA_015780655.1,AAXMQH010000014.1,77527-78258,75794-77530,72992-73981,71462-72922,70988-71386,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus,SAMN13621686,PRJNA266293,USA:NJ,missing,unknown,NA,NA,NA,NA
GCA_015780755.1,AAXMQZ010000006.1,150100-150831,148367-150103,145565-146554,144036-145496,143563-143961,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus,SAMN13388560,PRJNA438219 | PRJNA248064,United Kingdom,feces,non-environmental,other,NA,NA,NA
GCA_015778985.1,AAXMSX010000008.1,195038-195769,195766-197502,199315-200304,200374-201834,201910-202308,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus,SAMN13283484,PRJNA245882 | PRJNA245885 | PRJNA593772,USA,oyster,non-environmental,other,NA,NA,NA
GCA_015781795.1,AAXMTN010000001.1,80819-81550,79086-80822,76284-77273,74754-76214,74280-74678,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus,SAMN13283487,PRJNA245882 | PRJNA245885 | PRJNA593772,USA,oyster,non-environmental,other,NA,NA,NA
GCA_015781655.1,AAXMTW010000001.1,322008-322739,320275-322011,317473-318462,315943-317403,315469-315867,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus,SAMN13245809,PRJNA245882 | PRJNA245885 | PRJNA593772,USA,oyster,non-environmental,other,NA,NA,NA
GCA_015781515.1,AAXMTZ010000001.1,81294-82025,79561-81297,76759-77748,75229-76689,74755-75153,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus,SAMN13245794,PRJNA245882 | PRJNA245885 | PRJNA593772,USA,oyster,non-environmental,other,NA,NA,NA
GCA_015782135.1,AAXMUF010000003.1,189004-189735,189732-191468,193281-194270,194340-195800,195876-196274,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus,SAMN13245786,PRJNA245882 | PRJNA245885 | PRJNA593772,USA,oyster,non-environmental,other,NA,NA,NA
GCA_015782195.1,AAXMUH010000005.1,116967-117698,117695-119431,121244-122233,122303-123763,123839-124237,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus,SAMN13245792,PRJNA245882 | PRJNA245885 | PRJNA593772,USA,oyster,non-environmental,other,NA,NA,NA
GCA_015782255.1,AAXMUK010000001.1,322008-322739,320275-322011,317473-318462,315943-317403,315469-315867,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus,SAMN13245799,PRJNA245882 | PRJNA245885 | PRJNA593772,USA,oyster,non-environmental,other,NA,NA,NA
GCA_015782175.1,AAXMUL010000001.1,322008-322739,320275-322011,317473-318462,315943-317403,315469-315867,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus,SAMN13245774,PRJNA245882 | PRJNA245885 | PRJNA593772,USA,oyster,non-environmental,other,NA,NA,NA
GCA_015782275.1,AAXMUO010000001.1,322008-322739,320275-322011,317473-318462,315943-317403,315469-315867,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus,SAMN13245767,PRJNA245882 | PRJNA245885 | PRJNA593772,USA,oyster,non-environmental,other,NA,NA,NA
GCA_015782355.1,AAXMUQ010000006.1,97582-98313,95849-97585,93047-94036,91517-92977,91045-91443,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus,SAMN13223209,PRJNA266293,USA,missing,unknown,NA,NA,NA,NA
GCA_015782615.1,AAXMUW010000010.1,87186-87917,85453-87189,82651-83640,81121-82581,80649-81047,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus,SAMN13175664,PRJNA266293,USA,missing,unknown,NA,NA,NA,NA
GCA_015782655.1,AAXMVC010000006.1,385645-386376,386373-388109,389922-390911,390981-392441,392515-392913,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus,SAMN13011471,PRJNA266293,USA,missing,unknown,NA,NA,NA,NA
GCA_015782795.1,AAXMVF010000003.1,449112-449843,449840-451576,453389-454378,454448-455908,455982-456380,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus,SAMN13008946,PRJNA266293,USA,missing,unknown,NA,NA,NA,NA
GCA_015782995.1,AAXMVS010000008.1,133742-134473,134470-136206,138019-139008,139078-140538,140612-141010,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus,SAMN12905834,PRJNA266293,USA,missing,unknown,NA,NA,NA,NA
GCA_015783095.1,AAXMVY010000023.1,25957-26688,26685-28421,30234-31223,31293-32753,32827-33225,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus,SAMN12882201,PRJNA266293,USA,missing,unknown,NA,NA,NA,NA
GCA_015784055.1,AAXMWB010000007.1,97622-98353,95889-97625,93087-94076,91557-93017,91085-91483,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus,SAMN12878409,PRJNA266293,USA,missing,unknown,NA,NA,NA,NA
GCA_015786175.1,AAXMXT010000013.1,87162-87893,85429-87165,82627-83616,81097-82557,80625-81023,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus,SAMN12767287,PRJNA266293,USA,missing,unknown,NA,NA,NA,NA
GCA_015785615.1,AAXNBI010000018.1,52806-53537,51073-52809,48271-49260,46741-48201,46269-46667,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus,SAMN12588259,PRJNA266293,USA,missing,unknown,NA,NA,NA,NA
GCA_015786015.1,AAXNBV010000001.1,132238-132969,132966-134702,136515-137504,137574-139034,139108-139506,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus,SAMN12587625,PRJNA266293,USA,missing,unknown,NA,NA,NA,NA
GCA_015785975.1,AAXNBY010000003.1,103891-104622,104619-106355,108168-109157,109227-110687,110761-111159,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus,SAMN12587871,PRJNA266293,USA,missing,unknown,NA,NA,NA,NA
GCA_015786295.1,AAXNCN010000013.1,51696-52427,49963-51699,47161-48150,45631-47091,45159-45557,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus,SAMN12513165,PRJNA266293,USA,missing,unknown,NA,NA,NA,NA
GCA_015787635.1,AAXNDN010000018.1,51818-52549,50085-51821,47283-48272,45753-47213,45281-45679,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus,SAMN12404857,PRJNA266293,USA,missing,unknown,NA,NA,NA,NA
GCA_015787435.1,AAXNDO010000017.1,46084-46815,44351-46087,41549-42538,40019-41479,39547-39945,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus,SAMN12404858,PRJNA266293,USA,missing,unknown,NA,NA,NA,NA
GCA_015787115.1,AAXNDP010000007.1,116178-116909,116906-118642,120455-121444,121514-122974,123048-123446,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus,SAMN12404859,PRJNA266293,USA,missing,unknown,NA,NA,NA,NA
GCA_015790015.1,AAXNEF010000007.1,75408-76139,76136-77872,79685-80674,80744-82204,82278-82676,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus,SAMN12288856,PRJNA266293,USA,missing,unknown,NA,NA,NA,NA
GCA_015787835.1,AAXNFB010000015.1,41610-42341,39877-41613,37075-38064,35545-37005,35073-35471,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus,SAMN12211971,PRJNA266293,USA,missing,unknown,NA,NA,NA,NA
GCA_015787795.1,AAXNFC010000001.1,1027927-1028658,1028655-1030391,1032204-1033193,1033263-1034723,1034797-1035195,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus,SAMN12211970,PRJNA266293,USA,missing,unknown,NA,NA,NA,NA
GCA_015787855.1,AAXNFD010000019.1,54788-55519,55516-57252,59065-60054,60124-61584,61657-62055,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus,SAMN12180012,PRJNA266293,USA,missing,unknown,NA,NA,NA,NA
GCA_015789395.1,AAXNIS010000002.1,181644-182375,179911-181647,177109-178098,175579-177039,175107-175505,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus,SAMN10954692,PRJNA266293,USA,missing,unknown,NA,NA,NA,NA
GCA_015789455.1,AAXNIU010000004.1,139128-139859,139856-141592,143405-144394,144464-145924,145998-146396,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus,SAMN10954693,PRJNA266293,USA,missing,unknown,NA,NA,NA,NA
GCA_015790515.1,AAXNIX010000001.1,78529-79260,76796-78532,73994-74983,72464-73924,71990-72388,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus,SAMN10723999,PRJNA245882 | PRJNA245885 | PRJNA593772,USA,pre-cooked lake crab lump,environmental,freshwater,NA,NA,NA
GCA_015790495.1,AAXNIY010000014.1,33167-33898,33895-35631,37444-38433,38503-39963,40039-40437,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus,SAMN10723998,PRJNA245882 | PRJNA245885 | PRJNA593772,USA,pre-cooked lake crab lump,environmental,freshwater,NA,NA,NA
GCA_015790525.1,AAXNIZ010000003.1,34701-35432,35429-37165,38978-39967,40037-41497,41571-41969,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus,SAMN10954691,PRJNA266293,USA,missing,unknown,NA,NA,NA,NA
GCA_015791035.1,AAXNKE010000008.1,33386-34117,34114-35850,37663-38652,38722-40182,40255-40653,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus,SAMN10789952,PRJNA266293,USA,missing,unknown,NA,NA,NA,NA
GCA_015798295.1,AAXNMW010000005.1,33386-34117,34114-35850,37663-38652,38722-40182,40255-40653,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus,SAMN10320211,PRJNA266293,USA,missing,unknown,NA,NA,NA,NA
GCA_015796995.1,AAXNNT010000001.1,337872-338603,336139-337875,333337-334326,331807-333267,331335-331733,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus,SAMN10246301,PRJNA266293,USA,missing,unknown,NA,NA,NA,NA
GCA_015799415.1,AAXNPZ010000016.1,94859-95590,93126-94862,90324-91313,88794-90254,88322-88720,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus,SAMN10096186,PRJNA266293,USA,missing,unknown,NA,NA,NA,NA
GCA_015799515.1,AAXNQB010000012.1,44025-44756,42292-44028,39490-40479,37960-39420,37488-37886,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus,SAMN10096187,PRJNA266293,USA,missing,unknown,NA,NA,NA,NA
GCA_015799635.1,AAXNQD010000011.1,104800-105531,105528-107264,109077-110066,110136-111596,111672-112070,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus,SAMN10096185,PRJNA266293,USA,missing,unknown,NA,NA,NA,NA
GCA_015800895.1,AAXNRM010000013.1,105790-106521,106518-108254,110067-111056,111126-112586,112662-113060,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus,SAMN10038115,PRJNA266293,USA,missing,unknown,NA,NA,NA,NA
GCA_015800095.1,AAXNRP010000017.1,58365-59096,56632-58368,53830-54819,52300-53760,51821-52219,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus,SAMN10038179,PRJNA266293,USA,missing,unknown,NA,NA,NA,NA
GCA_015801115.1,AAXNTD010000016.1,75522-76253,76250-77986,79799-80788,80858-82318,82394-82792,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus,SAMN09937954,PRJNA266293,USA,missing,unknown,NA,NA,NA,NA
GCA_015801775.1,AAXNUF010000001.1,275560-276291,273827-275563,271025-272014,269495-270955,269023-269421,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus,SAMN09864378,PRJNA266293,USA,missing,unknown,NA,NA,NA,NA
GCA_015801755.1,AAXNUG010000032.1,56472-57203,57200-58936,60749-61738,61808-63268,63342-63740,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus,SAMN09864380,PRJNA266293,USA,missing,unknown,NA,NA,NA,NA
GCA_015804475.1,AAXNYE010000006.1,203247-203978,201514-203250,198712-199701,197182-198642,196710-197108,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus,SAMN09760242,PRJNA438219 | PRJNA248064,not applicable,feces,non-environmental,other,NA,NA,NA
GCA_015804555.1,AAXNYJ010000010.1,81230-81961,79497-81233,76695-77684,75165-76625,74693-75091,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus,SAMN09760241,PRJNA438219 | PRJNA248064,not applicable,feces,non-environmental,other,NA,NA,NA
GCA_015804575.1,AAXNYP010000001.1,147116-147847,147844-149580,151393-152382,152452-153912,153986-154384,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus,SAMN09745140,PRJNA266293,USA,missing,unknown,NA,NA,NA,NA
GCA_015805015.1,AAXNZK010000005.1,309569-310300,310297-312033,313846-314835,314904-316364,316440-316838,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus,SAMN09655865,PRJNA245882 | PRJNA245885 | PRJNA593772,USA,crab meat lump,unknown,NA,NA,NA,NA
GCA_015803955.1,AAXNZX010000013.1,103238-103969,103966-105702,107515-108504,108573-110033,110108-110506,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus,SAMN09296202,PRJNA355116 | PRJNA186875 | PRJNA374341 | PRJNA593772,USA,oyster,non-environmental,other,NA,NA,NA
GCA_015804375.1,AAXNZZ010000014.1,54810-55541,55538-57274,59087-60076,60146-61606,61682-62080,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus,SAMN09295491,PRJNA355116 | PRJNA186875 | PRJNA374341 | PRJNA593772,USA,oyster,non-environmental,other,NA,NA,NA
GCA_015803975.1,AAXOAR010000014.1,102851-103582,103579-105315,107128-108117,108186-109646,109721-110119,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus,SAMN09242519,PRJNA355116 | PRJNA186875 | PRJNA374341 | PRJNA593772,USA,oyster,non-environmental,other,NA,NA,NA
GCA_015805275.1,AAXODC010000014.1,75556-76287,76284-78020,79833-80822,80892-82352,82428-82826,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus,SAMN09242501,PRJNA355116 | PRJNA186875 | PRJNA374341 | PRJNA593772,USA,oyster,non-environmental,other,NA,NA,NA
GCA_015805255.1,AAXODG010000008.1,97888-98619,96155-97891,93353-94342,91823-93283,91349-91747,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus,SAMN08965141,PRJNA355116 | PRJNA186875 | PRJNA374341 | PRJNA593772,USA,oyster,non-environmental,other,NA,NA,NA
GCA_015805225.1,AAXODH010000031.1,70853-71584,69120-70856,66318-67307,64788-66248,64314-64712,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus,SAMN09242504,PRJNA355116 | PRJNA186875 | PRJNA374341 | PRJNA593772,USA,oyster,non-environmental,other,NA,NA,NA
GCA_015805325.1,AAXODI010000005.1,75463-76194,76191-77927,79740-80729,80799-82259,82335-82733,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus,SAMN08965121,PRJNA355116 | PRJNA186875 | PRJNA374341 | PRJNA593772,USA,oyster,non-environmental,other,NA,NA,NA
GCA_015808735.1,AAXOFD010000004.1,75549-76280,76277-78013,79826-80815,80885-82345,82421-82819,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus,SAMN08965183,PRJNA355116 | PRJNA186875 | PRJNA374341 | PRJNA593772,USA,oyster,non-environmental,other,NA,NA,NA
GCA_015808635.1,AAXOFG010000008.1,110694-111425,111422-113158,114971-115960,116030-117490,117566-117964,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus,SAMN08965173,PRJNA355116 | PRJNA186875 | PRJNA374341 | PRJNA593772,USA,oyster,non-environmental,other,NA,NA,NA
GCA_015808995.1,AAXOFH010000013.1,75556-76287,76284-78020,79833-80822,80892-82352,82428-82826,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus,SAMN08965124,PRJNA355116 | PRJNA186875 | PRJNA374341 | PRJNA593772,USA,oyster,non-environmental,other,NA,NA,NA
GCA_015808535.1,AAXOFP010000011.1,54634-55365,55362-57098,58911-59900,59970-61430,61506-61904,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus,SAMN08965110,PRJNA355116 | PRJNA186875 | PRJNA374341 | PRJNA593772,USA,oyster,non-environmental,other,NA,NA,NA
GCA_015808545.2,AAXOFR020000029.1,70573-71304,68840-70576,66038-67027,64508-65968,64034-64432,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus,SAMN08965101,PRJNA355116 | PRJNA186875 | PRJNA374341 | PRJNA593772,USA,oyster,non-environmental,other,NA,NA,NA
