contig,Unnamed..0_x,hmm_profile,hmm_e_val,Unnamed..0_y,nt_id,sample_name,station,filter,raw_counts_A,raw_counts_B,raw_counts_C,transcripts_L_A,transcripts_L_B,transcripts_L_C,tax_id,tax_name,domain,phylum,class,order,family,genus,species,strain,KOfam,KOfam_definition,pfam_id,pfam_name,pfam_description,Cast,Filter,Replicate,Depth,Latitude,Longitude,temperature,salinity,adjusted_salinity,density,oxygen,oxygen_saturation,SiO4,NO3_plus_NO2,TN,TON,PO4,TP,T_OP,TOC,NH4,NO2,pc,pn,Nitrate_Nitrite,dCo_concentration,Cd_dissolved,Pb_dissolved,Fe_dissolved,Ni_dissolved,Cu_dissolved,Zn_dissolved,Mn_dissolved,Co_dissolved
G3.UW.NS.UW25_1.7m.0_2um_TRINITY_DN47880_c0_g1_i3_G3.UW.NS.L32S3.2um,11,OBi1_02315_SPO3188,4.7e-31,11967717,G3.UW.NS.UW25_1.7m.0_2um_TRINITY_DN47880_c0_g1_i3,G3.UW.NS.L32S3.2um,L32S3,2um,1,3,4,2112.350944,12304.43424,17603.59672,2182727,Pedicularis tenera,Eukaryota,Streptophyta,Magnoliopsida,Lamiales,Orobanchaceae,Pedicularis,Pedicularis tenera,,,,PF12525,DUF3726,Protein of unknown function (DUF3726),NA,0.2,B,7,32.93,-158,17.1086,34.76049781,34.59690003,25.18463324,250.7168333,102.7,3.305260561,0.005439943,4.126898543,4.1214586,0.067378519,0.214905175,0.147526657,59.12683751,0.037684564,0.009877897,2.99613937,0.408248446,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
G3.UW.NS.UW25_1.7m.0_2um_TRINITY_DN47880_c0_g1_i3_G3.UW.NS.L32S3.2um,11,OBi1_02315_SPO3188,4.7e-31,11967717,G3.UW.NS.UW25_1.7m.0_2um_TRINITY_DN47880_c0_g1_i3,G3.UW.NS.L32S3.2um,L32S3,2um,1,3,4,2112.350944,12304.43424,17603.59672,2182727,Pedicularis tenera,Eukaryota,Streptophyta,Magnoliopsida,Lamiales,Orobanchaceae,Pedicularis,Pedicularis tenera,,,,PF12525,DUF3726,Protein of unknown function (DUF3726),NA,0.2,C,7,32.93,-158,17.1086,34.76049781,34.59690003,25.18463324,250.7168333,102.7,3.305260561,0.005439943,4.126898543,4.1214586,0.067378519,0.214905175,0.147526657,59.12683751,0.037684564,0.009877897,2.99613937,0.408248446,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
G3.UW.NS.UW25_1.7m.0_2um_TRINITY_DN47880_c0_g1_i3_G3.UW.NS.L35S1.3um,11,OBi1_02315_SPO3188,4.7e-31,19470863,G3.UW.NS.UW25_1.7m.0_2um_TRINITY_DN47880_c0_g1_i3,G3.UW.NS.L35S1.3um,L35S1,3um,2,0,0,14861.73366,0,0,2182727,Pedicularis tenera,Eukaryota,Streptophyta,Magnoliopsida,Lamiales,Orobanchaceae,Pedicularis,Pedicularis tenera,,,,PF12525,DUF3726,Protein of unknown function (DUF3726),NA,3,A,7,35.96,-158,14.24873333,34.23282435,34.07158032,25.42267574,268.1175,103.41,4.307372311,0.017972395,4.353098342,4.335125947,0.141299889,0.296576282,0.155276393,57.45001965,0.048958055,0.00660582,3.38740503,0.668449832,0.622011081,70.06555879,NA,NA,NA,NA,NA,NA,NA,NA
G3.UW.NS.UW25_1.7m.0_2um_TRINITY_DN47880_c0_g1_i3_G3.UW.NS.L35S1.3um,11,OBi1_02315_SPO3188,4.7e-31,19470863,G3.UW.NS.UW25_1.7m.0_2um_TRINITY_DN47880_c0_g1_i3,G3.UW.NS.L35S1.3um,L35S1,3um,2,0,0,14861.73366,0,0,2182727,Pedicularis tenera,Eukaryota,Streptophyta,Magnoliopsida,Lamiales,Orobanchaceae,Pedicularis,Pedicularis tenera,,,,PF12525,DUF3726,Protein of unknown function (DUF3726),NA,3,B,7,35.96,-158,14.24873333,34.23282435,34.07158032,25.42267574,268.1175,103.41,4.307372311,0.017972395,4.353098342,4.335125947,0.141299889,0.296576282,0.155276393,57.45001965,0.048958055,0.00660582,3.38740503,0.668449832,0.622011081,70.06555879,NA,NA,NA,NA,NA,NA,NA,NA
G3.UW.NS.UW25_1.7m.0_2um_TRINITY_DN47880_c0_g1_i3_G3.UW.NS.L35S1.3um,11,OBi1_02315_SPO3188,4.7e-31,19470863,G3.UW.NS.UW25_1.7m.0_2um_TRINITY_DN47880_c0_g1_i3,G3.UW.NS.L35S1.3um,L35S1,3um,2,0,0,14861.73366,0,0,2182727,Pedicularis tenera,Eukaryota,Streptophyta,Magnoliopsida,Lamiales,Orobanchaceae,Pedicularis,Pedicularis tenera,,,,PF12525,DUF3726,Protein of unknown function (DUF3726),NA,3,C,7,35.96,-158,14.24873333,34.23282435,34.07158032,25.42267574,268.1175,103.41,4.307372311,0.017972395,4.353098342,4.335125947,0.141299889,0.296576282,0.155276393,57.45001965,0.048958055,0.00660582,3.38740503,0.668449832,0.622011081,70.06555879,NA,NA,NA,NA,NA,NA,NA,NA
G3.UW.NS.UW32_1.7m.0_2um_TRINITY_DN115356_c0_g1_i1_G3.UW.NS.L25S1.2um,5,OBi1_02315_SPO3188,9.2e-12,563870,G3.UW.NS.UW32_1.7m.0_2um_TRINITY_DN115356_c0_g1_i1,G3.UW.NS.L25S1.2um,L25S1,2um,2,0,NA,12357.38671,0,NA,2182688,Cirsium eriophoroides,Eukaryota,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Cirsium,Cirsium eriophoroides,,,,,,,NA,0.2,A,7,25.87,-158,21.8195,35.34949784,35.18339961,24.41230443,228.7095,102.3783333,1.356279318,0.004400081,4.650265743,4.645865662,0.027608127,0.218392146,0.190784019,70.70115618,0.008959732,0.002072537,2.780477148,0.444772943,NA,58.80734381,NA,NA,NA,NA,NA,NA,NA,NA
G3.UW.NS.UW32_1.7m.0_2um_TRINITY_DN115356_c0_g1_i1_G3.UW.NS.L25S1.2um,5,OBi1_02315_SPO3188,9.2e-12,563870,G3.UW.NS.UW32_1.7m.0_2um_TRINITY_DN115356_c0_g1_i1,G3.UW.NS.L25S1.2um,L25S1,2um,2,0,NA,12357.38671,0,NA,2182688,Cirsium eriophoroides,Eukaryota,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Cirsium,Cirsium eriophoroides,,,,,,,NA,0.2,B,7,25.87,-158,21.8195,35.34949784,35.18339961,24.41230443,228.7095,102.3783333,1.356279318,0.004400081,4.650265743,4.645865662,0.027608127,0.218392146,0.190784019,70.70115618,0.008959732,0.002072537,2.780477148,0.444772943,NA,59.80734381,NA,NA,NA,NA,NA,NA,NA,NA
G3.UW.NS.UW32_1.7m.0_2um_TRINITY_DN115356_c0_g1_i1_G3.UW.NS.L25S1.2um,5,OBi1_02315_SPO3188,9.2e-12,563870,G3.UW.NS.UW32_1.7m.0_2um_TRINITY_DN115356_c0_g1_i1,G3.UW.NS.L25S1.2um,L25S1,2um,2,0,NA,12357.38671,0,NA,2182688,Cirsium eriophoroides,Eukaryota,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Cirsium,Cirsium eriophoroides,,,,,,,NA,0.2,C,7,25.87,-158,21.8195,35.34949784,35.18339961,24.41230443,228.7095,102.3783333,1.356279318,0.004400081,4.650265743,4.645865662,0.027608127,0.218392146,0.190784019,70.70115618,0.008959732,0.002072537,2.780477148,0.444772943,NA,60.80734381,NA,NA,NA,NA,NA,NA,NA,NA
G3.UW.NS.UW32_1.7m.0_2um_TRINITY_DN115356_c0_g1_i1_G3.UW.NS.L29S1.2um,5,OBi1_02315_SPO3188,9.2e-12,3976159,G3.UW.NS.UW32_1.7m.0_2um_TRINITY_DN115356_c0_g1_i1,G3.UW.NS.L29S1.2um,L29S1,2um,NA,2,NA,NA,4006.899984,NA,2182688,Cirsium eriophoroides,Eukaryota,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Cirsium,Cirsium eriophoroides,,,,,,,NA,0.2,A,7,29.46,-158,19.6142,35.3228343,35.15676001,24.98768011,235.5613333,101.3033333,1.998015591,0.00393359,4.371807553,4.367873963,0.036702823,0.204477264,0.167774441,68.59673041,0.011241611,0.005873357,2.439834129,0.461932345,NA,30.67234371,NA,NA,NA,NA,NA,NA,NA,NA
G3.UW.NS.UW32_1.7m.0_2um_TRINITY_DN115356_c0_g1_i1_G3.UW.NS.L29S1.2um,5,OBi1_02315_SPO3188,9.2e-12,3976159,G3.UW.NS.UW32_1.7m.0_2um_TRINITY_DN115356_c0_g1_i1,G3.UW.NS.L29S1.2um,L29S1,2um,NA,2,NA,NA,4006.899984,NA,2182688,Cirsium eriophoroides,Eukaryota,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Cirsium,Cirsium eriophoroides,,,,,,,NA,0.2,B,7,29.46,-158,19.6142,35.3228343,35.15676001,24.98768011,235.5613333,101.3033333,1.998015591,0.00393359,4.371807553,4.367873963,0.036702823,0.204477264,0.167774441,68.59673041,0.011241611,0.005873357,2.439834129,0.461932345,NA,31.67234371,NA,NA,NA,NA,NA,NA,NA,NA
G3.UW.NS.UW32_1.7m.0_2um_TRINITY_DN115356_c0_g1_i1_G3.UW.NS.L29S1.2um,5,OBi1_02315_SPO3188,9.2e-12,3976159,G3.UW.NS.UW32_1.7m.0_2um_TRINITY_DN115356_c0_g1_i1,G3.UW.NS.L29S1.2um,L29S1,2um,NA,2,NA,NA,4006.899984,NA,2182688,Cirsium eriophoroides,Eukaryota,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Cirsium,Cirsium eriophoroides,,,,,,,NA,0.2,C,7,29.46,-158,19.6142,35.3228343,35.15676001,24.98768011,235.5613333,101.3033333,1.998015591,0.00393359,4.371807553,4.367873963,0.036702823,0.204477264,0.167774441,68.59673041,0.011241611,0.005873357,2.439834129,0.461932345,NA,32.67234371,NA,NA,NA,NA,NA,NA,NA,NA
G3.UW.NS.UW32_1.7m.0_2um_TRINITY_DN115356_c0_g1_i1_G3.UW.NS.L32S1.2um,5,OBi1_02315_SPO3188,9.2e-12,8010601,G3.UW.NS.UW32_1.7m.0_2um_TRINITY_DN115356_c0_g1_i1,G3.UW.NS.L32S1.2um,L32S1,2um,1,4,2,4752.353884,22201.73535,5565.099246,2182688,Cirsium eriophoroides,Eukaryota,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Cirsium,Cirsium eriophoroides,,,,,,,NA,0.2,A,7,32.3,-158,17.41983333,34.84226776,34.67831703,25.17250716,248.993,102.49,2.854835696,0.005836023,4.214825351,4.208989328,0.061405399,0.211913201,0.150507802,63.54515632,0.009362416,0.003482731,2.471002703,0.405356915,0,83.0790102,NA,NA,NA,NA,NA,NA,NA,NA
G3.UW.NS.UW32_1.7m.0_2um_TRINITY_DN115356_c0_g1_i1_G3.UW.NS.L32S1.2um,5,OBi1_02315_SPO3188,9.2e-12,8010601,G3.UW.NS.UW32_1.7m.0_2um_TRINITY_DN115356_c0_g1_i1,G3.UW.NS.L32S1.2um,L32S1,2um,1,4,2,4752.353884,22201.73535,5565.099246,2182688,Cirsium eriophoroides,Eukaryota,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Cirsium,Cirsium eriophoroides,,,,,,,NA,0.2,B,7,32.3,-158,17.41983333,34.84226776,34.67831703,25.17250716,248.993,102.49,2.854835696,0.005836023,4.214825351,4.208989328,0.061405399,0.211913201,0.150507802,63.54515632,0.009362416,0.003482731,2.471002703,0.405356915,0,83.0790102,NA,NA,NA,NA,NA,NA,NA,NA
G3.UW.NS.UW32_1.7m.0_2um_TRINITY_DN115356_c0_g1_i1_G3.UW.NS.L32S1.2um,5,OBi1_02315_SPO3188,9.2e-12,8010601,G3.UW.NS.UW32_1.7m.0_2um_TRINITY_DN115356_c0_g1_i1,G3.UW.NS.L32S1.2um,L32S1,2um,1,4,2,4752.353884,22201.73535,5565.099246,2182688,Cirsium eriophoroides,Eukaryota,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Cirsium,Cirsium eriophoroides,,,,,,,NA,0.2,C,7,32.3,-158,17.41983333,34.84226776,34.67831703,25.17250716,248.993,102.49,2.854835696,0.005836023,4.214825351,4.208989328,0.061405399,0.211913201,0.150507802,63.54515632,0.009362416,0.003482731,2.471002703,0.405356915,0,83.0790102,NA,NA,NA,NA,NA,NA,NA,NA
G3.UW.NS.UW32_1.7m.0_2um_TRINITY_DN115356_c0_g1_i1_G3.UW.NS.L32S3.2um,5,OBi1_02315_SPO3188,9.2e-12,10952063,G3.UW.NS.UW32_1.7m.0_2um_TRINITY_DN115356_c0_g1_i1,G3.UW.NS.L32S3.2um,L32S3,2um,1,0,3,2112.350944,0,13202.69754,2182688,Cirsium eriophoroides,Eukaryota,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Cirsium,Cirsium eriophoroides,,,,,,,NA,0.2,A,7,32.93,-158,17.1086,34.76049781,34.59690003,25.18463324,250.7168333,102.7,3.305260561,0.005439943,4.126898543,4.1214586,0.067378519,0.214905175,0.147526657,59.12683751,0.037684564,0.009877897,2.99613937,0.408248446,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
G3.UW.NS.UW32_1.7m.0_2um_TRINITY_DN115356_c0_g1_i1_G3.UW.NS.L32S3.2um,5,OBi1_02315_SPO3188,9.2e-12,10952063,G3.UW.NS.UW32_1.7m.0_2um_TRINITY_DN115356_c0_g1_i1,G3.UW.NS.L32S3.2um,L32S3,2um,1,0,3,2112.350944,0,13202.69754,2182688,Cirsium eriophoroides,Eukaryota,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Cirsium,Cirsium eriophoroides,,,,,,,NA,0.2,B,7,32.93,-158,17.1086,34.76049781,34.59690003,25.18463324,250.7168333,102.7,3.305260561,0.005439943,4.126898543,4.1214586,0.067378519,0.214905175,0.147526657,59.12683751,0.037684564,0.009877897,2.99613937,0.408248446,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
G3.UW.NS.UW32_1.7m.0_2um_TRINITY_DN115356_c0_g1_i1_G3.UW.NS.L32S3.2um,5,OBi1_02315_SPO3188,9.2e-12,10952063,G3.UW.NS.UW32_1.7m.0_2um_TRINITY_DN115356_c0_g1_i1,G3.UW.NS.L32S3.2um,L32S3,2um,1,0,3,2112.350944,0,13202.69754,2182688,Cirsium eriophoroides,Eukaryota,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Cirsium,Cirsium eriophoroides,,,,,,,NA,0.2,C,7,32.93,-158,17.1086,34.76049781,34.59690003,25.18463324,250.7168333,102.7,3.305260561,0.005439943,4.126898543,4.1214586,0.067378519,0.214905175,0.147526657,59.12683751,0.037684564,0.009877897,2.99613937,0.408248446,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
G3.UW.NS.UW32_1.7m.0_2um_TRINITY_DN115356_c0_g1_i1_G3.UW.NS.L35S2.2um,5,OBi1_02315_SPO3188,9.2e-12,20229647,G3.UW.NS.UW32_1.7m.0_2um_TRINITY_DN115356_c0_g1_i1,G3.UW.NS.L35S2.2um,L35S2,2um,2,0,0,18881.43537,0,0,2182688,Cirsium eriophoroides,Eukaryota,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Cirsium,Cirsium eriophoroides,,,,,,,NA,0.2,A,7,35.83,-158,15.09845,34.42520385,34.2630628,25.38769681,262.1455,102.925,4.233070049,0.00951553,4.266978905,4.257463375,0.135700643,0.287685415,0.151984772,58.19527203,0.057810744,0.00290358,2.634507412,0.520497414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G3.UW.NS.UW32_1.7m.0_2um_TRINITY_DN115356_c0_g1_i1_G3.UW.NS.L35S2.2um,5,OBi1_02315_SPO3188,9.2e-12,20229647,G3.UW.NS.UW32_1.7m.0_2um_TRINITY_DN115356_c0_g1_i1,G3.UW.NS.L35S2.2um,L35S2,2um,2,0,0,18881.43537,0,0,2182688,Cirsium eriophoroides,Eukaryota,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Cirsium,Cirsium eriophoroides,,,,,,,NA,0.2,B,7,35.83,-158,15.09845,34.42520385,34.2630628,25.38769681,262.1455,102.925,4.233070049,0.00951553,4.266978905,4.257463375,0.135700643,0.287685415,0.151984772,58.19527203,0.057810744,0.00290358,2.634507412,0.520497414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G3.UW.NS.UW32_1.7m.0_2um_TRINITY_DN115356_c0_g1_i1_G3.UW.NS.L35S2.2um,5,OBi1_02315_SPO3188,9.2e-12,20229647,G3.UW.NS.UW32_1.7m.0_2um_TRINITY_DN115356_c0_g1_i1,G3.UW.NS.L35S2.2um,L35S2,2um,2,0,0,18881.43537,0,0,2182688,Cirsium eriophoroides,Eukaryota,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Cirsium,Cirsium eriophoroides,,,,,,,NA,0.2,C,7,35.83,-158,15.09845,34.42520385,34.2630628,25.38769681,262.1455,102.925,4.233070049,0.00951553,4.266978905,4.257463375,0.135700643,0.287685415,0.151984772,58.19527203,0.057810744,0.00290358,2.634507412,0.520497414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G3.UW.NS.UW32_1.7m.0_2um_TRINITY_DN115356_c0_g1_i1_G3.UW.NS.L37S1.2um,5,OBi1_02315_SPO3188,9.2e-12,26988649,G3.UW.NS.UW32_1.7m.0_2um_TRINITY_DN115356_c0_g1_i1,G3.UW.NS.L37S1.2um,L37S1,2um,1,0,0,13562.76002,0,0,2182688,Cirsium eriophoroides,Eukaryota,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Cirsium,Cirsium eriophoroides,,,,,,,NA,0.2,A,7,37,-158,12.9386,33.92809563,33.7682359,25.45577653,285.5648333,106.9883333,3.784437906,0.009072756,4.735851397,4.726778641,0.224456257,0.407319057,0.1828628,59.09871478,0.065255051,0.005880043,NA,2.669219362,0.629284684,67.78992771,0.029137525,0.102564851,0.429166301,3.015173217,1.056433812,0.900401948,0.652307003,0.005739683
