"Supplementary Table SX9  Summary of isolates tested in this study, including the ability to grow on homarine; the NCBI-derived taxonomy and associated accession numbers; as well as the locations of the genes identified as hom, sox, or mgd genes.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Isolate,NCBI Genome Accession,Homarine Growth Status,Kingdom,Phylum,Class,Order,Family,Genus,Species,homE,homA,homB,homC,homD,homR,mgdD,mgdC,mgdB,mgdA,soxG,soxA,soxD,soxB,Lat,Lon,Depth Feature,Depth (m)
RWi8,JBHNYM000000000,grower,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,,ACFI7E_12260,ACFI7E_12235,ACFI7E_12240,ACFI7E_12250,ACFI7E_12255,ACFI7E_12265,,,,,,,,,,,,
PSi08,JBHNYP000000000,non_grower,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Micrococcus,,,,,,,,,,,,,,,47.31,-122.53,surface,1
PSi08,JBHNYP000000000,non_grower,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Micrococcus,,,,,,,,,,,,,,,47.31,-122.53,surface,1
PSi16,JBHNYQ000000000,non_grower,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Paenarthrobacter,,,,,,,,,,,ACFI6K_15105,ACFI6K_15110,ACFI6K_15115,ACFI6K_15120,47.31,-122.53,surface,1
PSi06,JBHNYO000000000,non_grower,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Rhodococcoides fascians,,,,,,,,,,,ACFI9k_12160,ACFI9K_12165,ACFI9K_12170,ACFI9K_12175,47.31,-122.53,surface,1
PSi06,JBHNYO000000000,non_grower,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Rhodococcoides fascians,,,,,,,,,,,ACFI9k_12160,ACFI9K_12165,ACFI9K_12170,ACFI9K_12175,47.31,-122.53,surface,1
G4i25,JBHNZA000000000,non_grower,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Nitratireductor,unclassified Nitratireductor,,,,,,,,ACFI8U_03535,ACFI8U_03540,ACFI8U_03545,ACFI8U_11760,ACFI8U_11765,ACFI8U_11770,ACFI8U_11775,6.4997,-146.6512,DCM,100
G4i21,JBHNYZ000000000,non_grower,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas/Salinimonas group,Alteromonas,,,,,,,,,,,,,,,3.527,-144.449,DCM,75
PSi21,JBHNYR000000000,non_grower,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Psychrobacter,,,,,ACFI32_07270,,,,,,,,,,,47.31,-122.53,surface,1
PSi21,JBHNYR000000000,non_grower,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Psychrobacter,,,,,ACFI32_07270,,,,,,,,,,,47.31,-122.53,surface,1
RWi3,JBHNYL000000000,non_grower,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,,,,,,,,,,,,,,,,,,,
PSi26,JBHNYT000000000,non_grower,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,unclassified Pseudoalteromonas,,,,,,,,,,,,,,,47.31,-122.53,surface,1
PSi26,JBHNYT000000000,non_grower,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,unclassified Pseudoalteromonas,,,,,,,,,,,,,,,47.31,-122.53,surface,1
